"Status","Year","Age","Ethnicity","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Asian","Attorney General's Departments","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Asian","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Environment, Food and Rural Affairs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Levelling Up, Housing and Communities","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Levelling Up, Housing and Communities","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Transport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Transport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Work and Pensions","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department for Work and Pensions","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department of Health and Social Care","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
