"Status","Year","Age","Region_london","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","London","Female","Heterosexual / straight","35","35","26390","26650"
"In post","2023","16-19","London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Female","Unknown","25","25","[c]","[c]"
"In post","2023","16-19","London","Male","Heterosexual / straight","30","30","26170","26010"
"In post","2023","16-19","London","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Male","Unknown","20","20","[c]","[c]"
"In post","2023","16-19","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Outside London","Female","Heterosexual / straight","300","290","23220","22520"
"In post","2023","16-19","Outside London","Female","LGBO","55","50","23190","22520"
"In post","2023","16-19","Outside London","Female","Undeclared","20","20","[c]","[c]"
"In post","2023","16-19","Outside London","Female","Unknown","255","240","22990","22400"
"In post","2023","16-19","Outside London","Male","Heterosexual / straight","340","335","23070","22520"
"In post","2023","16-19","Outside London","Male","LGBO","25","25","[c]","[c]"
"In post","2023","16-19","Outside London","Male","Undeclared","15","15","[c]","[c]"
"In post","2023","16-19","Outside London","Male","Unknown","275","265","22490","22400"
"In post","2023","16-19","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Female","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Male","Unknown","25","25","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","London","Female","Heterosexual / straight","7480","7420","38530","35410"
"In post","2023","20-29","London","Female","LGBO","1030","1020","39020","35640"
"In post","2023","20-29","London","Female","Undeclared","920","915","38910","35620"
"In post","2023","20-29","London","Female","Unknown","3665","3640","36330","33850"
"In post","2023","20-29","London","Male","Heterosexual / straight","5305","5290","39190","35840"
"In post","2023","20-29","London","Male","LGBO","860","860","42180","39450"
"In post","2023","20-29","London","Male","Undeclared","590","585","40480","38090"
"In post","2023","20-29","London","Male","Unknown","2845","2830","37450","35240"
"In post","2023","20-29","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Outside London","Female","Heterosexual / straight","20845","20335","28850","28120"
"In post","2023","20-29","Outside London","Female","LGBO","3105","3050","28510","28120"
"In post","2023","20-29","Outside London","Female","Undeclared","1410","1375","28660","28040"
"In post","2023","20-29","Outside London","Female","Unknown","8905","8655","27170","25750"
"In post","2023","20-29","Outside London","Male","Heterosexual / straight","15985","15875","29300","28120"
"In post","2023","20-29","Outside London","Male","LGBO","1935","1920","29080","28120"
"In post","2023","20-29","Outside London","Male","Undeclared","1200","1190","29780","28120"
"In post","2023","20-29","Outside London","Male","Unknown","8165","8095","27820","26600"
"In post","2023","20-29","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Outside London","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Outside London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Overseas","Female","Heterosexual / straight","130","130","37580","33540"
"In post","2023","20-29","Overseas","Female","LGBO","10","10","[c]","[c]"
"In post","2023","20-29","Overseas","Female","Undeclared","5","5","[c]","[c]"
"In post","2023","20-29","Overseas","Female","Unknown","55","55","40550","38600"
"In post","2023","20-29","Overseas","Male","Heterosexual / straight","85","85","38150","34220"
"In post","2023","20-29","Overseas","Male","LGBO","15","15","[c]","[c]"
"In post","2023","20-29","Overseas","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Overseas","Male","Unknown","30","30","42520","38600"
"In post","2023","20-29","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Unknown","Female","Heterosexual / straight","50","50","29990","28120"
"In post","2023","20-29","Unknown","Female","LGBO","5","5","[c]","[c]"
"In post","2023","20-29","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Unknown","Female","Unknown","85","85","32190","31710"
"In post","2023","20-29","Unknown","Male","Heterosexual / straight","40","40","31440","28120"
"In post","2023","20-29","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Unknown","Male","Unknown","355","355","31590","31710"
"In post","2023","20-29","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","London","Female","Heterosexual / straight","9345","8905","47900","44450"
"In post","2023","30-39","London","Female","LGBO","765","750","48020","44530"
