"Status","Year","Ethnicity","Organisation","Parent_department","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Cabinet Office","North West (England)","25","25","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Cabinet Office","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Cabinet Office","Scotland","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Cabinet Office","South East (England)","5","5","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Cabinet Office","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Cabinet Office","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Cabinet Office","West Midlands (England)","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Cabinet Office","Yorkshire and The Humber","15","15","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Cabinet Office","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Cabinet Office","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Cabinet Office","London","140","140","30690","30130"
"In post","2023","Asian","Central Civil Service Fast Stream","Cabinet Office","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Cabinet Office","North West (England)","10","10","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Cabinet Office","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Cabinet Office","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Cabinet Office","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Cabinet Office","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Cabinet Office","West Midlands (England)","15","15","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","Cabinet Office","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Charity Commission","London","5","5","[c]","[c]"
"In post","2023","Asian","Charity Commission","Charity Commission","North West (England)","5","5","[c]","[c]"
"In post","2023","Asian","Charity Commission","Charity Commission","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Charity Commission","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Department for Business, Energy and Industrial Strategy","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Department for Business, Energy and Industrial Strategy","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Department for Business, Energy and Industrial Strategy","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Department for Business, Energy and Industrial Strategy","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Department for Business, Energy and Industrial Strategy","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Department for Business, Energy and Industrial Strategy","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Department for Business, Energy and Industrial Strategy","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Department for Business, Energy and Industrial Strategy","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Department for Business, Energy and Industrial Strategy","Wales","5","5","[c]","[c]"
"In post","2023","Asian","Companies House","Department for Business, Energy and Industrial Strategy","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Companies House","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Competition and Markets Authority","London","120","120","50010","43560"
"In post","2023","Asian","Competition and Markets Authority","Competition and Markets Authority","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Competition and Markets Authority","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Competition and Markets Authority","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Competition and Markets Authority","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Competition and Markets Authority","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Criminal Injuries Compensation Authority","Ministry of Justice","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Criminal Injuries Compensation Authority","Ministry of Justice","Scotland","5","5","[c]","[c]"
"In post","2023","Asian","Criminal Injuries Compensation Authority","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Cabinet Office","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Cabinet Office","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Cabinet Office","London","10","10","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Cabinet Office","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Cabinet Office","North West (England)","10","10","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Cabinet Office","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Cabinet Office","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Cabinet Office","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Cabinet Office","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Cabinet Office","West Midlands (England)","10","10","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","Cabinet Office","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Office and Procurator Fiscal Service","Scottish Government","Scotland","60","55","42180","37940"
"In post","2023","Asian","Crown Prosecution Service","Attorney General's Departments","East Midlands (England)","75","75","35870","28850"
"In post","2023","Asian","Crown Prosecution Service","Attorney General's Departments","East of England","50","45","44530","40800"
"In post","2023","Asian","Crown Prosecution Service","Attorney General's Departments","London","385","360","41490","33130"
"In post","2023","Asian","Crown Prosecution Service","Attorney General's Departments","North East (England)","15","15","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Attorney General's Departments","North West (England)","65","60","40410","38850"
"In post","2023","Asian","Crown Prosecution Service","Attorney General's Departments","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Attorney General's Departments","South East (England)","40","35","40260","32660"
"In post","2023","Asian","Crown Prosecution Service","Attorney General's Departments","South West (England)","5","5","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Attorney General's Departments","Wales","10","10","[c]","[c]"
"In post","2023","Asian","Crown Prosecution Service","Attorney General's Departments","West Midlands (England)","135","130","36410","28850"
"In post","2023","Asian","Crown Prosecution Service","Attorney General's Departments","Yorkshire and The Humber","60","55","40950","38760"
"In post","2023","Asian","Defence Electronics and Components Agency","Ministry of Defence","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Electronics and Components Agency","Ministry of Defence","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Equipment and Support","Ministry of Defence","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Equipment and Support","Ministry of Defence","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Equipment and Support","Ministry of Defence","London","45","40","27830","24900"
"In post","2023","Asian","Defence Equipment and Support","Ministry of Defence","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Equipment and Support","Ministry of Defence","North West (England)","5","5","[c]","[c]"
"In post","2023","Asian","Defence Equipment and Support","Ministry of Defence","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Equipment and Support","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Equipment and Support","Ministry of Defence","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Equipment and Support","Ministry of Defence","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Equipment and Support","Ministry of Defence","South West (England)","275","265","37770","34330"
"In post","2023","Asian","Defence Equipment and Support","Ministry of Defence","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Equipment and Support","Ministry of Defence","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Equipment and Support","Ministry of Defence","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Science and Technology Laboratory","Ministry of Defence","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Science and Technology Laboratory","Ministry of Defence","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Science and Technology Laboratory","Ministry of Defence","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Science and Technology Laboratory","Ministry of Defence","South East (England)","25","25","[c]","[c]"
"In post","2023","Asian","Defence Science and Technology Laboratory","Ministry of Defence","South West (England)","60","60","40340","39890"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","London","530","525","47640","41540"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","North West (England)","20","20","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Scotland","5","5","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Wales","5","5","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","West Midlands (England)","85","80","37840","37470"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","London","110","110","48640","52900"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","North West (England)","10","10","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education (excl. agencies)","Department for Education","East Midlands (England)","25","25","[c]","[c]"
"In post","2023","Asian","Department for Education (excl. agencies)","Department for Education","East of England","10","10","[c]","[c]"
"In post","2023","Asian","Department for Education (excl. agencies)","Department for Education","London","250","245","45800","42030"
"In post","2023","Asian","Department for Education (excl. agencies)","Department for Education","North East (England)","10","10","[c]","[c]"
"In post","2023","Asian","Department for Education (excl. agencies)","Department for Education","North West (England)","100","100","37170","37590"
"In post","2023","Asian","Department for Education (excl. agencies)","Department for Education","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education (excl. agencies)","Department for Education","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education (excl. agencies)","Department for Education","South West (England)","15","15","[c]","[c]"
"In post","2023","Asian","Department for Education (excl. agencies)","Department for Education","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education (excl. agencies)","Department for Education","West Midlands (England)","200","195","40060","37590"
"In post","2023","Asian","Department for Education (excl. agencies)","Department for Education","Yorkshire and The Humber","85","85","38290","37590"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","East Midlands (England)","5","5","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","East of England","5","5","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","London","205","200","42260","40260"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","North West (England)","15","15","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","South East (England)","25","25","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","South West (England)","25","25","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","West Midlands (England)","25","25","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","15","15","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Department for International Trade","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Department for International Trade","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Department for International Trade","London","270","265","46040","41550"
"In post","2023","Asian","Department for International Trade","Department for International Trade","North East (England)","5","5","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Department for International Trade","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Department for International Trade","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Department for International Trade","Overseas","15","15","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Department for International Trade","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Department for International Trade","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Department for International Trade","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Department for International Trade","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Department for International Trade","West Midlands (England)","10","10","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Department for International Trade","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","London","200","195","46960","40800"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","North West (England)","5","5","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","West Midlands (England)","60","60","37080","33050"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Yorkshire and The Humber","15","15","[c]","[c]"
"In post","2023","Asian","Department for Transport (excl. agencies)","Department for Transport","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport (excl. agencies)","Department for Transport","London","310","305","48070","43750"
"In post","2023","Asian","Department for Transport (excl. agencies)","Department for Transport","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport (excl. agencies)","Department for Transport","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport (excl. agencies)","Department for Transport","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport (excl. agencies)","Department for Transport","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport (excl. agencies)","Department for Transport","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport (excl. agencies)","Department for Transport","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport (excl. agencies)","Department for Transport","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport (excl. agencies)","Department for Transport","West Midlands (England)","30","30","40930","39630"
"In post","2023","Asian","Department for Transport (excl. agencies)","Department for Transport","Yorkshire and The Humber","15","15","[c]","[c]"
"In post","2023","Asian","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","East Midlands (England)","595","520","25960","28120"
"In post","2023","Asian","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","East of England","380","325","28780","28120"
"In post","2023","Asian","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","London","2335","2100","33190","32520"
"In post","2023","Asian","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","North East (England)","235","220","30430","28120"
"In post","2023","Asian","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","North West (England)","1160","1055","27160","28120"
"In post","2023","Asian","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Scotland","110","100","25280","28120"
"In post","2023","Asian","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","South East (England)","360","315","30080","31280"
"In post","2023","Asian","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","South West (England)","75","65","27450","28120"
"In post","2023","Asian","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Unknown","30","30","28700","28120"
"In post","2023","Asian","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Wales","65","65","27700","28120"
"In post","2023","Asian","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","West Midlands (England)","1490","1345","26700","28120"
"In post","2023","Asian","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Yorkshire and The Humber","980","890","28510","28120"
"In post","2023","Asian","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","London","195","190","46280","41950"
