"Status","Year","Ethnicity","Organisation","Parent_department","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Accountant in Bankruptcy","Scottish Government","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Department for Transport","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Department for Transport","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Department for Transport","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","London","20","20","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","North West (England)","10","10","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","West Midlands (England)","10","10","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East of England","5","5","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","London","10","10","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","North West (England)","10","10","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","South East (England)","45","45","32270","29200"
"In post","2023","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","South West (England)","10","10","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Wales","5","5","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","10","10","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Department for Digital, Culture, Media and Sport","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Department for Digital, Culture, Media and Sport","London","20","20","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Department for Digital, Culture, Media and Sport","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Department for Digital, Culture, Media and Sport","North West (England)","5","5","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Department for Digital, Culture, Media and Sport","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Department for Digital, Culture, Media and Sport","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Department for Digital, Culture, Media and Sport","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Department for Digital, Culture, Media and Sport","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Cabinet Office","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Cabinet Office","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Cabinet Office","London","340","335","47990","43090"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Cabinet Office","North East (England)","10","5","[c]","[c]"
