"Status","Year","Disability","Region_ITL1","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","East Midlands (England)","AA/AO","Heterosexual / straight","865","765","23530","21780"
"In post","2023","Declared disabled","East Midlands (England)","AA/AO","LGBO","90","85","24010","21780"
"In post","2023","Declared disabled","East Midlands (England)","AA/AO","Undeclared","120","105","23060","21780"
"In post","2023","Declared disabled","East Midlands (England)","AA/AO","Unknown","65","55","22650","21780"
"In post","2023","Declared disabled","East Midlands (England)","EO","Heterosexual / straight","710","640","28030","28120"
"In post","2023","Declared disabled","East Midlands (England)","EO","LGBO","90","85","28090","28120"
"In post","2023","Declared disabled","East Midlands (England)","EO","Undeclared","115","100","28370","28120"
"In post","2023","Declared disabled","East Midlands (England)","EO","Unknown","45","40","28360","28120"
"In post","2023","Declared disabled","East Midlands (England)","G6/G7","Heterosexual / straight","140","135","59220","57850"
"In post","2023","Declared disabled","East Midlands (England)","G6/G7","LGBO","20","20","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","G6/G7","Undeclared","15","10","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","SEO/HEO","Heterosexual / straight","505","480","37410","35000"
"In post","2023","Declared disabled","East Midlands (England)","SEO/HEO","LGBO","65","65","35980","35000"
"In post","2023","Declared disabled","East Midlands (England)","SEO/HEO","Undeclared","85","80","37400","35000"
"In post","2023","Declared disabled","East Midlands (England)","SEO/HEO","Unknown","30","30","36230","34990"
"In post","2023","Declared disabled","East Midlands (England)","Unknown","Heterosexual / straight","295","270","30660","29050"
"In post","2023","Declared disabled","East Midlands (England)","Unknown","LGBO","35","30","29720","29050"
"In post","2023","Declared disabled","East Midlands (England)","Unknown","Undeclared","30","25","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","East of England","AA/AO","Heterosexual / straight","645","575","25190","23430"
"In post","2023","Declared disabled","East of England","AA/AO","LGBO","70","65","25050","23230"
"In post","2023","Declared disabled","East of England","AA/AO","Undeclared","85","75","24460","22520"
"In post","2023","Declared disabled","East of England","AA/AO","Unknown","45","40","23490","22520"
"In post","2023","Declared disabled","East of England","EO","Heterosexual / straight","760","685","29500","28120"
"In post","2023","Declared disabled","East of England","EO","LGBO","75","70","29080","28120"
"In post","2023","Declared disabled","East of England","EO","Undeclared","105","95","29860","28560"
"In post","2023","Declared disabled","East of England","EO","Unknown","60","55","29810","28660"
"In post","2023","Declared disabled","East of England","G6/G7","Heterosexual / straight","95","90","62160","61440"
"In post","2023","Declared disabled","East of England","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East of England","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","East of England","G6/G7","Unknown","10","5","[c]","[c]"
"In post","2023","Declared disabled","East of England","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East of England","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East of England","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East of England","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East of England","SEO/HEO","Heterosexual / straight","480","450","38700","37520"
"In post","2023","Declared disabled","East of England","SEO/HEO","LGBO","35","30","37880","37310"
"In post","2023","Declared disabled","East of England","SEO/HEO","Undeclared","55","50","38950","35650"
"In post","2023","Declared disabled","East of England","SEO/HEO","Unknown","30","25","[c]","[c]"
"In post","2023","Declared disabled","East of England","Unknown","Heterosexual / straight","290","265","29890","29050"
"In post","2023","Declared disabled","East of England","Unknown","LGBO","35","35","27680","25300"
"In post","2023","Declared disabled","East of England","Unknown","Undeclared","25","20","[c]","[c]"
"In post","2023","Declared disabled","East of England","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","London","AA/AO","Heterosexual / straight","1015","920","26590","25610"
"In post","2023","Declared disabled","London","AA/AO","LGBO","85","80","28600","26400"
"In post","2023","Declared disabled","London","AA/AO","Undeclared","155","140","26460","25610"
"In post","2023","Declared disabled","London","AA/AO","Unknown","115","100","26420","26400"
"In post","2023","Declared disabled","London","EO","Heterosexual / straight","1765","1640","31680","32430"
"In post","2023","Declared disabled","London","EO","LGBO","200","195","31100","31280"
"In post","2023","Declared disabled","London","EO","Undeclared","275","250","31390","31450"
"In post","2023","Declared disabled","London","EO","Unknown","175","160","31830","32520"
"In post","2023","Declared disabled","London","G6/G7","Heterosexual / straight","1785","1720","62260","60460"
"In post","2023","Declared disabled","London","G6/G7","LGBO","335","330","60650","58770"
"In post","2023","Declared disabled","London","G6/G7","Undeclared","225","220","62930","61270"
"In post","2023","Declared disabled","London","G6/G7","Unknown","135","130","64050","63470"
"In post","2023","Declared disabled","London","SCS level","Heterosexual / straight","255","245","94530","85200"
"In post","2023","Declared disabled","London","SCS level","LGBO","45","45","90750","80700"
