"Status","Year","Parent_department","Region_ITL3","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Barnet","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Barnsley, Doncaster and Rotherham","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Barnsley, Doncaster and Rotherham","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Barnsley, Doncaster and Rotherham","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","G6/G7","25","20","56940","55470"
"In post","2023","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bedford","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire","Outside London","AA/AO","30","25","23920","24480"
"In post","2023","Attorney General's Departments","Berkshire","Outside London","EO","30","25","28990","28200"
"In post","2023","Attorney General's Departments","Berkshire","Outside London","G6/G7","50","45","61220","59050"
"In post","2023","Attorney General's Departments","Berkshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire","Outside London","SEO/HEO","25","25","36970","36170"
"In post","2023","Attorney General's Departments","Bexley and Greenwich","London","AA/AO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Bexley and Greenwich","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bexley and Greenwich","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Birmingham","Outside London","AA/AO","120","115","22830","22870"
"In post","2023","Attorney General's Departments","Birmingham","Outside London","EO","110","105","27680","26900"
"In post","2023","Attorney General's Departments","Birmingham","Outside London","G6/G7","235","220","56020","54800"
