"Status","Year","Ethnicity","Function_of_post","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Analysis","Office for Standards in Education, Children's Services and Skills","Other","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Office for Standards in Education, Children's Services and Skills","Social Research","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Office for Standards in Education, Children's Services and Skills","Statistics","15","15","[c]","[c]"
"In post","2023","Asian","Analysis","Office of Gas and Electricity Markets","Economics","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Office of Gas and Electricity Markets","Unknown","25","25","[c]","[c]"
"In post","2023","Asian","Analysis","Office of Rail and Road","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Office of Rail and Road","Statistics","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Planning Inspectorate","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Planning Inspectorate","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Registers of Scotland","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Rural Payments Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Scottish Courts and Tribunals Service","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Teaching Regulation Agency","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","The Insolvency Service","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","The Insolvency Service","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","The Insolvency Service","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","UK Debt Management Office","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","UK Export Finance","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","UK Space Agency","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","UK Statistics Authority","Economics","15","15","[c]","[c]"
"In post","2023","Asian","Analysis","UK Statistics Authority","Operational Delivery","20","20","[c]","[c]"
"In post","2023","Asian","Analysis","UK Statistics Authority","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","UK Statistics Authority","Social Research","25","20","[c]","[c]"
"In post","2023","Asian","Analysis","UK Statistics Authority","Statistics","20","15","[c]","[c]"
"In post","2023","Asian","Analysis","Valuation Office Agency","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Valuation Office Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Valuation Office Agency","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Valuation Office Agency","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Valuation Office Agency","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Water Services Regulation Authority","Economics","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Water Services Regulation Authority","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Welsh Revenue Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Advisory, Conciliation and Arbitration Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Animal and Plant Health Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Animal and Plant Health Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Animal and Plant Health Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Animal and Plant Health Agency","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Building Digital UK","Other","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","Cabinet Office (excl. agencies)","Commercial","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","Cabinet Office (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Cabinet Office (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Cabinet Office (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Cabinet Office (excl. agencies)","Human Resources","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","Cabinet Office (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Cabinet Office (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Central Civil Service Fast Stream","Commercial","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Charity Commission","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Companies House","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Competition and Markets Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Crown Commercial Service","Commercial","10","10","[c]","[c]"
"In post","2023","Asian","Commercial","Crown Prosecution Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Crown Prosecution Service","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Crown Prosecution Service","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Crown Prosecution Service","Property","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Defence Electronics and Components Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Defence Electronics and Components Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Defence Equipment and Support","Commercial","15","15","[c]","[c]"
"In post","2023","Asian","Commercial","Defence Science and Technology Laboratory","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Defence Science and Technology Laboratory","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Digital, Culture, Media and Sport (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Education (excl. agencies)","Commercial","25","25","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Education (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Education (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Education (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Education (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Education (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Education (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Education (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Education (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","10","10","[c]","[c]"
"In post","2023","Asian","Commercial","Department for International Trade","Commercial","10","10","[c]","[c]"
"In post","2023","Asian","Commercial","Department for International Trade","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Transport (excl. agencies)","Commercial","20","20","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Work and Pensions (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department of Health and Social Care (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department of Health and Social Care (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department of Health and Social Care (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department of Health and Social Care (excl. agencies)","Medicine","[c]","[c]","[c]","[c]"
