"Status","Year","Age","Responsibility_level_grouped","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","AA/AO","AA","Female","130","125","22010","23230"
"In post","2023","16-19","AA/AO","AA","Male","130","120","21370","22180"
"In post","2023","16-19","AA/AO","AO","Female","445","430","23550","22520"
"In post","2023","16-19","AA/AO","AO","Male","460","450","23130","22500"
"In post","2023","16-19","EO","EO","Female","85","85","27060","26900"
"In post","2023","16-19","EO","EO","Male","85","85","26820","26000"
"In post","2023","16-19","SEO/HEO","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","SEO/HEO","HEO","Male","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Female","50","45","20700","19090"
"In post","2023","16-19","Unknown","Unknown","Male","60","60","20520","19090"
"In post","2023","20-29","AA/AO","AA","Female","1665","1585","22550","23230"
"In post","2023","20-29","AA/AO","AA","Male","1380","1360","22510","23230"
"In post","2023","20-29","AA/AO","AO","Female","12770","12300","24640","22520"
"In post","2023","20-29","AA/AO","AO","Male","11545","11425","25240","22520"
"In post","2023","20-29","EO","EO","Female","12055","11855","28570","28120"
"In post","2023","20-29","EO","EO","Male","9030","8980","28430","28120"
"In post","2023","20-29","EO","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","G6/G7","G6","Female","165","160","67530","66700"
"In post","2023","20-29","G6/G7","G6","Male","175","175","67480","66530"
"In post","2023","20-29","G6/G7","G7","Female","2730","2720","55200","55020"
"In post","2023","20-29","G6/G7","G7","Male","2295","2290","55600","55120"
"In post","2023","20-29","SCS level","SCS level","Female","10","10","[c]","[c]"
"In post","2023","20-29","SCS level","SCS level","Male","5","5","[c]","[c]"
"In post","2023","20-29","SEO/HEO","HEO","Female","9940","9880","33860","33990"
"In post","2023","20-29","SEO/HEO","HEO","Male","8060","8040","34050","34170"
"In post","2023","20-29","SEO/HEO","HEO","Unknown","5","5","[c]","[c]"
"In post","2023","20-29","SEO/HEO","SEO","Female","4395","4375","41560","41550"
"In post","2023","20-29","SEO/HEO","SEO","Male","3540","3535","41680","41550"
"In post","2023","20-29","Unknown","Unknown","Female","3975","3875","26050","24570"
"In post","2023","20-29","Unknown","Unknown","Male","1385","1375","28060","26520"
"In post","2023","30-39","AA/AO","AA","Female","1320","1140","22320","23000"
"In post","2023","30-39","AA/AO","AA","Male","1245","1220","22850","23230"
"In post","2023","30-39","AA/AO","AO","Female","11830","10235","24140","22520"
"In post","2023","30-39","AA/AO","AO","Male","11060","10875","26610","24070"
"In post","2023","30-39","EO","EO","Female","14520","13350","28770","28120"
"In post","2023","30-39","EO","EO","Male","12285","12190","29270","28120"
"In post","2023","30-39","G6/G7","G6","Female","2535","2425","68380","66940"
"In post","2023","30-39","G6/G7","G6","Male","2280","2255","68910","67420"
"In post","2023","30-39","G6/G7","G7","Female","8195","7865","55600","55120"
"In post","2023","30-39","G6/G7","G7","Male","7485","7430","56140","55630"
"In post","2023","30-39","G6/G7","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","30-39","SCS level","SCS level","Female","550","525","81250","77000"
"In post","2023","30-39","SCS level","SCS level","Male","475","475","82500","78260"
"In post","2023","30-39","SEO/HEO","HEO","Female","10880","10340","34610","34400"
"In post","2023","30-39","SEO/HEO","HEO","Male","9680","9620","35070","34700"
"In post","2023","30-39","SEO/HEO","SEO","Female","8470","8125","42170","41780"
"In post","2023","30-39","SEO/HEO","SEO","Male","7675","7630","42520","41950"
"In post","2023","30-39","SEO/HEO","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Unknown","Unknown","Female","4125","3790","30360","29050"
"In post","2023","30-39","Unknown","Unknown","Male","1715","1695","34490","32050"
"In post","2023","40-49","AA/AO","AA","Female","1445","1250","22170","22520"
"In post","2023","40-49","AA/AO","AA","Male","1385","1355","22460","22180"
"In post","2023","40-49","AA/AO","AO","Female","13145","11035","23490","22400"
"In post","2023","40-49","AA/AO","AO","Male","9120","8890","26080","22520"
"In post","2023","40-49","EO","EO","Female","15505","13840","28700","28120"
"In post","2023","40-49","EO","EO","Male","11305","11160","29350","28120"
"In post","2023","40-49","G6/G7","G6","Female","3760","3525","70410","68840"
"In post","2023","40-49","G6/G7","G6","Male","3480","3450","70680","69910"
"In post","2023","40-49","G6/G7","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","G6/G7","G7","Female","8125","7635","56560","55780"
"In post","2023","40-49","G6/G7","G7","Male","7600","7530","57100","56430"
"In post","2023","40-49","G6/G7","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","SCS level","SCS level","Female","1520","1435","88180","81600"
"In post","2023","40-49","SCS level","SCS level","Male","1485","1465","90720","83000"
"In post","2023","40-49","SEO/HEO","HEO","Female","10095","9480","35150","34520"
"In post","2023","40-49","SEO/HEO","HEO","Male","8275","8200","35690","34700"
"In post","2023","40-49","SEO/HEO","SEO","Female","8605","8125","43070","42140"
"In post","2023","40-49","SEO/HEO","SEO","Male","7615","7555","43420","42510"
"In post","2023","40-49","SEO/HEO","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Unknown","Female","4110","3750","33820","32310"
"In post","2023","40-49","Unknown","Unknown","Male","1795","1750","37790","36630"
"In post","2023","50-59","AA/AO","AA","Female","2580","2270","22060","22180"
"In post","2023","50-59","AA/AO","AA","Male","2970","2875","22210","22080"
"In post","2023","50-59","AA/AO","AO","Female","18915","16280","23240","22400"
"In post","2023","50-59","AA/AO","AO","Male","12140","11570","25940","22520"
"In post","2023","50-59","EO","EO","Female","21570","19490","28850","28120"
"In post","2023","50-59","EO","EO","Male","15345","14860","30060","28120"
"In post","2023","50-59","G6/G7","G6","Female","3090","2980","72010","70850"
"In post","2023","50-59","G6/G7","G6","Male","3690","3645","72670","71300"
"In post","2023","50-59","G6/G7","G7","Female","6775","6485","57200","56450"
"In post","2023","50-59","G6/G7","G7","Male","7745","7660","57980","57670"
"In post","2023","50-59","SCS level","SCS level","Female","1250","1210","94190","85200"
"In post","2023","50-59","SCS level","SCS level","Male","1510","1495","99050","91070"
"In post","2023","50-59","SEO/HEO","HEO","Female","10875","10315","35350","34710"
"In post","2023","50-59","SEO/HEO","HEO","Male","9990","9825","36520","35000"
"In post","2023","50-59","SEO/HEO","SEO","Female","8550","8195","43280","42510"
"In post","2023","50-59","SEO/HEO","SEO","Male","8785","8670","44560","43160"
"In post","2023","50-59","Unknown","Unknown","Female","3505","3270","32730","29050"
"In post","2023","50-59","Unknown","Unknown","Male","2305","2225","39280","37890"
"In post","2023","60-64","AA/AO","AA","Female","1375","1065","21690","21380"
"In post","2023","60-64","AA/AO","AA","Male","1630","1455","21960","21380"
"In post","2023","60-64","AA/AO","AO","Female","7600","5935","22980","22400"
"In post","2023","60-64","AA/AO","AO","Male","4510","3850","25130","22520"
"In post","2023","60-64","EO","EO","Female","6775","5285","28930","28120"
"In post","2023","60-64","EO","EO","Male","5120","4270","29890","28130"
"In post","2023","60-64","G6/G7","G6","Female","445","395","72650","71520"
"In post","2023","60-64","G6/G7","G6","Male","780","700","73720","72550"
"In post","2023","60-64","G6/G7","G7","Female","1100","955","58150","57800"
"In post","2023","60-64","G6/G7","G7","Male","1690","1490","58770","58020"
"In post","2023","60-64","SCS level","SCS level","Female","165","150","101100","94400"
"In post","2023","60-64","SCS level","SCS level","Male","295","270","104330","97190"
"In post","2023","60-64","SEO/HEO","HEO","Female","2630","2165","35650","34970"
"In post","2023","60-64","SEO/HEO","HEO","Male","2915","2515","36640","35210"
"In post","2023","60-64","SEO/HEO","SEO","Female","1605","1360","43630","42680"
"In post","2023","60-64","SEO/HEO","SEO","Male","2360","2080","45120","43760"
"In post","2023","60-64","Unknown","Unknown","Female","1090","950","31450","29050"
"In post","2023","60-64","Unknown","Unknown","Male","900","810","37720","35070"
"In post","2023","65+","AA/AO","AA","Female","615","430","21540","21380"
"In post","2023","65+","AA/AO","AA","Male","835","680","21850","21380"
"In post","2023","65+","AA/AO","AO","Female","2560","1900","23310","22400"
"In post","2023","65+","AA/AO","AO","Male","1795","1455","24480","22520"
"In post","2023","65+","EO","EO","Female","1895","1365","29150","28120"
"In post","2023","65+","EO","EO","Male","1735","1315","29770","28480"
"In post","2023","65+","G6/G7","G6","Female","80","65","75170","75210"
"In post","2023","65+","G6/G7","G6","Male","250","190","74860","73610"
"In post","2023","65+","G6/G7","G7","Female","205","165","59370","58870"
"In post","2023","65+","G6/G7","G7","Male","525","420","59300","59290"
"In post","2023","65+","SCS level","SCS level","Female","40","35","106280","92930"
"In post","2023","65+","SCS level","SCS level","Male","75","60","118260","110750"
"In post","2023","65+","SEO/HEO","HEO","Female","565","430","35820","34970"
"In post","2023","65+","SEO/HEO","HEO","Male","975","780","37100","36600"
"In post","2023","65+","SEO/HEO","SEO","Female","290","230","44580","43800"
"In post","2023","65+","SEO/HEO","SEO","Male","730","585","46240","44990"
"In post","2023","65+","Unknown","Unknown","Female","390","295","30820","29050"
"In post","2023","65+","Unknown","Unknown","Male","310","250","35340","30840"
"In post","2023","Unknown","AA/AO","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","AA/AO","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","EO","EO","Female","10","5","[c]","[c]"
"In post","2023","Unknown","EO","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","G6/G7","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","G6/G7","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","SEO/HEO","HEO","Female","5","5","[c]","[c]"
"In post","2023","Unknown","SEO/HEO","HEO","Male","5","5","[c]","[c]"
"In post","2023","Unknown","SEO/HEO","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","SEO/HEO","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","AA/AO","AA","Female","20","[c]","[c]","[c]"
"Leaver CS","2023","16-19","AA/AO","AA","Male","25","[c]","[c]","[c]"
"Leaver CS","2023","16-19","AA/AO","AO","Female","70","[c]","22460","21840"
"Leaver CS","2023","16-19","AA/AO","AO","Male","35","[c]","[c]","[c]"
"Leaver CS","2023","16-19","EO","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","EO","EO","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","16-19","SEO/HEO","HEO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","SEO/HEO","HEO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","Unknown","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","20-29","AA/AO","AA","Female","470","[c]","21100","20100"
"Leaver CS","2023","20-29","AA/AO","AA","Male","370","[c]","21180","20130"
"Leaver CS","2023","20-29","AA/AO","AO","Female","2505","[c]","22470","21780"
"Leaver CS","2023","20-29","AA/AO","AO","Male","2200","[c]","22780","21840"
"Leaver CS","2023","20-29","EO","EO","Female","1445","[c]","28040","27960"
"Leaver CS","2023","20-29","EO","EO","Male","1095","[c]","27850","27570"
"Leaver CS","2023","20-29","G6/G7","G6","Female","15","[c]","[c]","[c]"
"Leaver CS","2023","20-29","G6/G7","G6","Male","15","[c]","[c]","[c]"
"Leaver CS","2023","20-29","G6/G7","G7","Female","185","[c]","54090","54070"
"Leaver CS","2023","20-29","G6/G7","G7","Male","165","[c]","54990","54160"
"Leaver CS","2023","20-29","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","SEO/HEO","HEO","Female","870","[c]","33220","33210"
"Leaver CS","2023","20-29","SEO/HEO","HEO","Male","785","[c]","33230","33210"
"Leaver CS","2023","20-29","SEO/HEO","SEO","Female","335","[c]","40670","40880"
"Leaver CS","2023","20-29","SEO/HEO","SEO","Male","335","[c]","41400","41030"
"Leaver CS","2023","20-29","Unknown","Unknown","Female","460","[c]","25480","23640"
"Leaver CS","2023","20-29","Unknown","Unknown","Male","180","[c]","28640","29860"
"Leaver CS","2023","30-39","AA/AO","AA","Female","210","[c]","20600","19930"
"Leaver CS","2023","30-39","AA/AO","AA","Male","165","[c]","22350","22130"
"Leaver CS","2023","30-39","AA/AO","AO","Female","1270","[c]","22470","21780"
"Leaver CS","2023","30-39","AA/AO","AO","Male","1305","[c]","23630","22150"
"Leaver CS","2023","30-39","EO","EO","Female","975","[c]","28540","28120"
"Leaver CS","2023","30-39","EO","EO","Male","885","[c]","28640","28120"
"Leaver CS","2023","30-39","G6/G7","G6","Female","155","[c]","67750","66290"
"Leaver CS","2023","30-39","G6/G7","G6","Male","190","[c]","68090","66390"
"Leaver CS","2023","30-39","G6/G7","G7","Female","500","[c]","54740","54050"
"Leaver CS","2023","30-39","G6/G7","G7","Male","595","[c]","55370","54590"
"Leaver CS","2023","30-39","SCS level","SCS level","Female","40","[c]","81880","79160"
"Leaver CS","2023","30-39","SCS level","SCS level","Male","45","[c]","80740","77950"
"Leaver CS","2023","30-39","SEO/HEO","HEO","Female","605","[c]","34390","33790"
"Leaver CS","2023","30-39","SEO/HEO","HEO","Male","580","[c]","34470","33860"
"Leaver CS","2023","30-39","SEO/HEO","SEO","Female","585","[c]","41320","41010"
"Leaver CS","2023","30-39","SEO/HEO","SEO","Male","595","[c]","41680","41280"
"Leaver CS","2023","30-39","Unknown","Unknown","Female","335","[c]","35580","35120"
"Leaver CS","2023","30-39","Unknown","Unknown","Male","165","[c]","39690","38090"
"Leaver CS","2023","40-49","AA/AO","AA","Female","145","[c]","20850","21250"
"Leaver CS","2023","40-49","AA/AO","AA","Male","145","[c]","22080","21380"
"Leaver CS","2023","40-49","AA/AO","AO","Female","950","[c]","22480","21690"
"Leaver CS","2023","40-49","AA/AO","AO","Male","700","[c]","23590","21690"
"Leaver CS","2023","40-49","EO","EO","Female","805","[c]","28590","28120"
"Leaver CS","2023","40-49","EO","EO","Male","575","[c]","28440","27570"
"Leaver CS","2023","40-49","G6/G7","G6","Female","195","[c]","70220","68480"
