"Status","Year","Age","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Accountant in Bankruptcy","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Accountant in Bankruptcy","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Advisory, Conciliation and Arbitration Service","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Advisory, Conciliation and Arbitration Service","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Female","10","10","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Male","10","5","[c]","[c]"
"In post","2023","16-19","Attorney General's Office","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Office","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Building Digital UK","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Building Digital UK","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Female","5","5","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Male","5","5","[c]","[c]"
"In post","2023","16-19","Crown Office and Procurator Fiscal Service","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Office and Procurator Fiscal Service","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Female","40","40","21360","20980"
"In post","2023","16-19","Crown Prosecution Service","Male","15","15","[c]","[c]"
"In post","2023","16-19","Defence Electronics and Components Agency","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Electronics and Components Agency","Male","10","10","[c]","[c]"
"In post","2023","16-19","Defence Equipment and Support","Female","20","20","[c]","[c]"
"In post","2023","16-19","Defence Equipment and Support","Male","85","85","19190","18780"
"In post","2023","16-19","Defence Science and Technology Laboratory","Female","10","10","[c]","[c]"
"In post","2023","16-19","Defence Science and Technology Laboratory","Male","20","20","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","5","5","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","5","5","[c]","[c]"
