"Status","Year","Region_ITL1","Region_ITL2","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","AA","400","365","22210","23230"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","AO","3780","3445","24570","22520"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","EO","3665","3390","28260","28120"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","G6","340","325","70900","69940"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","G7","1110","1065","56520","56870"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","HEO","2535","2420","34480","34700"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","SCS level","80","75","91400","87330"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","SEO","1550","1485","42850","42140"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","900","825","29740","29050"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AA","320","295","21630","21250"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AO","2285","2035","24480","21780"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","EO","1715","1580","28490","28120"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","G6","55","55","73720","72070"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","G7","210","200","55400","53410"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","HEO","610","580","35010","34170"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SCS level","15","15","83480","78490"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SEO","340","325","44160","41670"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Unknown","650","610","30130","29050"
"In post","2023","East Midlands (England)","Lincolnshire","AA","300","285","21840","21380"
"In post","2023","East Midlands (England)","Lincolnshire","AO","990","920","25540","22330"
"In post","2023","East Midlands (England)","Lincolnshire","EO","730","680","28770","28120"
"In post","2023","East Midlands (England)","Lincolnshire","G6","40","40","73640","70610"
"In post","2023","East Midlands (England)","Lincolnshire","G7","100","95","56550","54780"
"In post","2023","East Midlands (England)","Lincolnshire","HEO","400","385","34720","34170"
"In post","2023","East Midlands (England)","Lincolnshire","SCS level","5","5","[c]","[c]"
"In post","2023","East Midlands (England)","Lincolnshire","SEO","255","250","43870","42620"
"In post","2023","East Midlands (England)","Lincolnshire","Unknown","255","245","29720","26840"
"In post","2023","East of England","Bedfordshire and Hertfordshire","AA","260","235","22390","23230"
"In post","2023","East of England","Bedfordshire and Hertfordshire","AO","985","910","27200","25610"
