"Status","Year","Function_of_post","Profession_of_post","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Digital, Data and Technology","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","G6","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","G6","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","G7","Female","15","15","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","G7","Male","30","30","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","HEO","Female","20","20","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","HEO","Male","40","40","34420","35410"
"In post","2023","Analysis","Digital, Data and Technology","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","SEO","Female","20","20","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","SEO","Male","35","30","42620","43650"
"In post","2023","Analysis","Economics","AO","Female","25","25","[c]","[c]"
"In post","2023","Analysis","Economics","AO","Male","35","35","22730","21820"
"In post","2023","Analysis","Economics","EO","Female","85","80","28060","28720"
"In post","2023","Analysis","Economics","EO","Male","85","85","27520","27890"
"In post","2023","Analysis","Economics","G6","Female","80","75","71590","68660"
"In post","2023","Analysis","Economics","G6","Male","125","120","71730","70470"
"In post","2023","Analysis","Economics","G7","Female","180","170","56870","55740"
"In post","2023","Analysis","Economics","G7","Male","370","365","57690","55780"
"In post","2023","Analysis","Economics","HEO","Female","175","175","35420","35000"
"In post","2023","Analysis","Economics","HEO","Male","380","380","35310","35000"
"In post","2023","Analysis","Economics","SCS level","Female","30","30","90010","86070"
"In post","2023","Analysis","Economics","SCS level","Male","55","55","93360","83420"
"In post","2023","Analysis","Economics","SEO","Female","70","70","42970","43330"
"In post","2023","Analysis","Economics","SEO","Male","105","105","43550","43650"
"In post","2023","Analysis","Economics","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","AO","Female","[c]","[c]","[c]","[c]"
