"Status","Year","Organisation","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","Female","75","65","32620","31940"
"In post","2023","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","Male","45","45","36120","31940"
"In post","2023","Accountant in Bankruptcy","Glasgow City","Female","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Glasgow City","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","East Sussex CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","East Sussex CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Leeds","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Leeds","Male","5","5","[c]","[c]"
"In post","2023","Active Travel England","Swansea","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Swansea","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Westminster","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Westminster","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","York","Female","15","10","[c]","[c]"
"In post","2023","Active Travel England","York","Male","15","15","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Birmingham","Female","50","45","33110","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Birmingham","Male","25","25","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Breckland and South Norfolk","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Breckland and South Norfolk","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Bridgend and Neath Port Talbot","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Bridgend and Neath Port Talbot","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Bristol, City of","Female","20","20","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Bristol, City of","Male","20","20","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","Female","55","50","30970","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","Male","30","25","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Central Hampshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Central Hampshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Devon CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Devon CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Dorset","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Dorset","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Merseyside","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Merseyside","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Glasgow City","Female","50","45","31460","32110"
