"Status","Year","Region_ITL3","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Aberdeen City and Aberdeenshire","Female","Heterosexual / straight","590","530","36130","31580"
"In post","2023","Aberdeen City and Aberdeenshire","Female","LGBO","45","40","35830","31540"
"In post","2023","Aberdeen City and Aberdeenshire","Female","Undeclared","55","50","36460","28120"
"In post","2023","Aberdeen City and Aberdeenshire","Female","Unknown","270","245","32280","29100"
"In post","2023","Aberdeen City and Aberdeenshire","Male","Heterosexual / straight","565","545","44340","37060"
"In post","2023","Aberdeen City and Aberdeenshire","Male","LGBO","30","30","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","Male","Undeclared","70","65","46520","38330"
"In post","2023","Aberdeen City and Aberdeenshire","Male","Unknown","285","275","36980","34240"
"In post","2023","Aberdeen City and Aberdeenshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Angus and Dundee City","Female","Heterosexual / straight","925","850","30390","28120"
"In post","2023","Angus and Dundee City","Female","LGBO","75","70","27480","24890"
"In post","2023","Angus and Dundee City","Female","Undeclared","55","50","27290","28120"
"In post","2023","Angus and Dundee City","Female","Unknown","495","450","27760","24890"
"In post","2023","Angus and Dundee City","Male","Heterosexual / straight","560","540","30450","28120"
"In post","2023","Angus and Dundee City","Male","LGBO","65","65","29120","28120"
"In post","2023","Angus and Dundee City","Male","Undeclared","50","50","26560","23340"
"In post","2023","Angus and Dundee City","Male","Unknown","310","300","27390","25710"
"In post","2023","Angus and Dundee City","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Angus and Dundee City","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","Female","Heterosexual / straight","45","45","33210","28220"
"In post","2023","Antrim and Newtownabbey","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","Female","Unknown","10","5","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","Male","Heterosexual / straight","120","115","24350","22130"
"In post","2023","Antrim and Newtownabbey","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","Male","Undeclared","10","10","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","Male","Unknown","25","25","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Ards and North Down","Female","Heterosexual / straight","45","40","33280","26300"
"In post","2023","Ards and North Down","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Ards and North Down","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Ards and North Down","Female","Unknown","10","10","[c]","[c]"
"In post","2023","Ards and North Down","Male","Heterosexual / straight","140","140","25870","22130"
"In post","2023","Ards and North Down","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Ards and North Down","Male","Undeclared","10","10","[c]","[c]"
"In post","2023","Ards and North Down","Male","Unknown","15","15","[c]","[c]"
"In post","2023","Ards and North Down","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Ards and North Down","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","Female","Heterosexual / straight","295","260","33170","32520"
"In post","2023","Barking & Dagenham and Havering","Female","LGBO","10","10","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","Female","Undeclared","35","30","31530","32520"
"In post","2023","Barking & Dagenham and Havering","Female","Unknown","60","50","31950","32520"
"In post","2023","Barking & Dagenham and Havering","Male","Heterosexual / straight","165","160","34090","32520"
"In post","2023","Barking & Dagenham and Havering","Male","LGBO","10","10","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","Male","Undeclared","15","10","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","Male","Unknown","50","50","33360","32520"
"In post","2023","Barking & Dagenham and Havering","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Barnet","Female","Heterosexual / straight","680","635","39120","33330"
"In post","2023","Barnet","Female","LGBO","30","30","39580","33330"
"In post","2023","Barnet","Female","Undeclared","85","80","40150","35410"
"In post","2023","Barnet","Female","Unknown","235","215","44400","35300"
"In post","2023","Barnet","Male","Heterosexual / straight","405","395","42260","34600"
"In post","2023","Barnet","Male","LGBO","25","25","[c]","[c]"
"In post","2023","Barnet","Male","Undeclared","65","65","46490","41080"
"In post","2023","Barnet","Male","Unknown","150","150","45460","40880"
"In post","2023","Barnet","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Barnet","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Barnsley, Doncaster and Rotherham","Female","Heterosexual / straight","1400","1210","28860","28120"
"In post","2023","Barnsley, Doncaster and Rotherham","Female","LGBO","75","75","31370","28480"
"In post","2023","Barnsley, Doncaster and Rotherham","Female","Undeclared","125","110","27660","27450"
"In post","2023","Barnsley, Doncaster and Rotherham","Female","Unknown","300","255","26720","26840"
"In post","2023","Barnsley, Doncaster and Rotherham","Male","Heterosexual / straight","785","750","32010","31510"
"In post","2023","Barnsley, Doncaster and Rotherham","Male","LGBO","65","65","28430","28120"
"In post","2023","Barnsley, Doncaster and Rotherham","Male","Undeclared","110","100","33380","32920"
"In post","2023","Barnsley, Doncaster and Rotherham","Male","Unknown","195","185","30260","28880"
"In post","2023","Barnsley, Doncaster and Rotherham","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Barnsley, Doncaster and Rotherham","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","Heterosexual / straight","4440","4110","38070","34300"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","LGBO","205","200","35540","32550"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","Undeclared","500","460","38640","35460"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","Unknown","580","540","33340","30740"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","Heterosexual / straight","6325","6205","42990","41200"
