"Status","Year","Ethnicity","Region_ITL1","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","1045","975","32080","28120"
"In post","2023","Asian","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","1005","900","27140","25830"
"In post","2023","Asian","East Midlands (England)","Lincolnshire","Outside London","25","20","[c]","[c]"
"In post","2023","Asian","East of England","Bedfordshire and Hertfordshire","Outside London","665","605","33310","30930"
"In post","2023","Asian","East of England","East Anglia","Outside London","390","345","29320","25880"
"In post","2023","Asian","East of England","Essex","Outside London","180","170","35890","31280"
"In post","2023","Asian","London","Inner London - East","London","3135","2975","40280","35410"
"In post","2023","Asian","London","Inner London - West","London","6575","6385","44400","41060"
"In post","2023","Asian","London","Outer London - East and North East","London","880","780","31120","32520"
"In post","2023","Asian","London","Outer London - South","London","1915","1800","37260","32540"
"In post","2023","Asian","London","Outer London - West and North West","London","2550","2340","33690","31600"
"In post","2023","Asian","North East (England)","Northumberland, and Tyne and Wear","Outside London","525","495","31070","27890"
"In post","2023","Asian","North East (England)","Tees Valley and Durham","Outside London","160","140","31410","28120"
"In post","2023","Asian","North West (England)","Cheshire","Outside London","90","85","31800","30530"
"In post","2023","Asian","North West (England)","Cumbria","Outside London","15","15","[c]","[c]"
"In post","2023","Asian","North West (England)","Greater Manchester","Outside London","1965","1865","31930","28120"
"In post","2023","Asian","North West (England)","Lancashire","Outside London","1135","1025","27230","23640"
"In post","2023","Asian","North West (England)","Merseyside","Outside London","260","245","32490","27890"
"In post","2023","Asian","Northern Ireland","Northern Ireland","Outside London","20","15","[c]","[c]"
"In post","2023","Asian","Overseas","Overseas","Overseas","170","170","51850","53970"
"In post","2023","Asian","Scotland","Eastern Scotland","Outside London","285","275","35920","31060"
"In post","2023","Asian","Scotland","Highlands and Islands","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scotland","North Eastern Scotland","Outside London","35","35","44520","36530"
"In post","2023","Asian","Scotland","Southern Scotland","Outside London","65","55","30580","22520"
"In post","2023","Asian","Scotland","West Central Scotland","Outside London","410","385","32030","28120"
"In post","2023","Asian","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Outside London","635","585","32800","30200"
"In post","2023","Asian","South East (England)","Hampshire and Isle of Wight","Outside London","385","355","31590","28120"
"In post","2023","Asian","South East (England)","Kent","Outside London","180","170","30810","31280"
"In post","2023","Asian","South East (England)","Surrey, East and West Sussex","Outside London","380","355","33180","30050"
"In post","2023","Asian","South West (England)","Cornwall and Isles of Scilly","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","South West (England)","Devon","Outside London","75","65","35000","31240"
"In post","2023","Asian","South West (England)","Dorset and Somerset","Outside London","30","30","32020","28500"
"In post","2023","Asian","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","840","800","36700","33770"
"In post","2023","Asian","Unknown","Unknown","Unknown","70","65","33840","28120"
"In post","2023","Asian","Wales","East Wales","Outside London","475","455","34320","30610"
"In post","2023","Asian","Wales","West Wales and The Valleys","Outside London","170","155","30320","26960"
"In post","2023","Asian","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Outside London","210","190","29270","28120"
"In post","2023","Asian","West Midlands (England)","Shropshire and Staffordshire","Outside London","390","375","35330","32160"
"In post","2023","Asian","West Midlands (England)","West Midlands","Outside London","4770","4460","30040","28120"
"In post","2023","Asian","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Outside London","40","40","32740","28880"
"In post","2023","Asian","Yorkshire and The Humber","North Yorkshire","Outside London","85","80","33360","29430"
"In post","2023","Asian","Yorkshire and The Humber","South Yorkshire","Outside London","515","480","31250","26940"
"In post","2023","Asian","Yorkshire and The Humber","West Yorkshire","Outside London","2605","2410","30220","28120"
"In post","2023","Black","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","425","410","29990","28120"
"In post","2023","Black","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","210","190","27930","26140"
"In post","2023","Black","East Midlands (England)","Lincolnshire","Outside London","25","25","[c]","[c]"
"In post","2023","Black","East of England","Bedfordshire and Hertfordshire","Outside London","275","260","32540","30880"
"In post","2023","Black","East of England","East Anglia","Outside London","140","135","33110","28880"
"In post","2023","Black","East of England","Essex","Outside London","205","195","31840","31280"
"In post","2023","Black","London","Inner London - East","London","2635","2530","36330","32520"
"In post","2023","Black","London","Inner London - West","London","4295","4190","39990","35650"
"In post","2023","Black","London","Outer London - East and North East","London","820","775","32630","32520"
"In post","2023","Black","London","Outer London - South","London","1750","1675","35470","32520"
"In post","2023","Black","London","Outer London - West and North West","London","810","765","33760","32520"
"In post","2023","Black","North East (England)","Northumberland, and Tyne and Wear","Outside London","150","145","31180","28120"
"In post","2023","Black","North East (England)","Tees Valley and Durham","Outside London","60","55","32000","30600"
