"Status","Year","Disability","Ethnicity","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Asian","London","1555","1450","38120","33010"
"In post","2023","Declared disabled","Asian","Outside London","2055","1870","30230","28120"
"In post","2023","Declared disabled","Asian","Overseas","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Black","London","1430","1360","36250","32520"
"In post","2023","Declared disabled","Black","Outside London","795","735","30870","28120"
"In post","2023","Declared disabled","Black","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","London","545","525","41290","35650"
"In post","2023","Declared disabled","Mixed","Outside London","1065","985","32180","28120"
"In post","2023","Declared disabled","Mixed","Overseas","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","London","190","180","42250","36620"
"In post","2023","Declared disabled","Other ethnicity","Outside London","215","205","33000","30120"
"In post","2023","Declared disabled","Other ethnicity","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","London","450","425","40570","34250"
"In post","2023","Declared disabled","Undeclared","Outside London","1850","1690","32680","28130"
"In post","2023","Declared disabled","Undeclared","Overseas","15","15","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","London","280","265","41670","36690"
"In post","2023","Declared disabled","Unknown","Outside London","1130","1030","32900","28880"
"In post","2023","Declared disabled","Unknown","Overseas","10","10","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","White","London","6140","5880","46330","41440"
"In post","2023","Declared disabled","White","Outside London","42785","38975","31950","28120"
"In post","2023","Declared disabled","White","Overseas","145","145","49540","47300"
"In post","2023","Declared disabled","White","Unknown","95","90","34740","28120"
"In post","2023","Declared non-disabled","Asian","London","11125","10530","39950","35410"
"In post","2023","Declared non-disabled","Asian","Outside London","15330","14260","31010","28120"
