"Status","Year","Age","Ethnicity","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Asian","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Barnet","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Bedford","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Belfast","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Berkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Birmingham","10","10","[c]","[c]"
"In post","2023","16-19","Asian","Blackpool","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Bradford","15","15","[c]","[c]"
"In post","2023","16-19","Asian","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Buckinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Coventry","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Croydon","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Darlington","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Devon CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Dorset","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Dudley","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Durham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
