"Status","Year","Ethnicity","Region_ITL2","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Outside London","AA/AO","190","160","25450","25610"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Outside London","EO","250","225","29800","30890"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Outside London","G6/G7","50","50","63710","61390"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Outside London","SEO/HEO","130","125","39770","38680"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Outside London","Unknown","45","45","29810","28110"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","Outside London","AA/AO","205","180","25370","23590"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","Outside London","EO","220","200","29810","29140"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","Outside London","G6/G7","45","40","61200","57950"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","Outside London","SCS level","5","5","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","Outside London","SEO/HEO","125","120","38660","37730"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Unknown","35","35","28780","25300"
"In post","2023","Asian","Cheshire","Outside London","AA/AO","25","20","[c]","[c]"
"In post","2023","Asian","Cheshire","Outside London","EO","25","25","[c]","[c]"
"In post","2023","Asian","Cheshire","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","Outside London","SEO/HEO","35","30","37320","37540"
"In post","2023","Asian","Cheshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2023","Asian","Cumbria","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Derbyshire and Nottinghamshire","Outside London","AA/AO","305","270","23060","22520"
"In post","2023","Asian","Derbyshire and Nottinghamshire","Outside London","EO","295","275","28000","28120"
"In post","2023","Asian","Derbyshire and Nottinghamshire","Outside London","G6/G7","75","75","59210","57970"
"In post","2023","Asian","Derbyshire and Nottinghamshire","Outside London","SCS level","5","5","[c]","[c]"
"In post","2023","Asian","Derbyshire and Nottinghamshire","Outside London","SEO/HEO","325","315","37010","35000"
"In post","2023","Asian","Derbyshire and Nottinghamshire","Outside London","Unknown","45","40","29930","29050"
"In post","2023","Asian","Devon","Outside London","AA/AO","15","15","[c]","[c]"
"In post","2023","Asian","Devon","Outside London","EO","15","10","[c]","[c]"
"In post","2023","Asian","Devon","Outside London","G6/G7","10","5","[c]","[c]"
"In post","2023","Asian","Devon","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Devon","Outside London","SEO/HEO","30","30","36640","37420"
"In post","2023","Asian","Devon","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Dorset and Somerset","Outside London","AA/AO","10","10","[c]","[c]"
"In post","2023","Asian","Dorset and Somerset","Outside London","EO","10","10","[c]","[c]"
"In post","2023","Asian","Dorset and Somerset","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Dorset and Somerset","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Dorset and Somerset","Outside London","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Asian","Dorset and Somerset","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Anglia","Outside London","AA/AO","190","155","23140","22400"
"In post","2023","Asian","East Anglia","Outside London","EO","95","90","27540","27740"
"In post","2023","Asian","East Anglia","Outside London","G6/G7","20","20","[c]","[c]"
"In post","2023","Asian","East Anglia","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Anglia","Outside London","SEO/HEO","70","70","37500","37300"
"In post","2023","Asian","East Anglia","Outside London","Unknown","10","10","[c]","[c]"
"In post","2023","Asian","East Wales","Outside London","AA/AO","130","125","22870","22520"
"In post","2023","Asian","East Wales","Outside London","EO","105","100","27670","28120"
"In post","2023","Asian","East Wales","Outside London","G6/G7","60","55","59530","59200"
"In post","2023","Asian","East Wales","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Wales","Outside London","SEO/HEO","165","165","37250","35000"
"In post","2023","Asian","East Wales","Outside London","Unknown","10","10","[c]","[c]"
"In post","2023","Asian","East Yorkshire and Northern Lincolnshire","Outside London","AA/AO","15","15","[c]","[c]"
"In post","2023","Asian","East Yorkshire and Northern Lincolnshire","Outside London","EO","10","10","[c]","[c]"
"In post","2023","Asian","East Yorkshire and Northern Lincolnshire","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Yorkshire and Northern Lincolnshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Yorkshire and Northern Lincolnshire","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Asian","East Yorkshire and Northern Lincolnshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Eastern Scotland","Outside London","AA/AO","85","80","23630","22520"
"In post","2023","Asian","Eastern Scotland","Outside London","EO","60","55","29220","29100"
"In post","2023","Asian","Eastern Scotland","Outside London","G6/G7","35","35","61990","60990"
"In post","2023","Asian","Eastern Scotland","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Eastern Scotland","Outside London","SEO/HEO","100","100","39980","38470"
"In post","2023","Asian","Eastern Scotland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Essex","Outside London","AA/AO","45","40","24660","25610"
"In post","2023","Asian","Essex","Outside London","EO","75","65","29920","31280"
"In post","2023","Asian","Essex","Outside London","G6/G7","15","15","[c]","[c]"
"In post","2023","Asian","Essex","Outside London","SCS level","5","5","[c]","[c]"
"In post","2023","Asian","Essex","Outside London","SEO/HEO","30","30","38950","38970"
"In post","2023","Asian","Essex","Outside London","Unknown","10","10","[c]","[c]"
"In post","2023","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","AA/AO","145","135","23180","22400"
"In post","2023","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","EO","140","130","27450","27920"
"In post","2023","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","G6/G7","120","115","57590","55110"
"In post","2023","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","SCS level","10","10","[c]","[c]"
"In post","2023","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","SEO/HEO","375","360","37210","35450"
"In post","2023","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Unknown","55","50","37410","34050"
"In post","2023","Asian","Greater Manchester","Outside London","AA/AO","500","445","22400","22520"
"In post","2023","Asian","Greater Manchester","Outside London","EO","580","555","27510","28120"
"In post","2023","Asian","Greater Manchester","Outside London","G6/G7","185","180","56300","54960"
"In post","2023","Asian","Greater Manchester","Outside London","SCS level","5","5","[c]","[c]"
"In post","2023","Asian","Greater Manchester","Outside London","SEO/HEO","635","620","36180","35000"
"In post","2023","Asian","Greater Manchester","Outside London","Unknown","65","60","30040","26840"
"In post","2023","Asian","Hampshire and Isle of Wight","Outside London","AA/AO","140","115","23060","22220"
"In post","2023","Asian","Hampshire and Isle of Wight","Outside London","EO","85","75","27600","28000"
"In post","2023","Asian","Hampshire and Isle of Wight","Outside London","G6/G7","40","40","54940","54770"
"In post","2023","Asian","Hampshire and Isle of Wight","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Hampshire and Isle of Wight","Outside London","SEO/HEO","110","110","35480","34300"
