"Status","Year","Ethnicity","Function_of_post","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Analysis","Angus and Dundee City","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Ards and North Down","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Barking & Dagenham and Havering","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Barnet","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Bedford","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Belfast","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Berkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Birmingham","Outside London","15","15","[c]","[c]"
"In post","2023","Asian","Analysis","Blackburn with Darwen","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Blackpool","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Bournemouth, Christchurch and Poole","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Bradford","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Breckland and South Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Brent","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Bridgend and Neath Port Talbot","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Brighton and Hove","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Bristol, City of","Outside London","15","10","[c]","[c]"
"In post","2023","Asian","Analysis","Bromley","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Buckinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Calderdale and Kirklees","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Cambridgeshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Camden and City of London","London","25","25","[c]","[c]"
"In post","2023","Asian","Analysis","Cardiff and Vale of Glamorgan","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Central Bedfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Central Hampshire","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Central Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Cheshire East","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","City of Edinburgh","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Conwy and Denbighshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Coventry","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Croydon","London","20","15","[c]","[c]"
"In post","2023","Asian","Analysis","Darlington","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Derby","Outside London","[c]","[c]","[c]","[c]"
