"Status","Year","Age","Profession_of_post","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Commercial","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","AO","Female","5","5","[c]","[c]"
"In post","2023","16-19","Communications","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","AO","Male","10","10","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","EO","Male","10","10","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","EO","Female","15","15","[c]","[c]"
"In post","2023","16-19","Economics","EO","Male","10","10","[c]","[c]"
"In post","2023","16-19","Finance","AO","Female","15","10","[c]","[c]"
"In post","2023","16-19","Finance","AO","Male","20","15","[c]","[c]"
