"Status","Year","Disability","Profession_of_post","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Commercial","Bedfordshire and Hertfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Outside London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Cheshire","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Derbyshire and Nottinghamshire","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Devon","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Dorset and Somerset","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East Anglia","Outside London","25","25","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East Wales","Outside London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East Yorkshire and Northern Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Eastern Scotland","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","175","165","44990","42620"
"In post","2023","Declared disabled","Commercial","Greater Manchester","Outside London","45","45","47670","39750"
"In post","2023","Declared disabled","Commercial","Hampshire and Isle of Wight","Outside London","30","30","44210","40240"
"In post","2023","Declared disabled","Commercial","Herefordshire, Worcestershire and Warwickshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Highlands and Islands","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Inner London - East","London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Inner London - West","London","145","140","57310","55320"
"In post","2023","Declared disabled","Commercial","Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Lancashire","Outside London","30","30","40770","38470"
"In post","2023","Declared disabled","Commercial","Leicestershire, Rutland and Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Merseyside","Outside London","40","35","37720","33210"
"In post","2023","Declared disabled","Commercial","North Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North Yorkshire","Outside London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Northumberland, and Tyne and Wear","Outside London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Outer London - East and North East","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Outer London - South","London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Outer London - West and North West","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Shropshire and Staffordshire","Outside London","25","25","[c]","[c]"
"In post","2023","Declared disabled","Commercial","South Yorkshire","Outside London","40","35","40720","38470"
"In post","2023","Declared disabled","Commercial","Southern Scotland","Outside London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Surrey, East and West Sussex","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Tees Valley and Durham","Outside London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","West Central Scotland","Outside London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","West Midlands","Outside London","25","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","West Wales and The Valleys","Outside London","25","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","West Yorkshire","Outside London","50","50","40410","35650"
"In post","2023","Declared disabled","Communications","Bedfordshire and Hertfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Berkshire, Buckinghamshire and Oxfordshire","Outside London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","Cheshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Derbyshire and Nottinghamshire","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","Devon","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","Dorset and Somerset","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","East Anglia","Outside London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","East Wales","Outside London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Communications","East Yorkshire and Northern Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Communications","Greater Manchester","Outside London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Communications","Hampshire and Isle of Wight","Outside London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Communications","Herefordshire, Worcestershire and Warwickshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Highlands and Islands","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Inner London - East","London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Communications","Inner London - West","London","110","105","47080","44360"
"In post","2023","Declared disabled","Communications","Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Leicestershire, Rutland and Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","North Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","North Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Northumberland, and Tyne and Wear","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Outer London - East and North East","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Outer London - South","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Outer London - West and North West","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Overseas","Overseas","[c]","[c]","[c]","[c]"
