"Status","Year","Profession_of_post","Region_ITL2","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","Bedfordshire and Hertfordshire","AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bedfordshire and Hertfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bedfordshire and Hertfordshire","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bedfordshire and Hertfordshire","HEO","5","5","[c]","[c]"
"In post","2023","Commercial","Bedfordshire and Hertfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bedfordshire and Hertfordshire","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Berkshire, Buckinghamshire and Oxfordshire","AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Berkshire, Buckinghamshire and Oxfordshire","EO","40","40","28300","28540"
"In post","2023","Commercial","Berkshire, Buckinghamshire and Oxfordshire","G6","5","5","[c]","[c]"
"In post","2023","Commercial","Berkshire, Buckinghamshire and Oxfordshire","G7","30","30","59620","58790"
"In post","2023","Commercial","Berkshire, Buckinghamshire and Oxfordshire","HEO","45","45","35230","35330"
"In post","2023","Commercial","Berkshire, Buckinghamshire and Oxfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Berkshire, Buckinghamshire and Oxfordshire","SEO","70","65","43360","43490"
"In post","2023","Commercial","Cheshire","AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cheshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cheshire","G6","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cheshire","G7","5","5","[c]","[c]"
"In post","2023","Commercial","Cheshire","HEO","15","15","35420","33200"
"In post","2023","Commercial","Cheshire","SEO","10","10","40500","38940"
"In post","2023","Commercial","Cornwall and Isles of Scilly","AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cornwall and Isles of Scilly","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cornwall and Isles of Scilly","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cumbria","G6","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cumbria","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cumbria","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cumbria","Unknown","15","15","39930","42620"
"In post","2023","Commercial","Derbyshire and Nottinghamshire","AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Derbyshire and Nottinghamshire","EO","10","5","[c]","[c]"
"In post","2023","Commercial","Derbyshire and Nottinghamshire","G6","15","15","74000","74320"
"In post","2023","Commercial","Derbyshire and Nottinghamshire","G7","25","25","56810","56000"
"In post","2023","Commercial","Derbyshire and Nottinghamshire","HEO","15","15","33040","32800"
"In post","2023","Commercial","Derbyshire and Nottinghamshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Derbyshire and Nottinghamshire","SEO","35","35","42330","41780"
"In post","2023","Commercial","Derbyshire and Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Devon","AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Devon","EO","5","5","[c]","[c]"
"In post","2023","Commercial","Devon","G6","10","10","[c]","[c]"
"In post","2023","Commercial","Devon","G7","20","20","54430","51940"
"In post","2023","Commercial","Devon","HEO","15","10","32950","34170"
"In post","2023","Commercial","Devon","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Devon","SEO","25","25","39990","40050"
"In post","2023","Commercial","Devon","Unknown","10","10","41150","42620"
"In post","2023","Commercial","Dorset and Somerset","AO","5","5","[c]","[c]"
"In post","2023","Commercial","Dorset and Somerset","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Dorset and Somerset","G6","5","5","[c]","[c]"
"In post","2023","Commercial","Dorset and Somerset","G7","10","10","[c]","[c]"
"In post","2023","Commercial","Dorset and Somerset","HEO","15","15","33990","34240"
"In post","2023","Commercial","Dorset and Somerset","SEO","20","15","45390","43710"
"In post","2023","Commercial","East Anglia","AO","5","5","[c]","[c]"
"In post","2023","Commercial","East Anglia","EO","15","15","27420","27470"
"In post","2023","Commercial","East Anglia","G6","20","20","76870","73970"
"In post","2023","Commercial","East Anglia","G7","40","40","61460","65220"
"In post","2023","Commercial","East Anglia","HEO","55","55","33400","33200"
"In post","2023","Commercial","East Anglia","SCS level","5","5","[c]","[c]"
"In post","2023","Commercial","East Anglia","SEO","95","90","41950","40980"
"In post","2023","Commercial","East Anglia","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Wales","AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Wales","EO","35","35","27420","27250"
"In post","2023","Commercial","East Wales","G6","10","10","69480","66860"
"In post","2023","Commercial","East Wales","G7","30","30","56950","56000"
"In post","2023","Commercial","East Wales","HEO","60","60","32990","32250"
"In post","2023","Commercial","East Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Wales","SEO","55","55","40580","40450"
"In post","2023","Commercial","East Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Yorkshire and Northern Lincolnshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Yorkshire and Northern Lincolnshire","G6","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Yorkshire and Northern Lincolnshire","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Yorkshire and Northern Lincolnshire","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Yorkshire and Northern Lincolnshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Yorkshire and Northern Lincolnshire","SEO","5","5","[c]","[c]"
"In post","2023","Commercial","Eastern Scotland","AA","15","15","23940","22920"
"In post","2023","Commercial","Eastern Scotland","AO","20","20","27900","28490"
"In post","2023","Commercial","Eastern Scotland","EO","15","15","33470","33290"
"In post","2023","Commercial","Eastern Scotland","G6","5","5","[c]","[c]"
"In post","2023","Commercial","Eastern Scotland","G7","10","10","[c]","[c]"
"In post","2023","Commercial","Eastern Scotland","HEO","20","20","38310","39360"
"In post","2023","Commercial","Eastern Scotland","SEO","15","15","48260","48410"
"In post","2023","Commercial","Eastern Scotland","Unknown","5","5","[c]","[c]"
"In post","2023","Commercial","Essex","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Essex","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Essex","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","AO","130","125","23470","22220"
"In post","2023","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","EO","125","120","26810","27080"
"In post","2023","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","G6","110","105","72630","70890"
"In post","2023","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","G7","255","245","55150","55500"
"In post","2023","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","HEO","370","355","33390","33830"
"In post","2023","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","SCS level","45","45","108150","102820"
"In post","2023","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","SEO","440","420","42110","42620"
"In post","2023","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","130","125","43960","42620"
"In post","2023","Commercial","Greater Manchester","AO","10","10","[c]","[c]"
"In post","2023","Commercial","Greater Manchester","EO","30","30","27610","27650"
"In post","2023","Commercial","Greater Manchester","G6","50","45","75930","72020"
"In post","2023","Commercial","Greater Manchester","G7","90","90","60720","57970"
"In post","2023","Commercial","Greater Manchester","HEO","60","60","32900","33200"
"In post","2023","Commercial","Greater Manchester","SCS level","10","10","98700","94550"
"In post","2023","Commercial","Greater Manchester","SEO","110","110","41520","39180"
"In post","2023","Commercial","Greater Manchester","Unknown","5","5","[c]","[c]"
"In post","2023","Commercial","Hampshire and Isle of Wight","AO","5","5","[c]","[c]"
"In post","2023","Commercial","Hampshire and Isle of Wight","EO","60","55","27000","27140"
"In post","2023","Commercial","Hampshire and Isle of Wight","G6","20","20","74890","71000"
"In post","2023","Commercial","Hampshire and Isle of Wight","G7","45","45","58840","56000"
"In post","2023","Commercial","Hampshire and Isle of Wight","HEO","75","75","33710","34080"
"In post","2023","Commercial","Hampshire and Isle of Wight","SCS level","5","5","[c]","[c]"
"In post","2023","Commercial","Hampshire and Isle of Wight","SEO","90","90","42070","42620"
"In post","2023","Commercial","Herefordshire, Worcestershire and Warwickshire","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Herefordshire, Worcestershire and Warwickshire","SEO","5","5","[c]","[c]"
"In post","2023","Commercial","Herefordshire, Worcestershire and Warwickshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Highlands and Islands","AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Highlands and Islands","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Inner London - East","AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Inner London - East","EO","10","10","30250","29660"
"In post","2023","Commercial","Inner London - East","G6","20","20","76500","72650"
"In post","2023","Commercial","Inner London - East","G7","45","40","59210","56430"
"In post","2023","Commercial","Inner London - East","HEO","55","55","34130","35410"
"In post","2023","Commercial","Inner London - East","SCS level","15","15","111480","107710"
"In post","2023","Commercial","Inner London - East","SEO","40","40","46380","43650"
"In post","2023","Commercial","Inner London - West","AO","20","20","25690","25480"
