"Status","Year","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Unknown","125","115","34020","31940"
"In post","2023","Active Travel England","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","5","5","[c]","[c]"
"In post","2023","Active Travel England","Other","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","10","10","[c]","[c]"
"In post","2023","Active Travel England","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","10","10","50950","51650"
"In post","2023","Active Travel England","Science and Engineering","15","15","48140","40560"
"In post","2023","Active Travel England","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","20","15","38750","36280"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","65","60","46420","45070"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","20","20","37480","26260"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","25","25","39940","41070"
"In post","2023","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","845","770","32880","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","10","10","46650","41070"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","10","10","40370","41070"
"In post","2023","Animal and Plant Health Agency","Commercial","15","15","38540","37950"
"In post","2023","Animal and Plant Health Agency","Digital, Data and Technology","15","15","33390","30960"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","2110","2005","28780","25920"
"In post","2023","Animal and Plant Health Agency","Other","25","25","36550","34140"
"In post","2023","Animal and Plant Health Agency","Project Delivery","35","30","35400","31660"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","575","550","33020","29080"
"In post","2023","Animal and Plant Health Agency","Unknown","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Veterinarian","320","300","43510","38920"
"In post","2023","Attorney General's Office","Communications","5","5","[c]","[c]"
"In post","2023","Attorney General's Office","Corporate Finance","[c]","[c]","[c]","[c]"
