"Status","Year","Disability","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","East Midlands (England)","Heterosexual / straight","2520","2295","30560","28120"
"In post","2023","Declared disabled","East Midlands (England)","LGBO","295","285","30740","28120"
"In post","2023","Declared disabled","East Midlands (England)","Undeclared","360","325","30350","28120"
"In post","2023","Declared disabled","East Midlands (England)","Unknown","160","140","29290","28120"
"In post","2023","Declared disabled","East of England","Heterosexual / straight","2275","2065","31840","29650"
"In post","2023","Declared disabled","East of England","LGBO","215","205","29580","28120"
"In post","2023","Declared disabled","East of England","Undeclared","280","250","30980","29050"
"In post","2023","Declared disabled","East of England","Unknown","145","130","30860","28120"
"In post","2023","Declared disabled","London","Heterosexual / straight","7605","7220","43260","38030"
"In post","2023","Declared disabled","London","LGBO","1185","1160","45110","40800"
"In post","2023","Declared disabled","London","Undeclared","1045","985","41810","36180"
"In post","2023","Declared disabled","London","Unknown","755","715","39590","32520"
"In post","2023","Declared disabled","North East (England)","Heterosexual / straight","3360","2980","29920","28120"
"In post","2023","Declared disabled","North East (England)","LGBO","335","320","30570","28120"
"In post","2023","Declared disabled","North East (England)","Undeclared","330","290","29670","28120"
"In post","2023","Declared disabled","North East (England)","Unknown","285","240","27400","23230"
"In post","2023","Declared disabled","North West (England)","Heterosexual / straight","6540","5925","31130","28120"
"In post","2023","Declared disabled","North West (England)","LGBO","800","765","31100","28120"
"In post","2023","Declared disabled","North West (England)","Undeclared","780","700","30210","28120"
"In post","2023","Declared disabled","North West (England)","Unknown","550","475","29310","28120"
"In post","2023","Declared disabled","Northern Ireland","Heterosexual / straight","300","280","32030","28130"
"In post","2023","Declared disabled","Northern Ireland","LGBO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Northern Ireland","Undeclared","30","30","32370","28350"
"In post","2023","Declared disabled","Northern Ireland","Unknown","25","25","[c]","[c]"
"In post","2023","Declared disabled","Overseas","Heterosexual / straight","130","130","49040","44760"
"In post","2023","Declared disabled","Overseas","LGBO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Overseas","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Overseas","Unknown","30","30","51660","45810"
"In post","2023","Declared disabled","Scotland","Heterosexual / straight","3725","3385","33050","28120"
"In post","2023","Declared disabled","Scotland","LGBO","630","605","33450","29100"
"In post","2023","Declared disabled","Scotland","Undeclared","420","380","32180","28120"
"In post","2023","Declared disabled","Scotland","Unknown","550","495","33310","30440"
"In post","2023","Declared disabled","South East (England)","Heterosexual / straight","4045","3710","32790","30000"
"In post","2023","Declared disabled","South East (England)","LGBO","470","450","31530","29510"
"In post","2023","Declared disabled","South East (England)","Undeclared","535","485","32720","29730"
"In post","2023","Declared disabled","South East (England)","Unknown","320","285","34890","30650"
"In post","2023","Declared disabled","South West (England)","Heterosexual / straight","4445","4130","34930","31920"
"In post","2023","Declared disabled","South West (England)","LGBO","490","470","33640","30720"
"In post","2023","Declared disabled","South West (England)","Undeclared","635","580","34450","31660"
"In post","2023","Declared disabled","South West (England)","Unknown","350","325","36890","33660"
"In post","2023","Declared disabled","Unknown","Heterosexual / straight","85","80","34150","28120"
"In post","2023","Declared disabled","Unknown","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Undeclared","15","15","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Wales","Heterosexual / straight","3110","2820","31120","28120"
"In post","2023","Declared disabled","Wales","LGBO","395","380","31970","28120"
"In post","2023","Declared disabled","Wales","Undeclared","545","470","28830","26710"
"In post","2023","Declared disabled","Wales","Unknown","175","155","29230","27890"
"In post","2023","Declared disabled","West Midlands (England)","Heterosexual / straight","3410","3110","31540","28120"
"In post","2023","Declared disabled","West Midlands (England)","LGBO","365","350","31490","28120"
"In post","2023","Declared disabled","West Midlands (England)","Undeclared","415","370","30580","28120"
