"Status","Year","Function_of_post","Region_ITL3","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Angus and Dundee City","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Angus and Dundee City","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Angus and Dundee City","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Angus and Dundee City","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Ards and North Down","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Ards and North Down","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Barking & Dagenham and Havering","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Barking & Dagenham and Havering","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Barking & Dagenham and Havering","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Barking & Dagenham and Havering","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Barnet","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Barnet","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","G7","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","HEO","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","HEO","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Bedford","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bedford","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bedford","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bedford","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Belfast","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Belfast","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Belfast","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Belfast","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Birmingham","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Birmingham","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Birmingham","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Birmingham","EO","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Birmingham","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Birmingham","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Birmingham","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Birmingham","G7","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Birmingham","HEO","Female","20","15","[c]","[c]"
"In post","2023","Analysis","Birmingham","HEO","Male","20","20","[c]","[c]"
"In post","2023","Analysis","Birmingham","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Birmingham","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Birmingham","SEO","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Birmingham","SEO","Male","15","15","[c]","[c]"
"In post","2023","Analysis","Blackburn with Darwen","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Blackburn with Darwen","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Blackpool","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Blackpool","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Blackpool","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Blackpool","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bournemouth, Christchurch and Poole","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bournemouth, Christchurch and Poole","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bournemouth, Christchurch and Poole","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bournemouth, Christchurch and Poole","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bradford","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bradford","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Breckland and South Norfolk","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Breckland and South Norfolk","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Breckland and South Norfolk","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Breckland and South Norfolk","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Brent","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Brent","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bridgend and Neath Port Talbot","SEO","Female","[c]","[c]","[c]","[c]"
