"Status","Year","Age","Function_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Analysis","AA/AO","20","20","23180","23340"
"In post","2023","16-19","Analysis","EO","40","40","26610","25660"
"In post","2023","16-19","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","AA/AO","55","55","22550","22520"
"In post","2023","16-19","Digital, Data & Technology","AA/AO","20","20","21480","21690"
"In post","2023","16-19","Digital, Data & Technology","EO","15","15","27830","28120"
"In post","2023","16-19","Digital, Data & Technology","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Finance","AA/AO","30","30","21630","21160"
"In post","2023","16-19","Finance","EO","5","5","[c]","[c]"
"In post","2023","16-19","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Grants Management","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Human Resources","AA/AO","15","15","22050","22220"
"In post","2023","16-19","Human Resources","EO","5","5","[c]","[c]"
"In post","2023","16-19","Legal","AA/AO","55","55","21130","20980"
"In post","2023","16-19","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","AA/AO","815","780","23370","22520"
"In post","2023","16-19","No function","EO","70","70","27080","26000"
"In post","2023","16-19","No function","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Unknown","35","30","20180","19090"
"In post","2023","16-19","Project Delivery","AA/AO","10","10","20240","19460"
"In post","2023","16-19","Project Delivery","EO","5","5","[c]","[c]"
"In post","2023","16-19","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Unknown","20","20","18750","18280"
"In post","2023","16-19","Property","AA/AO","25","25","21680","22520"
"In post","2023","16-19","Property","EO","5","5","[c]","[c]"
"In post","2023","16-19","Property","Unknown","15","15","23420","22750"
"In post","2023","16-19","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","EO","10","10","25540","24610"
"In post","2023","16-19","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","AA/AO","85","85","22520","22180"
"In post","2023","16-19","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","30","30","19860","17650"
"In post","2023","20-29","Analysis","AA/AO","150","150","22910","23200"
"In post","2023","20-29","Analysis","EO","415","415","27980","28120"
"In post","2023","20-29","Analysis","G6/G7","485","485","56550","55720"
"In post","2023","20-29","Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","SEO/HEO","2645","2630","36480","35530"
"In post","2023","20-29","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","AA/AO","115","115","23610","22390"
"In post","2023","20-29","Commercial","EO","240","235","27340","27140"
"In post","2023","20-29","Commercial","G6/G7","130","130","60760","56200"
"In post","2023","20-29","Commercial","SEO/HEO","695","695","35820","34970"
"In post","2023","20-29","Commercial","Unknown","30","30","31730","28490"
"In post","2023","20-29","Communications","AA/AO","40","40","23670","22520"
"In post","2023","20-29","Communications","EO","155","155","28130","28070"
"In post","2023","20-29","Communications","G6/G7","55","55","55490","55720"
"In post","2023","20-29","Communications","SEO/HEO","590","590","37830","37300"
"In post","2023","20-29","Communications","Unknown","10","10","[c]","[c]"
"In post","2023","20-29","Counter Fraud","AA/AO","300","295","23320","22520"
"In post","2023","20-29","Counter Fraud","EO","1175","1165","29150","28120"
"In post","2023","20-29","Counter Fraud","G6/G7","40","40","59250","57970"
"In post","2023","20-29","Counter Fraud","SEO/HEO","480","480","36510","34700"
"In post","2023","20-29","Debt","AA/AO","1515","1465","22640","22520"
"In post","2023","20-29","Debt","EO","175","170","28090","28120"
"In post","2023","20-29","Debt","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Debt","SEO/HEO","30","30","35200","34550"
"In post","2023","20-29","Digital, Data & Technology","AA/AO","245","245","22160","21690"
"In post","2023","20-29","Digital, Data & Technology","EO","1060","1045","27870","27650"
"In post","2023","20-29","Digital, Data & Technology","G6/G7","390","390","55550","55150"
"In post","2023","20-29","Digital, Data & Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","SEO/HEO","2285","2280","36770","35650"
"In post","2023","20-29","Digital, Data & Technology","Unknown","25","25","28810","24750"
"In post","2023","20-29","Finance","AA/AO","375","355","23060","22520"
"In post","2023","20-29","Finance","EO","420","420","27910","27650"
"In post","2023","20-29","Finance","G6/G7","160","160","56290","55720"
"In post","2023","20-29","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","SEO/HEO","750","750","36460","35000"
"In post","2023","20-29","Finance","Unknown","15","15","32140","31920"
"In post","2023","20-29","Grants Management","AA/AO","300","290","22110","22150"
"In post","2023","20-29","Grants Management","EO","85","85","25800","25920"
"In post","2023","20-29","Grants Management","G6/G7","5","5","[c]","[c]"
"In post","2023","20-29","Grants Management","SEO/HEO","35","35","34820","34400"
"In post","2023","20-29","Human Resources","AA/AO","260","255","22450","22220"
"In post","2023","20-29","Human Resources","EO","515","510","27670","27760"
"In post","2023","20-29","Human Resources","G6/G7","170","170","56180","55150"
"In post","2023","20-29","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Human Resources","SEO/HEO","720","715","35130","34190"
"In post","2023","20-29","Human Resources","Unknown","10","10","[c]","[c]"
"In post","2023","20-29","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Internal Audit","EO","10","10","28220","27540"
"In post","2023","20-29","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Internal Audit","SEO/HEO","35","35","35970","35500"
"In post","2023","20-29","Legal","AA/AO","605","595","23040","22870"
"In post","2023","20-29","Legal","EO","690","685","28330","27890"
"In post","2023","20-29","Legal","G6/G7","350","345","53090","52360"
"In post","2023","20-29","Legal","SEO/HEO","335","335","37830","38760"
"In post","2023","20-29","No function","AA/AO","20770","20215","25020","22520"
"In post","2023","20-29","No function","EO","13955","13785","28600","28120"
"In post","2023","20-29","No function","G6/G7","3000","2990","56400","55120"
"In post","2023","20-29","No function","SCS level","10","10","[c]","[c]"
"In post","2023","20-29","No function","SEO/HEO","12010","11950","36570","35060"
"In post","2023","20-29","No function","Unknown","4455","4350","25660","24570"
"In post","2023","20-29","Project Delivery","AA/AO","215","210","22490","22520"
"In post","2023","20-29","Project Delivery","EO","470","460","27460","27140"
"In post","2023","20-29","Project Delivery","G6/G7","315","315","55880","55120"
"In post","2023","20-29","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Project Delivery","SEO/HEO","1920","1910","35890","34700"
"In post","2023","20-29","Project Delivery","Unknown","420","415","30370","31920"
"In post","2023","20-29","Property","AA/AO","325","320","22560","22520"
"In post","2023","20-29","Property","EO","295","290","27640","26890"
