"Status","Year","Ethnicity","Region_ITL2","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Bedfordshire and Hertfordshire","AA/AO","Heterosexual / straight","145","125","25550","25600"
"In post","2023","Asian","Bedfordshire and Hertfordshire","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","AA/AO","Undeclared","15","10","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","AA/AO","Unknown","20","15","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","EO","Heterosexual / straight","205","190","29720","30930"
"In post","2023","Asian","Bedfordshire and Hertfordshire","EO","LGBO","5","5","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","EO","Undeclared","15","15","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","EO","Unknown","20","15","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","G6/G7","Heterosexual / straight","40","40","64200","61350"
"In post","2023","Asian","Bedfordshire and Hertfordshire","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","SEO/HEO","Heterosexual / straight","115","110","39680","38680"
"In post","2023","Asian","Bedfordshire and Hertfordshire","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","SEO/HEO","Unknown","10","5","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Unknown","Heterosexual / straight","40","40","30220","29050"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Heterosexual / straight","165","150","25650","24070"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Undeclared","15","10","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Unknown","25","20","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","EO","Heterosexual / straight","185","175","29780","29140"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","EO","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","EO","Unknown","20","20","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Heterosexual / straight","35","30","61630","57950"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Heterosexual / straight","105","100","38760","37730"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Heterosexual / straight","30","30","29150","25300"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","AA/AO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Asian","Cheshire","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","EO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Asian","Cheshire","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","SEO/HEO","Heterosexual / straight","30","30","[c]","[c]"
"In post","2023","Asian","Cheshire","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cornwall and Isles of Scilly","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Asian","Cumbria","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cumbria","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Derbyshire and Nottinghamshire","AA/AO","Heterosexual / straight","235","215","23070","22520"
"In post","2023","Asian","Derbyshire and Nottinghamshire","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2023","Asian","Derbyshire and Nottinghamshire","AA/AO","Undeclared","15","10","[c]","[c]"
"In post","2023","Asian","Derbyshire and Nottinghamshire","AA/AO","Unknown","45","35","23020","22520"
"In post","2023","Asian","Derbyshire and Nottinghamshire","EO","Heterosexual / straight","240","225","27940","28120"
"In post","2023","Asian","Derbyshire and Nottinghamshire","EO","LGBO","5","5","[c]","[c]"
"In post","2023","Asian","Derbyshire and Nottinghamshire","EO","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Derbyshire and Nottinghamshire","EO","Unknown","35","30","28350","28120"
"In post","2023","Asian","Derbyshire and Nottinghamshire","G6/G7","Heterosexual / straight","70","65","58880","57970"
"In post","2023","Asian","Derbyshire and Nottinghamshire","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Derbyshire and Nottinghamshire","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Derbyshire and Nottinghamshire","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2023","Asian","Derbyshire and Nottinghamshire","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Asian","Derbyshire and Nottinghamshire","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Derbyshire and Nottinghamshire","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Derbyshire and Nottinghamshire","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Derbyshire and Nottinghamshire","SEO/HEO","Heterosexual / straight","275","265","36900","35000"
"In post","2023","Asian","Derbyshire and Nottinghamshire","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Derbyshire and Nottinghamshire","SEO/HEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Derbyshire and Nottinghamshire","SEO/HEO","Unknown","40","40","37870","35000"
"In post","2023","Asian","Derbyshire and Nottinghamshire","Unknown","Heterosexual / straight","40","35","29700","27940"
"In post","2023","Asian","Derbyshire and Nottinghamshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Derbyshire and Nottinghamshire","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Derbyshire and Nottinghamshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Devon","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Asian","Devon","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Devon","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Devon","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Devon","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Asian","Devon","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Devon","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Devon","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Devon","G6/G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Asian","Devon","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Devon","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Devon","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Devon","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Devon","SCS level","LGBO","[c]","[c]","[c]","[c]"
