"Status","Year","Parent_department","Region_london","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","London","AA","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","London","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","London","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","London","AO","Heterosexual / straight","305","290","24190","24480"
"In post","2023","Attorney General's Departments","London","AO","LGBO","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","London","AO","Undeclared","20","15","[c]","[c]"
"In post","2023","Attorney General's Departments","London","AO","Unknown","65","60","24590","24480"
"In post","2023","Attorney General's Departments","London","EO","Heterosexual / straight","590","565","29180","28200"
"In post","2023","Attorney General's Departments","London","EO","LGBO","45","45","29230","28410"
"In post","2023","Attorney General's Departments","London","EO","Undeclared","50","50","29340","28410"
"In post","2023","Attorney General's Departments","London","EO","Unknown","120","110","29480","29710"
"In post","2023","Attorney General's Departments","London","G6","Heterosexual / straight","580","535","69810","67650"
"In post","2023","Attorney General's Departments","London","G6","LGBO","50","50","71530","68780"
"In post","2023","Attorney General's Departments","London","G6","Undeclared","70","65","70360","68570"
"In post","2023","Attorney General's Departments","London","G6","Unknown","255","230","71010","68610"
"In post","2023","Attorney General's Departments","London","G7","Heterosexual / straight","1190","1125","56850","54100"
"In post","2023","Attorney General's Departments","London","G7","LGBO","85","80","56000","53600"
"In post","2023","Attorney General's Departments","London","G7","Undeclared","95","90","57200","54320"
"In post","2023","Attorney General's Departments","London","G7","Unknown","275","250","58840","57950"
"In post","2023","Attorney General's Departments","London","HEO","Heterosexual / straight","305","295","35850","34100"
"In post","2023","Attorney General's Departments","London","HEO","LGBO","30","30","38290","34520"
"In post","2023","Attorney General's Departments","London","HEO","Undeclared","25","25","[c]","[c]"
"In post","2023","Attorney General's Departments","London","HEO","Unknown","75","70","35490","34570"
"In post","2023","Attorney General's Departments","London","SCS level","Heterosexual / straight","175","165","89400","82700"
"In post","2023","Attorney General's Departments","London","SCS level","LGBO","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","London","SCS level","Undeclared","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","London","SCS level","Unknown","55","50","90280","82680"
