"Status","Year","Ethnicity","Function_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Analysis","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Cheshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Derbyshire and Nottinghamshire","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Devon","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East Anglia","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East Wales","40","35","36900","37720"
"In post","2023","Asian","Analysis","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Essex","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","20","20","[c]","[c]"
"In post","2023","Asian","Analysis","Greater Manchester","40","40","38820","35000"
"In post","2023","Asian","Analysis","Hampshire and Isle of Wight","30","30","37040","36830"
"In post","2023","Asian","Analysis","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Inner London - East","180","175","44280","40590"
"In post","2023","Asian","Analysis","Inner London - West","355","350","46620","43590"
"In post","2023","Asian","Analysis","Kent","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Northumberland, and Tyne and Wear","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Outer London - South","20","20","[c]","[c]"
"In post","2023","Asian","Analysis","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","South Yorkshire","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Tees Valley and Durham","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","West Central Scotland","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","West Midlands","30","30","[c]","[c]"
"In post","2023","Asian","Analysis","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","West Yorkshire","15","15","[c]","[c]"
"In post","2023","Asian","Commercial","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Berkshire, Buckinghamshire and Oxfordshire","10","10","[c]","[c]"
"In post","2023","Asian","Commercial","Cheshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Devon","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","East Anglia","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Essex","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","30","30","43400","39420"
"In post","2023","Asian","Commercial","Greater Manchester","25","25","[c]","[c]"
"In post","2023","Asian","Commercial","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Inner London - East","45","40","45140","41480"
"In post","2023","Asian","Commercial","Inner London - West","170","165","53350","44870"
"In post","2023","Asian","Commercial","Kent","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Outer London - South","20","15","[c]","[c]"
"In post","2023","Asian","Commercial","Outer London - West and North West","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Shropshire and Staffordshire","10","10","[c]","[c]"
"In post","2023","Asian","Commercial","South Yorkshire","10","10","[c]","[c]"
"In post","2023","Asian","Commercial","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","West Midlands","25","25","[c]","[c]"
"In post","2023","Asian","Commercial","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","West Yorkshire","15","15","[c]","[c]"
"In post","2023","Asian","Communications","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Cheshire","[c]","[c]","[c]","[c]"
