"Status","Year","Disability","Function_of_post","Organisation","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","EO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","SEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Charity Commission","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Charity Commission","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Charity Commission","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Companies House","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Companies House","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Competition and Markets Authority","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Competition and Markets Authority","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Competition and Markets Authority","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Competition and Markets Authority","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Competition and Markets Authority","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Defence Electronics and Components Agency","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Defence Science and Technology Laboratory","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Defence Science and Technology Laboratory","AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Defence Science and Technology Laboratory","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Defence Science and Technology Laboratory","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Defence Science and Technology Laboratory","G7","95","90","51830","49260"
"In post","2023","Declared disabled","Analysis","Defence Science and Technology Laboratory","HEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Defence Science and Technology Laboratory","SEO","65","60","39620","39890"
"In post","2023","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Education (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Education (excl. agencies)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Education (excl. agencies)","G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Education (excl. agencies)","HEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Education (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Education (excl. agencies)","SEO","30","25","44160","43860"
"In post","2023","Declared disabled","Analysis","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for International Trade","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for International Trade","G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for International Trade","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for International Trade","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for International Trade","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","G6","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Transport (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Transport (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Transport (excl. agencies)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Transport (excl. agencies)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Transport (excl. agencies)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Transport (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Transport (excl. agencies)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Work and Pensions (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Work and Pensions (excl. agencies)","EO","10","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Work and Pensions (excl. agencies)","G6","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Work and Pensions (excl. agencies)","G7","20","20","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Work and Pensions (excl. agencies)","HEO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Work and Pensions (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department for Work and Pensions (excl. agencies)","SEO","25","20","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department of Health and Social Care (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department of Health and Social Care (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department of Health and Social Care (excl. agencies)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department of Health and Social Care (excl. agencies)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department of Health and Social Care (excl. agencies)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department of Health and Social Care (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Department of Health and Social Care (excl. agencies)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Driver and Vehicle Standards Agency","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Driver and Vehicle Standards Agency","AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Driver and Vehicle Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Driver and Vehicle Standards Agency","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Driver and Vehicle Standards Agency","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Driver and Vehicle Standards Agency","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Education and Skills Funding Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Education and Skills Funding Agency","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Education and Skills Funding Agency","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Education and Skills Funding Agency","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Education and Skills Funding Agency","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Estyn","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Estyn","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Food Standards Agency","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Food Standards Agency","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Food Standards Agency","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Food Standards Agency","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Food Standards Agency","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Government Actuary's Department","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Government Actuary's Department","G6","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Government Actuary's Department","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Government Actuary's Department","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Government Actuary's Department","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Government Actuary's Department","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Government Legal Department","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Government Legal Department","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Government Legal Department","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Government Legal Department","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Courts and Tribunals Service","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Courts and Tribunals Service","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Courts and Tribunals Service","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Courts and Tribunals Service","HEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Courts and Tribunals Service","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Courts and Tribunals Service","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Crown Prosecution Service Inspectorate","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Land Registry","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Land Registry","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Land Registry","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Land Registry","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Land Registry","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Land Registry","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Prison and Probation Service","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Prison and Probation Service","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Prison and Probation Service","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Revenue and Customs (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Revenue and Customs (excl. agencies)","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Revenue and Customs (excl. agencies)","G6","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Revenue and Customs (excl. agencies)","G7","20","20","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Revenue and Customs (excl. agencies)","HEO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Revenue and Customs (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Revenue and Customs (excl. agencies)","SEO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Treasury (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Treasury (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Treasury (excl. agencies)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Treasury (excl. agencies)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Treasury (excl. agencies)","HEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Treasury (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HM Treasury (excl. agencies)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Health and Safety Executive","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Health and Safety Executive","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Health and Safety Executive","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Health and Safety Executive","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Health and Safety Executive","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Health and Safety Executive","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Home Office","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Home Office","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Home Office","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Home Office","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Home Office","G7","15","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Home Office","HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Home Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Home Office","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Intellectual Property Office","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Intellectual Property Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Intellectual Property Office","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Intellectual Property Office","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Intellectual Property Office","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Intellectual Property Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Intellectual Property Office","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Medicines and Healthcare Products Regulatory Agency","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Medicines and Healthcare Products Regulatory Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Medicines and Healthcare Products Regulatory Agency","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Medicines and Healthcare Products Regulatory Agency","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Medicines and Healthcare Products Regulatory Agency","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Medicines and Healthcare Products Regulatory Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Medicines and Healthcare Products Regulatory Agency","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Defence (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Defence (excl. agencies)","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Defence (excl. agencies)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Defence (excl. agencies)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Defence (excl. agencies)","HEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Defence (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Defence (excl. agencies)","SEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Justice (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Justice (excl. agencies)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Justice (excl. agencies)","G7","20","20","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Justice (excl. agencies)","HEO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Justice (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Ministry of Justice (excl. agencies)","SEO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Analysis","National Infrastructure Commission","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","National Infrastructure Commission","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","National Infrastructure Commission","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","National Infrastructure Commission","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","National Savings and Investments","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","National Savings and Investments","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","National Savings and Investments","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","National Savings and Investments","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","National Savings and Investments","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office for Budget Responsibility","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office for Budget Responsibility","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office for Budget Responsibility","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office for Budget Responsibility","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office for Budget Responsibility","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office for Budget Responsibility","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office for Standards in Education, Children's Services and Skills","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office for Standards in Education, Children's Services and Skills","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office for Standards in Education, Children's Services and Skills","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office for Standards in Education, Children's Services and Skills","HEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office for Standards in Education, Children's Services and Skills","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office for Standards in Education, Children's Services and Skills","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office of Gas and Electricity Markets","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office of Gas and Electricity Markets","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office of Gas and Electricity Markets","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office of Gas and Electricity Markets","G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office of Gas and Electricity Markets","HEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office of Gas and Electricity Markets","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office of Gas and Electricity Markets","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office of Rail and Road","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office of Rail and Road","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office of Rail and Road","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office of Rail and Road","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office of Rail and Road","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Office of Rail and Road","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Planning Inspectorate","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Planning Inspectorate","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Planning Inspectorate","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Planning Inspectorate","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Planning Inspectorate","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Registers of Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Registers of Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Registers of Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Registers of Scotland","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Registers of Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Rural Payments Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Rural Payments Agency","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Rural Payments Agency","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Rural Payments Agency","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Rural Payments Agency","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Scottish Courts and Tribunals Service","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Scottish Courts and Tribunals Service","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Scottish Courts and Tribunals Service","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Teaching Regulation Agency","EO","[c]","[c]","[c]","[c]"
