"Status","Year","Organisation","Profession_of_post","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Unknown","Outside London","AA/AO","35","35","23910","24890"
"In post","2023","Accountant in Bankruptcy","Unknown","Outside London","EO","45","40","31120","31940"
"In post","2023","Accountant in Bankruptcy","Unknown","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","Outside London","SEO/HEO","35","35","40580","38330"
"In post","2023","Active Travel England","Communications","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Digital, Data and Technology","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Economics","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Human Resources","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Other","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Active Travel England","Policy","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","Outside London","G6/G7","5","5","[c]","[c]"
