"Status","Year","Age","Parent_department","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Attorney General's Departments","East Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","East of England","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","North West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","South East (England)","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","South West (England)","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","West Midlands (England)","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Yorkshire and The Humber","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","North East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Yorkshire and The Humber","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Chancellor's other departments","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Chancellor's other departments","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","North East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","North West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","South West (England)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","West Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","North West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","West Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","Yorkshire and The Humber","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","East Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","East of England","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","North East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","North West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","South East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","South East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","South East (England)","Unknown","[c]","[c]","[c]","[c]"
