"Status","Year","Age","Function_of_post","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Analysis","London","Croydon","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","London","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","London","Westminster","15","15","28020","28510"
"In post","2023","16-19","Analysis","North East (England)","Darlington","5","5","[c]","[c]"
"In post","2023","16-19","Analysis","North West (England)","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","North West (England)","Liverpool","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","South East (England)","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","South East (England)","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","South West (England)","Wiltshire","10","10","22970","23340"
"In post","2023","16-19","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Wales","Monmouthshire and Newport","5","5","[c]","[c]"
"In post","2023","16-19","Analysis","West Midlands (England)","Birmingham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","West Midlands (England)","Wolverhampton","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Yorkshire and The Humber","Sheffield","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","North West (England)","Liverpool","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Scotland","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","London","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","London","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","North East (England)","Sunderland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","South West (England)","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","West Midlands (England)","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","East of England","Suffolk CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","North West (England)","Liverpool","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","North West (England)","Sefton","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Scotland","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","South East (England)","East Kent","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","West Midlands (England)","Birmingham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Yorkshire and The Humber","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","East Midlands (England)","Nottingham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","London","Croydon","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","London","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","North East (England)","Tyneside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","North West (England)","Liverpool","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Scotland","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Scotland","Inverness and Nairn, Moray, and Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Scotland","South Lanarkshire","5","5","[c]","[c]"
"In post","2023","16-19","Debt","South West (England)","Somerset CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Wales","Cardiff and Vale of Glamorgan","5","5","[c]","[c]"
"In post","2023","16-19","Debt","Wales","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","West Midlands (England)","Birmingham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","West Midlands (England)","Dudley","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Yorkshire and The Humber","Bradford","15","15","22430","22520"
"In post","2023","16-19","Digital, Data & Technology","London","Croydon","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","London","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","London","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","London","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","North East (England)","Tyneside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","North West (England)","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","North West (England)","Liverpool","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","North West (England)","Manchester","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","North West (England)","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Scotland","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Scotland","South Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","South East (England)","Berkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","South East (England)","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","South West (England)","Devon CC","[c]","[c]","[c]","[c]"
