"Status","Year","Profession_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","AA/AO","AA","Female","5","5","[c]","[c]"
"In post","2023","Commercial","AA/AO","AA","Male","20","20","[c]","[c]"
"In post","2023","Commercial","AA/AO","AO","Female","225","200","23700","22500"
"In post","2023","Commercial","AA/AO","AO","Male","155","150","23770","22500"
"In post","2023","Commercial","EO","EO","Female","450","420","28030","27470"
"In post","2023","Commercial","EO","EO","Male","305","300","27850","27400"
"In post","2023","Commercial","G6/G7","G6","Female","325","315","73490","71390"
"In post","2023","Commercial","G6/G7","G6","Male","385","380","75450","71940"
"In post","2023","Commercial","G6/G7","G7","Female","770","740","58320","56000"
"In post","2023","Commercial","G6/G7","G7","Male","795","785","60090","56430"
"In post","2023","Commercial","SCS level","SCS level","Female","115","110","107840","100640"
"In post","2023","Commercial","SCS level","SCS level","Male","180","175","118820","117870"
"In post","2023","Commercial","SEO/HEO","HEO","Female","955","910","33720","33990"
"In post","2023","Commercial","SEO/HEO","HEO","Male","660","650","33930","33990"
"In post","2023","Commercial","SEO/HEO","SEO","Female","1150","1105","41970","41800"
"In post","2023","Commercial","SEO/HEO","SEO","Male","895","880","42710","42510"
"In post","2023","Commercial","Unknown","Unknown","Female","100","95","39710","41780"
"In post","2023","Commercial","Unknown","Unknown","Male","95","90","45860","43360"
"In post","2023","Communications","AA/AO","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","AA/AO","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","AA/AO","AO","Female","100","95","22940","22430"
"In post","2023","Communications","AA/AO","AO","Male","65","65","23570","22500"
"In post","2023","Communications","EO","EO","Female","300","280","28490","28030"
"In post","2023","Communications","EO","EO","Male","215","205","28660","28250"
"In post","2023","Communications","G6/G7","G6","Female","170","160","68770","68000"
"In post","2023","Communications","G6/G7","G6","Male","115","110","70220","70500"
"In post","2023","Communications","G6/G7","G7","Female","490","470","56660","56370"
"In post","2023","Communications","G6/G7","G7","Male","285","285","56140","55740"
"In post","2023","Communications","SCS level","SCS level","Female","50","50","86700","81600"
"In post","2023","Communications","SCS level","SCS level","Male","55","55","91050","85000"
"In post","2023","Communications","SEO/HEO","HEO","Female","655","625","35180","34700"
"In post","2023","Communications","SEO/HEO","HEO","Male","435","425","35590","35000"
"In post","2023","Communications","SEO/HEO","SEO","Female","695","660","42740","42160"
"In post","2023","Communications","SEO/HEO","SEO","Male","445","445","43300","43060"
"In post","2023","Communications","Unknown","Unknown","Female","15","15","[c]","[c]"
"In post","2023","Communications","Unknown","Unknown","Male","10","10","[c]","[c]"
"In post","2023","Corporate Finance","AA/AO","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","AA/AO","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","EO","EO","Female","5","5","[c]","[c]"
"In post","2023","Corporate Finance","EO","EO","Male","5","5","[c]","[c]"
"In post","2023","Corporate Finance","G6/G7","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","G6/G7","G6","Male","10","10","[c]","[c]"
"In post","2023","Corporate Finance","G6/G7","G7","Female","10","10","[c]","[c]"
"In post","2023","Corporate Finance","G6/G7","G7","Male","10","10","[c]","[c]"
"In post","2023","Corporate Finance","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","SCS level","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Corporate Finance","SEO/HEO","HEO","Female","10","10","[c]","[c]"
"In post","2023","Corporate Finance","SEO/HEO","HEO","Male","10","10","[c]","[c]"
"In post","2023","Corporate Finance","SEO/HEO","SEO","Female","15","15","[c]","[c]"
"In post","2023","Corporate Finance","SEO/HEO","SEO","Male","10","5","[c]","[c]"
"In post","2023","Counter Fraud","AA/AO","AA","Female","10","10","[c]","[c]"
"In post","2023","Counter Fraud","AA/AO","AA","Male","10","10","[c]","[c]"
"In post","2023","Counter Fraud","AA/AO","AO","Female","1035","850","23180","21690"
"In post","2023","Counter Fraud","AA/AO","AO","Male","565","540","23090","21690"
"In post","2023","Counter Fraud","EO","EO","Female","2885","2600","28950","28120"
"In post","2023","Counter Fraud","EO","EO","Male","2025","1910","29050","28120"
"In post","2023","Counter Fraud","G6/G7","G6","Female","35","30","71610","71300"
"In post","2023","Counter Fraud","G6/G7","G6","Male","70","70","71980","71300"
"In post","2023","Counter Fraud","G6/G7","G7","Female","85","80","57340","57970"
"In post","2023","Counter Fraud","G6/G7","G7","Male","150","145","58510","57970"
"In post","2023","Counter Fraud","SCS level","SCS level","Female","10","10","[c]","[c]"
"In post","2023","Counter Fraud","SCS level","SCS level","Male","15","15","[c]","[c]"
"In post","2023","Counter Fraud","SEO/HEO","HEO","Female","1050","990","35640","34700"
"In post","2023","Counter Fraud","SEO/HEO","HEO","Male","1005","975","36000","34970"
"In post","2023","Counter Fraud","SEO/HEO","SEO","Female","275","265","41980","42140"
"In post","2023","Counter Fraud","SEO/HEO","SEO","Male","370","350","43010","42510"
"In post","2023","Digital, Data and Technology","AA/AO","AA","Female","5","5","[c]","[c]"
"In post","2023","Digital, Data and Technology","AA/AO","AA","Male","25","25","[c]","[c]"
"In post","2023","Digital, Data and Technology","AA/AO","AO","Female","205","190","23380","22500"
"In post","2023","Digital, Data and Technology","AA/AO","AO","Male","345","340","23190","22370"
"In post","2023","Digital, Data and Technology","EO","EO","Female","1170","1080","28430","28120"
"In post","2023","Digital, Data and Technology","EO","EO","Male","2190","2125","28800","28120"
"In post","2023","Digital, Data and Technology","G6/G7","G6","Female","595","580","68680","67160"
"In post","2023","Digital, Data and Technology","G6/G7","G6","Male","1175","1165","70650","69840"
"In post","2023","Digital, Data and Technology","G6/G7","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data and Technology","G6/G7","G7","Female","1920","1850","55460","55140"
"In post","2023","Digital, Data and Technology","G6/G7","G7","Male","3585","3545","57000","56430"
"In post","2023","Digital, Data and Technology","SCS level","SCS level","Female","135","130","91860","85000"
"In post","2023","Digital, Data and Technology","SCS level","SCS level","Male","255","255","97510","92510"
"In post","2023","Digital, Data and Technology","SEO/HEO","HEO","Female","1990","1895","34530","34170"
"In post","2023","Digital, Data and Technology","SEO/HEO","HEO","Male","3485","3430","35050","34400"
"In post","2023","Digital, Data and Technology","SEO/HEO","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data and Technology","SEO/HEO","SEO","Female","2100","2025","41660","41560"
"In post","2023","Digital, Data and Technology","SEO/HEO","SEO","Male","3905","3855","42910","42140"
"In post","2023","Digital, Data and Technology","Unknown","Unknown","Female","20","15","[c]","[c]"
"In post","2023","Digital, Data and Technology","Unknown","Unknown","Male","55","55","37920","38790"
"In post","2023","Economics","AA/AO","AO","Female","30","30","[c]","[c]"
"In post","2023","Economics","AA/AO","AO","Male","35","35","22730","21820"
"In post","2023","Economics","EO","EO","Female","90","90","28110","28720"
"In post","2023","Economics","EO","EO","Male","90","90","27610","27890"
"In post","2023","Economics","G6/G7","G6","Female","95","85","71520","69940"
"In post","2023","Economics","G6/G7","G6","Male","150","150","71940","70790"
"In post","2023","Economics","G6/G7","G7","Female","235","220","57230","56410"
"In post","2023","Economics","G6/G7","G7","Male","440","435","58090","56340"
"In post","2023","Economics","SCS level","SCS level","Female","45","40","88740","85550"
"In post","2023","Economics","SCS level","SCS level","Male","65","65","92010","81900"
"In post","2023","Economics","SEO/HEO","HEO","Female","210","210","35400","35000"
"In post","2023","Economics","SEO/HEO","HEO","Male","420","420","35300","35010"
"In post","2023","Economics","SEO/HEO","SEO","Female","105","105","42820","42810"
"In post","2023","Economics","SEO/HEO","SEO","Male","145","145","43320","43610"
"In post","2023","Economics","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Economics","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Finance","AA/AO","AA","Female","20","15","[c]","[c]"
"In post","2023","Finance","AA/AO","AA","Male","15","15","[c]","[c]"
"In post","2023","Finance","AA/AO","AO","Female","645","565","23260","22520"
"In post","2023","Finance","AA/AO","AO","Male","385","370","23250","22520"
"In post","2023","Finance","EO","EO","Female","1000","930","28290","27590"
"In post","2023","Finance","EO","EO","Male","610","605","28350","28120"
"In post","2023","Finance","G6/G7","G6","Female","370","355","69210","69370"
"In post","2023","Finance","G6/G7","G6","Male","410","405","70370","70840"
"In post","2023","Finance","G6/G7","G7","Female","930","895","56010","55780"
"In post","2023","Finance","G6/G7","G7","Male","900","885","56700","56380"
"In post","2023","Finance","SCS level","SCS level","Female","145","135","89840","83370"
"In post","2023","Finance","SCS level","SCS level","Male","180","175","95450","86280"
"In post","2023","Finance","SEO/HEO","HEO","Female","1250","1180","34710","34300"
"In post","2023","Finance","SEO/HEO","HEO","Male","955","940","35040","34300"
"In post","2023","Finance","SEO/HEO","SEO","Female","1205","1150","42840","42140"
"In post","2023","Finance","SEO/HEO","SEO","Male","1135","1110","43190","42510"
"In post","2023","Finance","Unknown","Unknown","Female","25","25","[c]","[c]"
"In post","2023","Finance","Unknown","Unknown","Male","35","35","56160","49410"
"In post","2023","Geography","AA/AO","AO","Female","10","10","[c]","[c]"
"In post","2023","Geography","AA/AO","AO","Male","25","25","[c]","[c]"
"In post","2023","Geography","EO","EO","Female","70","65","28080","27610"
"In post","2023","Geography","EO","EO","Male","115","110","28540","27610"
"In post","2023","Geography","G6/G7","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Geography","G6/G7","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Geography","G6/G7","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Geography","G6/G7","G7","Male","5","5","[c]","[c]"
"In post","2023","Geography","G6/G7","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Geography","SEO/HEO","HEO","Female","60","50","34710","34370"
"In post","2023","Geography","SEO/HEO","HEO","Male","125","120","34880","34370"
"In post","2023","Geography","SEO/HEO","SEO","Female","20","20","[c]","[c]"
"In post","2023","Geography","SEO/HEO","SEO","Male","40","40","44070","43890"
"In post","2023","Human Resources","AA/AO","AA","Female","55","50","21360","21380"
"In post","2023","Human Resources","AA/AO","AA","Male","25","20","[c]","[c]"
"In post","2023","Human Resources","AA/AO","AO","Female","850","770","22850","22220"
"In post","2023","Human Resources","AA/AO","AO","Male","350","340","22870","22220"
"In post","2023","Human Resources","EO","EO","Female","1505","1410","28050","27470"
"In post","2023","Human Resources","EO","EO","Male","1355","1330","29330","28130"
"In post","2023","Human Resources","G6/G7","G6","Female","485","470","68270","67780"
"In post","2023","Human Resources","G6/G7","G6","Male","230","225","69480","69180"
"In post","2023","Human Resources","G6/G7","G7","Female","1300","1250","55480","55330"
"In post","2023","Human Resources","G6/G7","G7","Male","575","570","56290","55900"
"In post","2023","Human Resources","SCS level","SCS level","Female","170","165","90400","82400"
"In post","2023","Human Resources","SCS level","SCS level","Male","90","85","89890","83610"
"In post","2023","Human Resources","SEO/HEO","HEO","Female","2275","2160","35480","34300"
"In post","2023","Human Resources","SEO/HEO","HEO","Male","1275","1250","36270","34450"
"In post","2023","Human Resources","SEO/HEO","SEO","Female","1560","1485","42020","41510"
"In post","2023","Human Resources","SEO/HEO","SEO","Male","820","805","43170","41840"
"In post","2023","Human Resources","Unknown","Unknown","Female","55","50","38550","38290"
"In post","2023","Human Resources","Unknown","Unknown","Male","35","35","37280","30590"
"In post","2023","Inspector of Education and Training","AA/AO","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Inspector of Education and Training","AA/AO","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Inspector of Education and Training","EO","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Inspector of Education and Training","EO","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Inspector of Education and Training","G6/G7","G6","Female","105","105","83680","87570"
"In post","2023","Inspector of Education and Training","G6/G7","G6","Male","85","85","82990","82390"
"In post","2023","Inspector of Education and Training","G6/G7","G7","Female","285","280","74180","77470"
"In post","2023","Inspector of Education and Training","G6/G7","G7","Male","150","150","76190","77470"
"In post","2023","Inspector of Education and Training","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Inspector of Education and Training","SCS level","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Inspector of Education and Training","SEO/HEO","HEO","Female","20","20","[c]","[c]"
"In post","2023","Inspector of Education and Training","SEO/HEO","HEO","Male","5","5","[c]","[c]"
"In post","2023","Inspector of Education and Training","SEO/HEO","SEO","Female","380","370","51760","52750"
"In post","2023","Inspector of Education and Training","SEO/HEO","SEO","Male","50","50","51380","52750"
"In post","2023","Intelligence Analysis","AA/AO","AO","Female","60","50","24790","25060"
"In post","2023","Intelligence Analysis","AA/AO","AO","Male","30","30","24090","23580"
"In post","2023","Intelligence Analysis","EO","EO","Female","840","780","28440","28480"
"In post","2023","Intelligence Analysis","EO","EO","Male","775","745","28610","27650"
"In post","2023","Intelligence Analysis","G6/G7","G6","Female","20","20","[c]","[c]"
"In post","2023","Intelligence Analysis","G6/G7","G6","Male","30","30","72070","71410"
"In post","2023","Intelligence Analysis","G6/G7","G7","Female","55","50","59250","58970"
"In post","2023","Intelligence Analysis","G6/G7","G7","Male","135","135","58930","59290"
"In post","2023","Intelligence Analysis","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Intelligence Analysis","SCS level","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Intelligence Analysis","SEO/HEO","HEO","Female","335","320","35050","34700"
"In post","2023","Intelligence Analysis","SEO/HEO","HEO","Male","475","465","35560","35000"
"In post","2023","Intelligence Analysis","SEO/HEO","SEO","Female","150","150","43110","42700"
"In post","2023","Intelligence Analysis","SEO/HEO","SEO","Male","300","295","44560","44450"
"In post","2023","Intelligence Analysis","Unknown","Unknown","Female","5","5","[c]","[c]"
"In post","2023","Intelligence Analysis","Unknown","Unknown","Male","5","5","[c]","[c]"
"In post","2023","Internal Audit","AA/AO","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","AA/AO","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","AA/AO","AO","Female","10","10","[c]","[c]"
"In post","2023","Internal Audit","AA/AO","AO","Male","10","10","[c]","[c]"
"In post","2023","Internal Audit","EO","EO","Female","25","25","[c]","[c]"
"In post","2023","Internal Audit","EO","EO","Male","15","15","[c]","[c]"
"In post","2023","Internal Audit","G6/G7","G6","Female","35","35","68470","66390"
"In post","2023","Internal Audit","G6/G7","G6","Male","45","45","66360","64280"
"In post","2023","Internal Audit","G6/G7","G7","Female","65","60","54200","54290"
"In post","2023","Internal Audit","G6/G7","G7","Male","80","75","55590","55110"
"In post","2023","Internal Audit","SCS level","SCS level","Female","10","10","[c]","[c]"
"In post","2023","Internal Audit","SCS level","SCS level","Male","20","20","[c]","[c]"
"In post","2023","Internal Audit","SEO/HEO","HEO","Female","100","95","34940","34300"
"In post","2023","Internal Audit","SEO/HEO","HEO","Male","65","65","35760","35000"
"In post","2023","Internal Audit","SEO/HEO","SEO","Female","160","145","44990","44070"
"In post","2023","Internal Audit","SEO/HEO","SEO","Male","125","115","45600","44570"
"In post","2023","International Trade","AA/AO","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","International Trade","AA/AO","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","International Trade","EO","EO","Female","75","70","28480","29280"
"In post","2023","International Trade","EO","EO","Male","55","55","28590","29280"
"In post","2023","International Trade","G6/G7","G6","Female","100","95","66830","65980"
"In post","2023","International Trade","G6/G7","G6","Male","125","125","66820","65980"
"In post","2023","International Trade","G6/G7","G7","Female","285","280","55050","55370"
"In post","2023","International Trade","G6/G7","G7","Male","330","330","56250","55500"
"In post","2023","International Trade","SCS level","SCS level","Female","55","55","82740","76180"
"In post","2023","International Trade","SCS level","SCS level","Male","75","75","85880","77950"
"In post","2023","International Trade","SEO/HEO","HEO","Female","200","195","34710","35010"
"In post","2023","International Trade","SEO/HEO","HEO","Male","200","200","35220","35010"
"In post","2023","International Trade","SEO/HEO","SEO","Female","305","295","41730","41550"
"In post","2023","International Trade","SEO/HEO","SEO","Male","345","345","41770","41550"
"In post","2023","Knowledge and Information Management","AA/AO","AA","Female","10","10","[c]","[c]"
"In post","2023","Knowledge and Information Management","AA/AO","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Knowledge and Information Management","AA/AO","AO","Female","245","230","23130","22220"
"In post","2023","Knowledge and Information Management","AA/AO","AO","Male","150","145","23520","22220"
"In post","2023","Knowledge and Information Management","EO","EO","Female","385","360","28330","28120"
"In post","2023","Knowledge and Information Management","EO","EO","Male","260","255","28680","28120"
"In post","2023","Knowledge and Information Management","G6/G7","G6","Female","35","35","66700","66000"
"In post","2023","Knowledge and Information Management","G6/G7","G6","Male","45","45","70070","70470"
"In post","2023","Knowledge and Information Management","G6/G7","G7","Female","145","135","55880","55770"
"In post","2023","Knowledge and Information Management","G6/G7","G7","Male","155","135","56330","56140"
"In post","2023","Knowledge and Information Management","SCS level","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Knowledge and Information Management","SCS level","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Knowledge and Information Management","SEO/HEO","HEO","Female","370","355","34550","34170"
"In post","2023","Knowledge and Information Management","SEO/HEO","HEO","Male","295","290","34920","34300"
"In post","2023","Knowledge and Information Management","SEO/HEO","SEO","Female","185","175","42140","41800"
"In post","2023","Knowledge and Information Management","SEO/HEO","SEO","Male","180","180","42530","41550"
"In post","2023","Knowledge and Information Management","Unknown","Unknown","Female","15","15","[c]","[c]"
"In post","2023","Knowledge and Information Management","Unknown","Unknown","Male","10","10","[c]","[c]"
"In post","2023","Legal","AA/AO","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Legal","AA/AO","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Legal","AA/AO","AO","Female","135","115","23230","22520"
"In post","2023","Legal","AA/AO","AO","Male","85","80","23570","22520"
"In post","2023","Legal","EO","EO","Female","770","720","29500","28130"
"In post","2023","Legal","EO","EO","Male","585","575","29600","28130"
"In post","2023","Legal","G6/G7","G6","Female","1100","1000","70890","69600"
"In post","2023","Legal","G6/G7","G6","Male","655","635","72600","71760"
"In post","2023","Legal","G6/G7","G7","Female","3295","3000","56550","55170"
"In post","2023","Legal","G6/G7","G7","Male","1795","1735","57490","56450"
"In post","2023","Legal","SCS level","SCS level","Female","255","240","88170","83910"
"In post","2023","Legal","SCS level","SCS level","Male","210","205","91850","86070"
"In post","2023","Legal","SEO/HEO","HEO","Female","620","590","36380","35000"
"In post","2023","Legal","SEO/HEO","HEO","Male","620","605","36870","35000"
"In post","2023","Legal","SEO/HEO","SEO","Female","920","820","42530","42510"
"In post","2023","Legal","SEO/HEO","SEO","Male","495","475","43280","42510"
"In post","2023","Legal","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Legal","Unknown","Unknown","Male","5","5","[c]","[c]"
"In post","2023","Medicine","AA/AO","AA","Female","40","35","20330","19770"
"In post","2023","Medicine","AA/AO","AA","Male","10","10","[c]","[c]"
"In post","2023","Medicine","AA/AO","AO","Female","250","230","24930","24680"
"In post","2023","Medicine","AA/AO","AO","Male","15","15","[c]","[c]"
"In post","2023","Medicine","EO","EO","Female","225","200","33120","32930"
"In post","2023","Medicine","EO","EO","Male","95","90","32390","32930"
"In post","2023","Medicine","G6/G7","G6","Female","275","220","85440","87870"
"In post","2023","Medicine","G6/G7","G6","Male","160","140","86680","88880"
"In post","2023","Medicine","G6/G7","G7","Female","200","180","61050","56160"
"In post","2023","Medicine","G6/G7","G7","Male","95","90","69700","68710"
"In post","2023","Medicine","SCS level","SCS level","Female","175","150","109980","105280"
"In post","2023","Medicine","SCS level","SCS level","Male","140","120","114250","112570"
"In post","2023","Medicine","SEO/HEO","HEO","Female","365","325","38800","40590"
"In post","2023","Medicine","SEO/HEO","HEO","Male","110","100","39750","40590"
"In post","2023","Medicine","SEO/HEO","SEO","Female","225","205","45620","45970"
"In post","2023","Medicine","SEO/HEO","SEO","Male","75","70","46540","47670"
"In post","2023","Medicine","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Medicine","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Operational Delivery","AA/AO","AA","Female","6785","5705","22020","22520"
"In post","2023","Operational Delivery","AA/AO","AA","Male","4860","4475","22550","23230"
"In post","2023","Operational Delivery","AA/AO","AO","Female","57030","49030","23710","22500"
"In post","2023","Operational Delivery","AA/AO","AO","Male","40535","38670","25660","22520"
"In post","2023","Operational Delivery","EO","EO","Female","50765","45185","28750","28120"
"In post","2023","Operational Delivery","EO","EO","Male","36365","34805","29550","28120"
"In post","2023","Operational Delivery","G6/G7","G6","Female","1150","1120","70040","67680"
"In post","2023","Operational Delivery","G6/G7","G6","Male","1160","1140","71760","69140"
"In post","2023","Operational Delivery","G6/G7","G7","Female","3425","3310","55380","54540"
"In post","2023","Operational Delivery","G6/G7","G7","Male","3175","3125","56960","55720"
"In post","2023","Operational Delivery","SCS level","SCS level","Female","415","405","89860","81600"
"In post","2023","Operational Delivery","SCS level","SCS level","Male","475","465","94410","86690"
"In post","2023","Operational Delivery","SEO/HEO","HEO","Female","16370","15380","34730","34300"
"In post","2023","Operational Delivery","SEO/HEO","HEO","Male","13455","12990","35970","34850"
"In post","2023","Operational Delivery","SEO/HEO","SEO","Female","7620","7290","42840","41800"
"In post","2023","Operational Delivery","SEO/HEO","SEO","Male","6925","6755","44620","42510"
"In post","2023","Operational Delivery","Unknown","Unknown","Female","16445","15210","30310","29050"
"In post","2023","Operational Delivery","Unknown","Unknown","Male","5465","5175","31410","29050"
"In post","2023","Operational Research","AA/AO","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Operational Research","AA/AO","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Operational Research","AA/AO","AO","Female","60","55","22530","22520"
"In post","2023","Operational Research","AA/AO","AO","Male","50","50","22490","22520"
"In post","2023","Operational Research","EO","EO","Female","15","15","[c]","[c]"
"In post","2023","Operational Research","EO","EO","Male","25","25","[c]","[c]"
"In post","2023","Operational Research","EO","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Operational Research","G6/G7","G6","Female","25","25","[c]","[c]"
"In post","2023","Operational Research","G6/G7","G6","Male","35","35","70300","70550"
"In post","2023","Operational Research","G6/G7","G7","Female","130","120","55950","56040"
"In post","2023","Operational Research","G6/G7","G7","Male","230","225","55040","55630"
"In post","2023","Operational Research","SCS level","SCS level","Female","10","10","[c]","[c]"
"In post","2023","Operational Research","SCS level","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Operational Research","SEO/HEO","HEO","Female","130","130","34140","34230"
"In post","2023","Operational Research","SEO/HEO","HEO","Male","145","140","33700","33950"
"In post","2023","Operational Research","SEO/HEO","SEO","Female","120","115","41750","41730"
"In post","2023","Operational Research","SEO/HEO","SEO","Male","165","155","42740","42510"
"In post","2023","Other","AA/AO","AA","Female","350","325","20880","19770"
"In post","2023","Other","AA/AO","AA","Male","1020","995","20400","19770"
"In post","2023","Other","AA/AO","AO","Female","2365","2025","22420","21690"
"In post","2023","Other","AA/AO","AO","Male","1860","1800","22600","21690"
"In post","2023","Other","EO","EO","Female","1985","1795","28570","28120"
"In post","2023","Other","EO","EO","Male","1205","1170","28870","28120"
