"Status","Year","Region_london","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","London","AA/AO","AA","1545","1435","24660","23500"
"In post","2023","London","AA/AO","AO","10255","9505","27850","26400"
"In post","2023","London","EO","EO","19805","18745","31450","31310"
"In post","2023","London","G6/G7","G6","9365","9005","71220","69920"
"In post","2023","London","G6/G7","G7","20605","20020","58290","56480"
"In post","2023","London","SCS level","SCS level","4415","4260","92640","83520"
"In post","2023","London","SEO/HEO","HEO","19480","19050","36850","36180"
"In post","2023","London","SEO/HEO","SEO","15800","15440","44400","43650"
"In post","2023","London","Unknown","Unknown","2460","2335","35250","33050"
"In post","2023","Outside London","AA/AO","AA","17130","15470","21980","22180"
"In post","2023","Outside London","AA/AO","AO","107420","96915","24280","22520"
"In post","2023","Outside London","EO","EO","106950","98845","28610","28120"
"In post","2023","Outside London","G6/G7","G6","10905","10485","70650","69940"
"In post","2023","Outside London","G6/G7","G7","32910","31670","55750","55000"
"In post","2023","Outside London","SCS level","SCS level","2660","2575","92410","85130"
"In post","2023","Outside London","SEO/HEO","HEO","64220","61365","34540","34300"
"In post","2023","Outside London","SEO/HEO","SEO","46225","44440","42610","41800"
"In post","2023","Outside London","Unknown","Unknown","21395","19950","31230","29050"
"In post","2023","Overseas","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Overseas","AA/AO","AO","50","50","29700","26740"
"In post","2023","Overseas","EO","EO","200","200","34890","33510"
"In post","2023","Overseas","G6/G7","G6","440","440","69550","66800"
"In post","2023","Overseas","G6/G7","G7","870","865","57710","56100"
"In post","2023","Overseas","SCS level","SCS level","290","290","87530","77770"
"In post","2023","Overseas","SEO/HEO","HEO","1035","1035","40290","35810"
"In post","2023","Overseas","SEO/HEO","SEO","475","475","48830","46000"
"In post","2023","Overseas","Unknown","Unknown","150","150","52350","43590"
"In post","2023","Unknown","AA/AO","AA","30","25","22730","23230"
"In post","2023","Unknown","AA/AO","AO","165","160","23610","21780"
"In post","2023","Unknown","EO","EO","380","350","28070","28120"
"In post","2023","Unknown","G6/G7","G6","30","30","68350","66860"
"In post","2023","Unknown","G6/G7","G7","95","90","56590","55790"
"In post","2023","Unknown","SCS level","SCS level","15","15","99000","85680"
"In post","2023","Unknown","SEO/HEO","HEO","165","155","37940","35240"
"In post","2023","Unknown","SEO/HEO","SEO","125","120","44850","43190"
"In post","2023","Unknown","Unknown","Unknown","1710","1705","41910","40000"
