"Status","Year","Ethnicity","Parent_department","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Attorney General's Departments","London","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","London","AO","115","105","24110","24480"
"In post","2023","Asian","Attorney General's Departments","London","EO","155","145","28710","28200"
"In post","2023","Asian","Attorney General's Departments","London","G6","85","80","69420","67600"
"In post","2023","Asian","Attorney General's Departments","London","G7","280","260","57110","54100"
"In post","2023","Asian","Attorney General's Departments","London","HEO","60","60","35900","33970"
"In post","2023","Asian","Attorney General's Departments","London","SCS level","10","10","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","London","SEO","45","45","40810","40800"
"In post","2023","Asian","Attorney General's Departments","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Outside London","AO","130","120","22620","22870"
"In post","2023","Asian","Attorney General's Departments","Outside London","EO","80","75","27570","26900"
"In post","2023","Asian","Attorney General's Departments","Outside London","G6","10","10","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Outside London","G7","185","170","54060","53750"
"In post","2023","Asian","Attorney General's Departments","Outside London","HEO","30","30","33750","32660"
"In post","2023","Asian","Attorney General's Departments","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Outside London","SEO","35","35","39420","38760"
"In post","2023","Asian","Attorney General's Departments","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","London","AO","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office","London","EO","45","45","28880","28370"
"In post","2023","Asian","Cabinet Office","London","G6","50","50","69410","66530"
"In post","2023","Asian","Cabinet Office","London","G7","145","145","59090","56430"
"In post","2023","Asian","Cabinet Office","London","HEO","205","200","32230","32160"
"In post","2023","Asian","Cabinet Office","London","SCS level","20","20","[c]","[c]"
"In post","2023","Asian","Cabinet Office","London","SEO","70","70","42270","41870"
"In post","2023","Asian","Cabinet Office","Outside London","AO","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Outside London","EO","25","25","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Outside London","G6","5","5","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Outside London","G7","40","40","57630","55790"
"In post","2023","Asian","Cabinet Office","Outside London","HEO","85","85","31980","32640"
"In post","2023","Asian","Cabinet Office","Outside London","SCS level","5","5","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Outside London","SEO","25","25","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","London","EO","10","10","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","London","G6","10","10","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","London","G7","10","10","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","London","HEO","10","10","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","London","SEO","10","10","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Outside London","SEO","[c]","[c]","[c]","[c]"
