"Status","Year","Ethnicity","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","50","50","36080","32110"
"In post","2023","Asian","Animal and Plant Health Agency","100","100","29380","29080"
"In post","2023","Asian","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","30","30","41230","35620"
"In post","2023","Asian","Cabinet Office (excl. agencies)","430","420","46190","41870"
"In post","2023","Asian","Central Civil Service Fast Stream","185","185","30800","30130"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","5","5","[c]","[c]"
"In post","2023","Asian","Charity Commission","10","10","[c]","[c]"
"In post","2023","Asian","Companies House","10","10","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","130","125","49640","43240"
"In post","2023","Asian","Criminal Injuries Compensation Authority","5","5","[c]","[c]"
"In post","2023","Asian","Crown Commercial Service","25","25","[c]","[c]"
"In post","2023","Asian","Crown Office and Procurator Fiscal Service","60","55","42180","37940"
"In post","2023","Asian","Crown Prosecution Service","840","785","39980","33810"
"In post","2023","Asian","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Defence Equipment and Support","340","325","36550","33240"
"In post","2023","Asian","Defence Science and Technology Laboratory","90","85","39990","39890"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","645","640","46030","41360"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport (excl. agencies)","125","125","47720","52010"
"In post","2023","Asian","Department for Education (excl. agencies)","700","685","41930","37810"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","335","330","40950","37300"
"In post","2023","Asian","Department for International Trade","310","305","46180","41550"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","295","290","43990","38070"
"In post","2023","Asian","Department for Transport (excl. agencies)","360","355","47170","43750"
"In post","2023","Asian","Department for Work and Pensions (excl. agencies)","7815","7035","29250","28120"
"In post","2023","Asian","Department of Health and Social Care (excl. agencies)","270","255","45050","41950"
"In post","2023","Asian","Disclosure Scotland","5","5","[c]","[c]"
"In post","2023","Asian","Driver and Vehicle Licensing Agency","135","120","26510","22500"
"In post","2023","Asian","Driver and Vehicle Standards Agency","155","150","30050","30400"
"In post","2023","Asian","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Education and Skills Funding Agency","100","100","42310","38210"
"In post","2023","Asian","Estyn","[c]","[c]","[c]","[c]"
"In post","2023","Asian","FCDO Services","55","55","37390","32750"
"In post","2023","Asian","Food Standards Agency","70","70","41000","38100"
"In post","2023","Asian","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","440","430","46290","39730"
"In post","2023","Asian","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Government Actuary's Department","35","35","50600","46860"
"In post","2023","Asian","Government Commercial Organisation","70","70","71350","66270"
"In post","2023","Asian","Government Internal Audit Agency","85","85","45180","43160"
"In post","2023","Asian","Government Legal Department","335","315","49790","52020"
"In post","2023","Asian","Government Property Agency","40","40","40060","37200"
"In post","2023","Asian","HM Courts and Tribunals Service","1685","1520","27800","25480"
"In post","2023","Asian","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Land Registry","220","205","31990","28080"
