"Status","Year","Function_of_post","Region_ITL1","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","East Midlands (England)","Derby","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","Derby","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","Derby","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","East Derbyshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","East Derbyshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","Leicester","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","Leicester","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","Leicestershire CC and Rutland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","Leicestershire CC and Rutland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","Lincolnshire CC","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","Lincolnshire CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","Lincolnshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","North Northamptonshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","North Northamptonshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","North Nottinghamshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","North Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","Nottingham","Heterosexual / straight","45","45","41310","39410"
"In post","2023","Analysis","East Midlands (England)","Nottingham","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","Nottingham","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","Nottingham","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","South Nottinghamshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","South Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","South Nottinghamshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","South and West Derbyshire","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","South and West Derbyshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","South and West Derbyshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","South and West Derbyshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Bedford","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Bedford","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Bedford","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Breckland and South Norfolk","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Breckland and South Norfolk","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Breckland and South Norfolk","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Cambridgeshire CC","Heterosexual / straight","10","5","[c]","[c]"
"In post","2023","Analysis","East of England","Cambridgeshire CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Cambridgeshire CC","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Cambridgeshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Central Bedfordshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Central Bedfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Essex Thames Gateway","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Essex Thames Gateway","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Heart of Essex","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Heart of Essex","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Hertfordshire CC","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","East of England","Hertfordshire CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Hertfordshire CC","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Hertfordshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Luton","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Luton","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Luton","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","North and West Norfolk","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","North and West Norfolk","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Norwich and East Norfolk","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Norwich and East Norfolk","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Peterborough","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Peterborough","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Southend-on-Sea","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Southend-on-Sea","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","Suffolk CC","Heterosexual / straight","145","140","36450","33420"
"In post","2023","Analysis","East of England","Suffolk CC","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","East of England","Suffolk CC","Undeclared","20","20","[c]","[c]"
"In post","2023","Analysis","East of England","Suffolk CC","Unknown","170","165","37070","37300"
"In post","2023","Analysis","London","Barking & Dagenham and Havering","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","London","Barking & Dagenham and Havering","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","London","Barnet","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","London","Barnet","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","London","Brent","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","London","Brent","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","London","Brent","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","London","Bromley","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","London","Bromley","LGBO","[c]","[c]","[c]","[c]"
