"Status","Year","Age","Disability","Function_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared non-disabled","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Counter Fraud","AO","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Debt","AO","35","35","22470","22520"
"In post","2023","16-19","Declared non-disabled","Digital, Data & Technology","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Digital, Data & Technology","AO","10","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Digital, Data & Technology","EO","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Finance","AO","10","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Grants Management","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Human Resources","AO","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Legal","AO","40","40","20790","20270"
"In post","2023","16-19","Declared non-disabled","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","No function","AA","105","100","21580","23230"
"In post","2023","16-19","Declared non-disabled","No function","AO","255","250","24980","22520"
"In post","2023","16-19","Declared non-disabled","No function","EO","35","35","27410","27650"
"In post","2023","16-19","Declared non-disabled","No function","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","No function","Unknown","15","15","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Project Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Project Delivery","AO","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Project Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Property","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Property","AO","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Property","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Property","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Security","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Security","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Security","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","AA","15","15","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","AO","20","20","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Counter Fraud","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Legal","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","No function","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","No function","AO","5","5","[c]","[c]"
"In post","2023","16-19","Undeclared","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Security","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Analysis","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Analysis","AO","15","15","[c]","[c]"
"In post","2023","16-19","Unknown","Analysis","EO","20","20","[c]","[c]"
"In post","2023","16-19","Unknown","Commercial","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Counter Fraud","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Debt","AO","20","20","[c]","[c]"
"In post","2023","16-19","Unknown","Digital, Data & Technology","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Digital, Data & Technology","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Digital, Data & Technology","EO","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Finance","AO","20","20","[c]","[c]"
"In post","2023","16-19","Unknown","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Grants Management","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Human Resources","AO","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Legal","AO","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","No function","AA","70","65","21770","23230"
"In post","2023","16-19","Unknown","No function","AO","355","340","23110","22400"
"In post","2023","16-19","Unknown","No function","EO","35","35","26760","25750"
"In post","2023","16-19","Unknown","No function","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","No function","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Project Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Project Delivery","Unknown","20","20","[c]","[c]"
"In post","2023","16-19","Unknown","Property","AA","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Property","AO","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Property","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Property","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Security","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Security","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Security","EO","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","AA","30","30","22230","22180"
"In post","2023","16-19","Unknown","Unknown","AO","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Unknown","30","30","19620","17650"
"In post","2023","20-29","Declared disabled","Analysis","AA","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Analysis","AO","15","10","[c]","[c]"
"In post","2023","20-29","Declared disabled","Analysis","EO","30","30","27550","26860"
"In post","2023","20-29","Declared disabled","Analysis","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Analysis","G7","30","30","54290","54630"
"In post","2023","20-29","Declared disabled","Analysis","HEO","150","150","33630","33400"
"In post","2023","20-29","Declared disabled","Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Analysis","SEO","70","70","40850","39890"
"In post","2023","20-29","Declared disabled","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Commercial","AA","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Commercial","AO","10","10","[c]","[c]"
"In post","2023","20-29","Declared disabled","Commercial","EO","20","20","[c]","[c]"
"In post","2023","20-29","Declared disabled","Commercial","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Commercial","G7","15","15","[c]","[c]"
"In post","2023","20-29","Declared disabled","Commercial","HEO","40","40","31680","31000"
"In post","2023","20-29","Declared disabled","Commercial","SEO","15","15","[c]","[c]"
"In post","2023","20-29","Declared disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Communications","EO","15","15","[c]","[c]"
"In post","2023","20-29","Declared disabled","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Communications","HEO","25","25","[c]","[c]"
"In post","2023","20-29","Declared disabled","Communications","SEO","10","10","[c]","[c]"
"In post","2023","20-29","Declared disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Counter Fraud","AO","25","25","[c]","[c]"
"In post","2023","20-29","Declared disabled","Counter Fraud","EO","90","90","29160","28120"
"In post","2023","20-29","Declared disabled","Counter Fraud","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Counter Fraud","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Counter Fraud","HEO","30","30","[c]","[c]"
"In post","2023","20-29","Declared disabled","Counter Fraud","SEO","5","5","[c]","[c]"
"In post","2023","20-29","Declared disabled","Debt","AO","95","90","22260","22520"
"In post","2023","20-29","Declared disabled","Debt","EO","5","5","[c]","[c]"
"In post","2023","20-29","Declared disabled","Debt","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Debt","HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Debt","SEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Digital, Data & Technology","AA","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Digital, Data & Technology","AO","15","15","[c]","[c]"
"In post","2023","20-29","Declared disabled","Digital, Data & Technology","EO","80","80","27570","27630"
"In post","2023","20-29","Declared disabled","Digital, Data & Technology","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Digital, Data & Technology","G7","25","25","[c]","[c]"
"In post","2023","20-29","Declared disabled","Digital, Data & Technology","HEO","115","115","33220","33660"
"In post","2023","20-29","Declared disabled","Digital, Data & Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Digital, Data & Technology","SEO","60","60","40890","40890"
"In post","2023","20-29","Declared disabled","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Finance","AA","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Finance","AO","30","25","[c]","[c]"
"In post","2023","20-29","Declared disabled","Finance","EO","25","25","[c]","[c]"
"In post","2023","20-29","Declared disabled","Finance","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Finance","G7","5","5","[c]","[c]"
"In post","2023","20-29","Declared disabled","Finance","HEO","35","35","33790","34170"
"In post","2023","20-29","Declared disabled","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Finance","SEO","10","10","[c]","[c]"
"In post","2023","20-29","Declared disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Grants Management","AO","45","45","22150","22150"
"In post","2023","20-29","Declared disabled","Grants Management","EO","10","10","[c]","[c]"
"In post","2023","20-29","Declared disabled","Grants Management","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Grants Management","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Grants Management","HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Grants Management","SEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Human Resources","AA","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Human Resources","AO","20","20","[c]","[c]"
"In post","2023","20-29","Declared disabled","Human Resources","EO","50","50","27400","28120"
"In post","2023","20-29","Declared disabled","Human Resources","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Human Resources","G7","20","20","[c]","[c]"
"In post","2023","20-29","Declared disabled","Human Resources","HEO","60","60","32960","32960"
"In post","2023","20-29","Declared disabled","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Human Resources","SEO","25","25","[c]","[c]"
"In post","2023","20-29","Declared disabled","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Internal Audit","AA","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Internal Audit","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Internal Audit","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Internal Audit","HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Internal Audit","SEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Legal","AO","50","50","22900","22870"
"In post","2023","20-29","Declared disabled","Legal","EO","55","55","28460","27760"
"In post","2023","20-29","Declared disabled","Legal","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Legal","G7","15","15","[c]","[c]"
"In post","2023","20-29","Declared disabled","Legal","HEO","15","15","[c]","[c]"
"In post","2023","20-29","Declared disabled","Legal","SEO","10","10","[c]","[c]"
"In post","2023","20-29","Declared disabled","No function","AA","130","125","22520","23230"
"In post","2023","20-29","Declared disabled","No function","AO","1290","1245","24810","22520"
"In post","2023","20-29","Declared disabled","No function","EO","995","980","28670","28120"
"In post","2023","20-29","Declared disabled","No function","G6","10","10","[c]","[c]"
"In post","2023","20-29","Declared disabled","No function","G7","195","195","55140","55120"
"In post","2023","20-29","Declared disabled","No function","HEO","620","615","34080","34170"
"In post","2023","20-29","Declared disabled","No function","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","No function","SEO","290","290","41290","41360"
"In post","2023","20-29","Declared disabled","No function","Unknown","490","480","26100","24570"
"In post","2023","20-29","Declared disabled","Project Delivery","AA","5","5","[c]","[c]"
"In post","2023","20-29","Declared disabled","Project Delivery","AO","20","15","[c]","[c]"
"In post","2023","20-29","Declared disabled","Project Delivery","EO","45","45","27420","27650"
"In post","2023","20-29","Declared disabled","Project Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Project Delivery","G7","15","15","[c]","[c]"
"In post","2023","20-29","Declared disabled","Project Delivery","HEO","150","150","32470","32550"
"In post","2023","20-29","Declared disabled","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Project Delivery","SEO","55","55","40570","41000"
"In post","2023","20-29","Declared disabled","Project Delivery","Unknown","40","40","32220","28850"
"In post","2023","20-29","Declared disabled","Property","AA","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Property","AO","15","15","[c]","[c]"
"In post","2023","20-29","Declared disabled","Property","EO","15","15","[c]","[c]"
"In post","2023","20-29","Declared disabled","Property","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Property","G7","5","5","[c]","[c]"
"In post","2023","20-29","Declared disabled","Property","HEO","20","20","[c]","[c]"
"In post","2023","20-29","Declared disabled","Property","SEO","10","10","[c]","[c]"
"In post","2023","20-29","Declared disabled","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Security","AA","5","5","[c]","[c]"
"In post","2023","20-29","Declared disabled","Security","AO","25","25","[c]","[c]"
"In post","2023","20-29","Declared disabled","Security","EO","15","15","[c]","[c]"
"In post","2023","20-29","Declared disabled","Security","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Security","HEO","25","25","[c]","[c]"
"In post","2023","20-29","Declared disabled","Security","SEO","10","10","[c]","[c]"
"In post","2023","20-29","Declared disabled","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Unknown","AA","50","50","23090","23340"
"In post","2023","20-29","Declared disabled","Unknown","AO","50","50","24090","25310"
"In post","2023","20-29","Declared disabled","Unknown","EO","85","80","29330","29100"
"In post","2023","20-29","Declared disabled","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Unknown","G7","20","20","[c]","[c]"
"In post","2023","20-29","Declared disabled","Unknown","HEO","285","280","32050","30650"
"In post","2023","20-29","Declared disabled","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Unknown","SEO","45","45","42020","39890"
"In post","2023","20-29","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Analysis","AA","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Analysis","AO","70","70","22450","22150"
"In post","2023","20-29","Declared non-disabled","Analysis","EO","240","240","27760","28120"
"In post","2023","20-29","Declared non-disabled","Analysis","G6","15","15","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Analysis","G7","325","320","56330","55720"
"In post","2023","20-29","Declared non-disabled","Analysis","HEO","890","885","34540","34400"
"In post","2023","20-29","Declared non-disabled","Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Analysis","SEO","450","450","41900","41830"
"In post","2023","20-29","Declared non-disabled","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Commercial","AA","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Commercial","AO","45","45","22890","22150"
"In post","2023","20-29","Declared non-disabled","Commercial","EO","115","115","27390","27140"
"In post","2023","20-29","Declared non-disabled","Commercial","G6","10","10","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Commercial","G7","80","80","59680","56200"
"In post","2023","20-29","Declared non-disabled","Commercial","HEO","230","230","33550","33830"
"In post","2023","20-29","Declared non-disabled","Commercial","SEO","150","150","40860","41950"
"In post","2023","20-29","Declared non-disabled","Commercial","Unknown","20","20","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Communications","AO","20","20","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Communications","EO","75","75","27920","27890"
"In post","2023","20-29","Declared non-disabled","Communications","G7","30","30","55230","55370"
"In post","2023","20-29","Declared non-disabled","Communications","HEO","175","175","34650","34080"
"In post","2023","20-29","Declared non-disabled","Communications","SEO","95","95","42410","41950"
"In post","2023","20-29","Declared non-disabled","Communications","Unknown","5","5","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Counter Fraud","AO","220","215","23450","22520"
"In post","2023","20-29","Declared non-disabled","Counter Fraud","EO","775","765","29140","28120"
"In post","2023","20-29","Declared non-disabled","Counter Fraud","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Counter Fraud","G7","25","25","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Counter Fraud","HEO","270","270","35740","34700"
"In post","2023","20-29","Declared non-disabled","Counter Fraud","SEO","35","35","41860","42140"
"In post","2023","20-29","Declared non-disabled","Debt","AO","860","830","22570","22520"
"In post","2023","20-29","Declared non-disabled","Debt","EO","110","105","28160","28120"
"In post","2023","20-29","Declared non-disabled","Debt","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Debt","HEO","15","15","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Debt","SEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Digital, Data & Technology","AA","25","25","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Digital, Data & Technology","AO","115","115","21930","21690"
"In post","2023","20-29","Declared non-disabled","Digital, Data & Technology","EO","555","550","27780","27650"
"In post","2023","20-29","Declared non-disabled","Digital, Data & Technology","G6","15","15","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Digital, Data & Technology","G7","225","225","54970","55130"
"In post","2023","20-29","Declared non-disabled","Digital, Data & Technology","HEO","695","695","33950","34170"
"In post","2023","20-29","Declared non-disabled","Digital, Data & Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Digital, Data & Technology","SEO","475","475","41280","41480"
"In post","2023","20-29","Declared non-disabled","Digital, Data & Technology","Unknown","10","10","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Finance","AA","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Finance","AO","170","165","22900","22520"
"In post","2023","20-29","Declared non-disabled","Finance","EO","240","235","27850","27760"
"In post","2023","20-29","Declared non-disabled","Finance","G6","10","10","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Finance","G7","85","85","55180","55720"
"In post","2023","20-29","Declared non-disabled","Finance","HEO","280","280","34650","34170"
"In post","2023","20-29","Declared non-disabled","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Finance","SEO","155","155","41360","41360"
"In post","2023","20-29","Declared non-disabled","Finance","Unknown","10","10","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Grants Management","AO","160","160","22100","22150"
"In post","2023","20-29","Declared non-disabled","Grants Management","EO","55","55","25780","25920"
"In post","2023","20-29","Declared non-disabled","Grants Management","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Grants Management","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Grants Management","HEO","10","10","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Grants Management","SEO","10","10","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Human Resources","AA","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Human Resources","AO","110","110","22410","22220"
"In post","2023","20-29","Declared non-disabled","Human Resources","EO","270","270","27760","27890"
"In post","2023","20-29","Declared non-disabled","Human Resources","G6","10","10","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Human Resources","G7","90","90","55320","55120"
"In post","2023","20-29","Declared non-disabled","Human Resources","HEO","325","325","33120","32980"
"In post","2023","20-29","Declared non-disabled","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Human Resources","SEO","100","100","41310","41600"
"In post","2023","20-29","Declared non-disabled","Human Resources","Unknown","5","5","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Internal Audit","AA","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Internal Audit","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Internal Audit","EO","5","5","[c]","[c]"
