"Status","Year","Ethnicity","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Analysis","790","775","43370","39420"
"In post","2023","Asian","Commercial","420","415","47090","41180"
"In post","2023","Asian","Communications","175","175","41490","39450"
"In post","2023","Asian","Counter Fraud","1475","1390","32760","32520"
"In post","2023","Asian","Debt","1095","970","24090","22520"
"In post","2023","Asian","Digital, Data & Technology","1960","1930","43850","41190"
"In post","2023","Asian","Finance","1190","1155","41000","38120"
"In post","2023","Asian","Grants Management","60","55","25790","22150"
"In post","2023","Asian","Human Resources","785","760","38220","35150"
"In post","2023","Asian","Internal Audit","105","100","46820","43290"
"In post","2023","Asian","Legal","1415","1330","44360","45230"
"In post","2023","Asian","No function","22900","21225","32620","29150"
"In post","2023","Asian","Project Delivery","1450","1410","44680","41190"
"In post","2023","Asian","Property","420","405","37110","33160"
"In post","2023","Asian","Security","390","380","34650","31030"
"In post","2023","Asian","Unknown","725","700","38430","34170"
"In post","2023","Black","Analysis","260","255","39760","37760"
"In post","2023","Black","Commercial","220","220","45900","41530"
"In post","2023","Black","Communications","105","105","40590","36650"
"In post","2023","Black","Counter Fraud","695","655","32590","32520"
"In post","2023","Black","Debt","280","260","25790","22520"
"In post","2023","Black","Digital, Data & Technology","885","875","41610","39370"
"In post","2023","Black","Finance","475","465","41370","39150"
"In post","2023","Black","Grants Management","25","25","[c]","[c]"
"In post","2023","Black","Human Resources","430","420","39480","36180"
"In post","2023","Black","Internal Audit","25","25","[c]","[c]"
"In post","2023","Black","Legal","695","670","42330","35550"
"In post","2023","Black","No function","11885","11320","33030","31260"
"In post","2023","Black","Project Delivery","725","715","43950","41000"
"In post","2023","Black","Property","185","175","38350","36020"
"In post","2023","Black","Security","175","175","35360","31880"
"In post","2023","Black","Unknown","235","230","38550","34720"
"In post","2023","Mixed","Analysis","265","255","44060","41020"
"In post","2023","Mixed","Commercial","150","145","47080","40620"
"In post","2023","Mixed","Communications","120","115","44640","40540"
"In post","2023","Mixed","Counter Fraud","310","300","34230","32350"
"In post","2023","Mixed","Debt","110","100","24110","22520"
"In post","2023","Mixed","Digital, Data & Technology","435","430","43390","41060"
"In post","2023","Mixed","Finance","230","225","42130","38470"
"In post","2023","Mixed","Grants Management","35","35","26170","22150"
"In post","2023","Mixed","Human Resources","300","290","40240","35950"
"In post","2023","Mixed","Internal Audit","15","15","[c]","[c]"
"In post","2023","Mixed","Legal","385","360","48070","51270"
"In post","2023","Mixed","No function","6290","5950","35020","31280"
"In post","2023","Mixed","Project Delivery","445","430","44950","41280"
"In post","2023","Mixed","Property","120","115","36050","33960"
"In post","2023","Mixed","Security","120","120","38110","35800"
"In post","2023","Mixed","Unknown","385","375","40500","34730"
"In post","2023","Other ethnicity","Analysis","80","80","48070","42140"
"In post","2023","Other ethnicity","Commercial","35","35","41280","41270"
