"Status","Year","Region_ITL2","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Bedfordshire and Hertfordshire","AA/AO","Heterosexual / straight","865","805","26170","25480"
"In post","2023","Bedfordshire and Hertfordshire","AA/AO","LGBO","60","60","27510","25610"
"In post","2023","Bedfordshire and Hertfordshire","AA/AO","Undeclared","110","100","25500","25130"
"In post","2023","Bedfordshire and Hertfordshire","AA/AO","Unknown","205","180","26300","25480"
"In post","2023","Bedfordshire and Hertfordshire","EO","Heterosexual / straight","1035","955","30080","30200"
"In post","2023","Bedfordshire and Hertfordshire","EO","LGBO","50","50","30470","31280"
"In post","2023","Bedfordshire and Hertfordshire","EO","Undeclared","135","125","30390","30120"
"In post","2023","Bedfordshire and Hertfordshire","EO","Unknown","260","230","29660","29640"
"In post","2023","Bedfordshire and Hertfordshire","G6/G7","Heterosexual / straight","330","320","62290","60220"
"In post","2023","Bedfordshire and Hertfordshire","G6/G7","LGBO","15","15","[c]","[c]"
"In post","2023","Bedfordshire and Hertfordshire","G6/G7","Undeclared","40","40","60580","59080"
"In post","2023","Bedfordshire and Hertfordshire","G6/G7","Unknown","70","65","62320","62040"
"In post","2023","Bedfordshire and Hertfordshire","SCS level","Heterosexual / straight","35","35","88920","85000"
"In post","2023","Bedfordshire and Hertfordshire","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Bedfordshire and Hertfordshire","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Bedfordshire and Hertfordshire","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Bedfordshire and Hertfordshire","SEO/HEO","Heterosexual / straight","825","800","39860","38910"
"In post","2023","Bedfordshire and Hertfordshire","SEO/HEO","LGBO","40","40","38690","37680"
"In post","2023","Bedfordshire and Hertfordshire","SEO/HEO","Undeclared","115","115","40550","41190"
"In post","2023","Bedfordshire and Hertfordshire","SEO/HEO","Unknown","120","115","40510","39340"
"In post","2023","Bedfordshire and Hertfordshire","Unknown","Heterosexual / straight","325","305","30830","29050"
