"Status","Year","Function_of_post","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","AA/AO","Female","125","120","22890","22500"
"In post","2023","Analysis","AA/AO","Male","110","110","23020","23210"
"In post","2023","Analysis","EO","Female","460","430","27690","27400"
"In post","2023","Analysis","EO","Male","450","440","27870","27650"
"In post","2023","Analysis","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","G6/G7","Female","1460","1355","59700","57970"
"In post","2023","Analysis","G6/G7","Male","2035","1985","60080","58010"
"In post","2023","Analysis","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","SCS level","Female","90","85","85390","81310"
"In post","2023","Analysis","SCS level","Male","125","125","91950","83250"
"In post","2023","Analysis","SEO/HEO","Female","2620","2505","37450","37760"
"In post","2023","Analysis","SEO/HEO","Male","2840","2800","37530","37690"
"In post","2023","Analysis","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","AA/AO","Female","200","180","23660","22500"
"In post","2023","Commercial","AA/AO","Male","160","155","23580","22500"
"In post","2023","Commercial","EO","Female","445","415","27760","27140"
"In post","2023","Commercial","EO","Male","300","295","27710","27140"
"In post","2023","Commercial","G6/G7","Female","1125","1090","62100","59440"
"In post","2023","Commercial","G6/G7","Male","1255","1240","64420","65060"
"In post","2023","Commercial","SCS level","Female","115","110","109100","102500"
"In post","2023","Commercial","SCS level","Male","180","180","119210","117800"
"In post","2023","Commercial","SEO/HEO","Female","1885","1805","37870","37710"
"In post","2023","Commercial","SEO/HEO","Male","1450","1435","38580","38460"
"In post","2023","Commercial","Unknown","Female","80","80","39380","35930"
"In post","2023","Commercial","Unknown","Male","85","85","46360","43400"
"In post","2023","Communications","AA/AO","Female","110","100","23030","22360"
"In post","2023","Communications","AA/AO","Male","65","65","23660","22500"
"In post","2023","Communications","EO","Female","310","290","28740","28220"
"In post","2023","Communications","EO","Male","210","205","28800","28340"
"In post","2023","Communications","G6/G7","Female","665","635","59720","57970"
"In post","2023","Communications","G6/G7","Male","410","405","60230","57970"
"In post","2023","Communications","SCS level","Female","65","65","88920","82710"
"In post","2023","Communications","SCS level","Male","70","70","94090","86260"
"In post","2023","Communications","SEO/HEO","Female","1355","1290","39000","39120"
"In post","2023","Communications","SEO/HEO","Male","875","865","39380","39650"
"In post","2023","Communications","Unknown","Female","15","15","[c]","[c]"
"In post","2023","Communications","Unknown","Male","10","10","[c]","[c]"
"In post","2023","Counter Fraud","AA/AO","Female","1445","1190","23200","22520"
"In post","2023","Counter Fraud","AA/AO","Male","835","790","23140","22520"
"In post","2023","Counter Fraud","EO","Female","4220","3790","29140","28120"
"In post","2023","Counter Fraud","EO","Male","3215","3070","29170","28130"
"In post","2023","Counter Fraud","G6/G7","Female","485","455","61240","57970"
"In post","2023","Counter Fraud","G6/G7","Male","805","775","62610","58920"
"In post","2023","Counter Fraud","SCS level","Female","25","25","[c]","[c]"
"In post","2023","Counter Fraud","SCS level","Male","25","25","[c]","[c]"
"In post","2023","Counter Fraud","SEO/HEO","Female","2950","2770","37640","35000"
"In post","2023","Counter Fraud","SEO/HEO","Male","3135","3040","38120","36400"
"In post","2023","Debt","AA/AO","Female","3615","3080","22620","22520"
