"Status","Year","Profession_of_post","Region_ITL1","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","East Midlands (England)","East Derbyshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","East Derbyshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Leicester","Female","5","5","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Leicester","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Leicestershire CC and Rutland","Female","5","5","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Leicestershire CC and Rutland","Male","5","5","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Lincolnshire CC","Female","10","10","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Lincolnshire CC","Male","5","5","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","North Northamptonshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","North Northamptonshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","North Nottinghamshire","Female","10","10","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","North Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Nottingham","Female","30","30","43800","41010"
"In post","2023","Commercial","East Midlands (England)","Nottingham","Male","20","20","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","South Nottinghamshire","Female","10","10","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","South Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","South and West Derbyshire","Female","15","15","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","South and West Derbyshire","Male","10","10","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","West Northamptonshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","West Northamptonshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","Bedford","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","Bedford","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","Breckland and South Norfolk","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","Breckland and South Norfolk","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","Cambridgeshire CC","Female","45","40","39710","39590"
"In post","2023","Commercial","East of England","Cambridgeshire CC","Male","20","20","[c]","[c]"
"In post","2023","Commercial","East of England","Central Bedfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","Central Bedfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","Essex Haven Gateway","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","Essex Haven Gateway","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","Heart of Essex","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","Heart of Essex","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","Hertfordshire CC","Female","5","5","[c]","[c]"
"In post","2023","Commercial","East of England","Hertfordshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","Luton","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","Luton","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","North and West Norfolk","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","North and West Norfolk","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","Norwich and East Norfolk","Female","45","40","46070","40620"
"In post","2023","Commercial","East of England","Norwich and East Norfolk","Male","45","45","42920","40160"
"In post","2023","Commercial","East of England","Peterborough","Female","30","30","45970","41490"
"In post","2023","Commercial","East of England","Peterborough","Male","20","20","[c]","[c]"
"In post","2023","Commercial","East of England","Suffolk CC","Female","20","15","[c]","[c]"
"In post","2023","Commercial","East of England","Suffolk CC","Male","10","10","[c]","[c]"
"In post","2023","Commercial","East of England","West Essex","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","West Essex","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Barking & Dagenham and Havering","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Barking & Dagenham and Havering","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Barnet","Female","5","5","[c]","[c]"
"In post","2023","Commercial","London","Barnet","Male","10","10","[c]","[c]"
"In post","2023","Commercial","London","Bexley and Greenwich","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Bexley and Greenwich","Male","5","5","[c]","[c]"
"In post","2023","Commercial","London","Brent","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Brent","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Camden and City of London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Camden and City of London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Croydon","Female","90","85","48110","43210"
"In post","2023","Commercial","London","Croydon","Male","55","55","49880","45930"
"In post","2023","Commercial","London","Enfield","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Enfield","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Hackney and Newham","Female","5","5","[c]","[c]"
"In post","2023","Commercial","London","Hackney and Newham","Male","5","5","[c]","[c]"
"In post","2023","Commercial","London","Haringey and Islington","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Haringey and Islington","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Harrow and Hillingdon","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Harrow and Hillingdon","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Hounslow and Richmond upon Thames","Female","20","20","[c]","[c]"
"In post","2023","Commercial","London","Hounslow and Richmond upon Thames","Male","25","25","[c]","[c]"
"In post","2023","Commercial","London","Kensington & Chelsea and Hammersmith & Fulham","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Kensington & Chelsea and Hammersmith & Fulham","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Lambeth","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Lambeth","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Lewisham and Southwark","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Lewisham and Southwark","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Merton, Kingston upon Thames and Sutton","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Merton, Kingston upon Thames and Sutton","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Redbridge and Waltham Forest","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Redbridge and Waltham Forest","Male","[c]","[c]","[c]","[c]"
