"Status","Year","Ethnicity","Function_of_post","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Analysis","AA/AO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Asian","Analysis","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","EO","Heterosexual / straight","100","100","28830","28720"
"In post","2023","Asian","Analysis","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","EO","Undeclared","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","G6/G7","Heterosexual / straight","190","180","61150","59370"
"In post","2023","Asian","Analysis","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","G6/G7","Undeclared","15","15","[c]","[c]"
"In post","2023","Asian","Analysis","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","SEO/HEO","Heterosexual / straight","355","350","38320","38130"
"In post","2023","Asian","Analysis","SEO/HEO","LGBO","20","20","[c]","[c]"
"In post","2023","Asian","Analysis","SEO/HEO","Undeclared","15","15","[c]","[c]"
"In post","2023","Asian","Analysis","SEO/HEO","Unknown","35","35","37750","38400"
"In post","2023","Asian","Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Asian","Commercial","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","EO","Heterosexual / straight","40","40","29180","28330"
"In post","2023","Asian","Commercial","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","EO","Unknown","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","G6/G7","Heterosexual / straight","95","95","63390","63080"
"In post","2023","Asian","Commercial","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Commercial","G6/G7","Unknown","20","20","[c]","[c]"
"In post","2023","Asian","Commercial","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Asian","Commercial","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","SEO/HEO","Heterosexual / straight","180","175","37820","35790"
"In post","2023","Asian","Commercial","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","SEO/HEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Commercial","SEO/HEO","Unknown","20","20","[c]","[c]"
"In post","2023","Asian","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Asian","Communications","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","EO","Heterosexual / straight","35","35","28940","28380"
"In post","2023","Asian","Communications","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","G6/G7","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Asian","Communications","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","SEO/HEO","Heterosexual / straight","80","80","40550","41020"
"In post","2023","Asian","Communications","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2023","Asian","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","AA/AO","Heterosexual / straight","195","170","24220","25610"
"In post","2023","Asian","Counter Fraud","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","AA/AO","Undeclared","20","15","[c]","[c]"
"In post","2023","Asian","Counter Fraud","AA/AO","Unknown","50","45","23920","23850"
"In post","2023","Asian","Counter Fraud","EO","Heterosexual / straight","580","555","30030","28130"
"In post","2023","Asian","Counter Fraud","EO","LGBO","10","10","[c]","[c]"
"In post","2023","Asian","Counter Fraud","EO","Undeclared","20","15","[c]","[c]"
"In post","2023","Asian","Counter Fraud","EO","Unknown","95","90","30840","32260"
"In post","2023","Asian","Counter Fraud","G6/G7","Heterosexual / straight","45","45","63110","65230"
"In post","2023","Asian","Counter Fraud","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","SCS level","Unknown","[c]","[c]","[c]","[c]"
