"Status","Year","Organisation","Region_ITL2","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Southern Scotland","East Ayrshire and North Ayrshire mainland","Female","75","65","32620","31940"
"In post","2023","Accountant in Bankruptcy","Southern Scotland","East Ayrshire and North Ayrshire mainland","Male","45","45","36120","31940"
"In post","2023","Accountant in Bankruptcy","West Central Scotland","Glasgow City","Female","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","West Central Scotland","Glasgow City","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Inner London - West","Westminster","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Inner London - West","Westminster","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","North Yorkshire","York","Female","15","10","[c]","[c]"
"In post","2023","Active Travel England","North Yorkshire","York","Male","15","15","[c]","[c]"
"In post","2023","Active Travel England","Surrey, East and West Sussex","East Sussex CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Surrey, East and West Sussex","East Sussex CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","West Wales and The Valleys","Swansea","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","West Wales and The Valleys","Swansea","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","West Yorkshire","Leeds","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","West Yorkshire","Leeds","Male","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Nottingham","Female","65","60","31070","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Nottingham","Male","35","35","30220","29180"
"In post","2023","Advisory, Conciliation and Arbitration Service","Devon","Devon CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Devon","Devon CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Dorset and Somerset","Dorset","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Dorset and Somerset","Dorset","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Anglia","Breckland and South Norfolk","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Anglia","Breckland and South Norfolk","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Anglia","Suffolk CC","Female","25","25","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Anglia","Suffolk CC","Male","15","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Wales","Cardiff and Vale of Glamorgan","Female","55","50","30970","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Wales","Cardiff and Vale of Glamorgan","Male","30","25","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Eastern Scotland","Perth and Kinross, and Stirling","Female","[c]","[c]","[c]","[c]"
