"Status","Year","Organisation","Profession_of_post","Region_ITL1","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Unknown","Scotland","AA/AO","35","35","23910","24890"
"In post","2023","Accountant in Bankruptcy","Unknown","Scotland","EO","45","40","31120","31940"
"In post","2023","Accountant in Bankruptcy","Unknown","Scotland","G6/G7","5","5","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","Scotland","SEO/HEO","35","35","40580","38330"
"In post","2023","Active Travel England","Communications","Yorkshire and The Humber","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Digital, Data and Technology","Yorkshire and The Humber","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Economics","Yorkshire and The Humber","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","Yorkshire and The Humber","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Human Resources","Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","Yorkshire and The Humber","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","Yorkshire and The Humber","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Other","Yorkshire and The Humber","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","Yorkshire and The Humber","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","Yorkshire and The Humber","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","Yorkshire and The Humber","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Active Travel England","Policy","Yorkshire and The Humber","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","South East (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","Yorkshire and The Humber","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","Yorkshire and The Humber","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","Yorkshire and The Humber","G6/G7","5","5","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","Yorkshire and The Humber","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","Yorkshire and The Humber","SEO/HEO","10","10","40030","39430"
"In post","2023","Active Travel England","Statistics","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","North West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","Yorkshire and The Humber","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","London","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","Yorkshire and The Humber","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","East Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","London","EO","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","London","G6/G7","10","10","64490","61780"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","London","SEO/HEO","20","20","46890","49240"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","North East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","North East (England)","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","North West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Scotland","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","South East (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","South West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","West Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Yorkshire and The Humber","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","East of England","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","West Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","East Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","London","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","North East (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","South East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","South West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","South West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","West Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","West Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","East Midlands (England)","AA/AO","15","10","20930","20790"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","East Midlands (England)","EO","35","35","25270","25160"
