"Status","Year","Disability","Organisation","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","London","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Outside London","Female","115","105","32670","32110"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Outside London","Male","60","55","32620","32110"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","London","Female","10","5","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Outside London","Female","260","245","29030","25920"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Outside London","Male","155","150","30510","25920"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","London","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","London","Female","235","225","48490","43090"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","London","Male","190","190","51400","56430"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Outside London","Female","200","190","36100","34050"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Outside London","Male","145","145","40080","34320"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Unknown","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Unknown","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","London","Female","155","155","30720","30130"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","London","Male","60","60","31150","30130"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Outside London","Female","55","55","30160","30130"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Outside London","Male","40","40","30770","30130"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Female","25","25","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Male","25","25","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Outside London","Female","20","20","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","Outside London","Female","65","55","30520","25610"
"In post","2023","Declared disabled","Companies House","Outside London","Male","40","40","33090","28070"
"In post","2023","Declared disabled","Companies House","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","London","Female","25","25","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","London","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","Outside London","Female","25","20","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","Outside London","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","Outside London","Female","40","40","38820","40450"
"In post","2023","Declared disabled","Crown Commercial Service","Outside London","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","Outside London","Female","110","105","38090","31540"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","Outside London","Male","50","50","40510","36330"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Prosecution Service","London","Female","165","150","46460","40800"
"In post","2023","Declared disabled","Crown Prosecution Service","London","Male","75","70","47820","40540"
"In post","2023","Declared disabled","Crown Prosecution Service","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Prosecution Service","Outside London","Female","490","440","39080","31610"
"In post","2023","Declared disabled","Crown Prosecution Service","Outside London","Male","215","210","42800","38940"
"In post","2023","Declared disabled","Crown Prosecution Service","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Prosecution Service","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Prosecution Service","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Prosecution Service","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","Outside London","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","Outside London","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Equipment and Support","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Equipment and Support","London","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Defence Equipment and Support","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Defence Equipment and Support","Outside London","Female","455","425","36590","33200"
"In post","2023","Declared disabled","Defence Equipment and Support","Outside London","Male","660","645","39420","38790"
"In post","2023","Declared disabled","Defence Equipment and Support","Outside London","Unknown","[c]","[c]","[c]","[c]"
