"Status","Year","Ethnicity","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Attorney General's Departments","Heterosexual / straight","1045","990","42610","40800"
"In post","2023","Asian","Attorney General's Departments","LGBO","30","30","46300","52400"
"In post","2023","Asian","Attorney General's Departments","Undeclared","30","30","44610","39700"
"In post","2023","Asian","Attorney General's Departments","Unknown","120","105","43910","41340"
"In post","2023","Asian","Cabinet Office","Heterosexual / straight","540","530","46930","41870"
"In post","2023","Asian","Cabinet Office","LGBO","25","25","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Undeclared","20","15","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Unknown","170","170","36450","30130"
"In post","2023","Asian","Chancellor's other departments","Heterosexual / straight","45","45","50760","45610"
"In post","2023","Asian","Chancellor's other departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Asian","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Heterosexual / straight","115","110","49150","38190"
"In post","2023","Asian","Competition and Markets Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","815","800","42610","41060"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","LGBO","35","35","45230","41360"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Undeclared","45","45","45240","42040"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Unknown","55","50","32300","26940"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Heterosexual / straight","135","135","47020","45980"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","LGBO","10","10","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Undeclared","5","5","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","Heterosexual / straight","770","750","41630","37720"
"In post","2023","Asian","Department for Education","LGBO","20","20","[c]","[c]"
"In post","2023","Asian","Department for Education","Undeclared","35","35","40330","37590"
"In post","2023","Asian","Department for Education","Unknown","45","45","46180","42980"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","Heterosexual / straight","455","445","37170","33830"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","LGBO","20","20","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","Undeclared","20","15","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","Unknown","20","20","[c]","[c]"
