"Status","Year","Ethnicity","Function_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Black","Digital, Data & Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Black","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Finance","London","310","305","44000","40380"
"In post","2023","Black","Finance","Outside London","165","160","36350","34370"
"In post","2023","Black","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Black","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Grants Management","London","[c]","[c]","[c]","[c]"
"In post","2023","Black","Grants Management","Outside London","20","20","[c]","[c]"
"In post","2023","Black","Human Resources","London","295","285","40520","36940"
"In post","2023","Black","Human Resources","Outside London","135","130","37240","33130"
"In post","2023","Black","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Black","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Internal Audit","London","20","20","[c]","[c]"
"In post","2023","Black","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Black","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Black","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Legal","London","525","510","42920","35800"
"In post","2023","Black","Legal","Outside London","165","160","40280","35000"
"In post","2023","Black","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Black","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","No function","London","6990","6695","35120","32520"
"In post","2023","Black","No function","Outside London","4810","4540","29820","28120"
"In post","2023","Black","No function","Overseas","65","65","47990","50850"
"In post","2023","Black","No function","Unknown","20","20","[c]","[c]"
"In post","2023","Black","Project Delivery","London","435","430","46890","43750"
"In post","2023","Black","Project Delivery","Outside London","290","285","39490","37750"
"In post","2023","Black","Project Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Black","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Property","London","105","105","40390","37870"
"In post","2023","Black","Property","Outside London","75","75","35440","32720"
"In post","2023","Black","Property","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Black","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Security","London","120","120","36960","35010"
"In post","2023","Black","Security","Outside London","50","50","31890","27500"
"In post","2023","Black","Security","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Black","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","London","95","95","38870","39150"
"In post","2023","Black","Unknown","Outside London","140","135","38330","33520"
"In post","2023","Black","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Analysis","London","155","155","47140","43650"
"In post","2023","Mixed","Analysis","Outside London","105","105","39560","35600"
"In post","2023","Mixed","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Commercial","London","65","65","52960","43750"
"In post","2023","Mixed","Commercial","Outside London","85","80","42390","37140"
"In post","2023","Mixed","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Communications","London","85","85","47210","42970"
"In post","2023","Mixed","Communications","Outside London","35","35","38190","35850"
"In post","2023","Mixed","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Counter Fraud","London","125","120","38020","32540"
"In post","2023","Mixed","Counter Fraud","Outside London","190","175","31730","28130"
"In post","2023","Mixed","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Debt","London","10","10","[c]","[c]"
"In post","2023","Mixed","Debt","Outside London","100","90","23720","22520"
"In post","2023","Mixed","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Digital, Data & Technology","London","165","165","47420","44140"
"In post","2023","Mixed","Digital, Data & Technology","Outside London","270","270","40930","38460"
"In post","2023","Mixed","Digital, Data & Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Finance","London","95","90","47720","45170"
"In post","2023","Mixed","Finance","Outside London","135","130","38220","34970"
"In post","2023","Mixed","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Grants Management","London","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Grants Management","Outside London","35","30","25180","22150"
"In post","2023","Mixed","Human Resources","London","120","120","44630","40700"
"In post","2023","Mixed","Human Resources","Outside London","175","170","37270","33020"
"In post","2023","Mixed","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Internal Audit","London","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Internal Audit","Outside London","10","10","[c]","[c]"
"In post","2023","Mixed","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Legal","London","215","205","52480","53670"
"In post","2023","Mixed","Legal","Outside London","170","155","42170","41710"
