"Status","Year","Organisation","Region_ITL2","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Southern Scotland","Outside London","AA/AO","35","35","23910","24890"
"In post","2023","Accountant in Bankruptcy","Southern Scotland","Outside London","EO","45","40","31120","31940"
"In post","2023","Accountant in Bankruptcy","Southern Scotland","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Southern Scotland","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Southern Scotland","Outside London","SEO/HEO","35","35","40550","38330"
"In post","2023","Accountant in Bankruptcy","West Central Scotland","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Inner London - West","London","G6/G7","5","5","[c]","[c]"
"In post","2023","Active Travel England","Inner London - West","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","North Yorkshire","Outside London","G6/G7","10","10","56140","51770"
"In post","2023","Active Travel England","North Yorkshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","North Yorkshire","Outside London","SEO/HEO","15","15","38360","39430"
"In post","2023","Active Travel England","Surrey, East and West Sussex","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","West Wales and The Valleys","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","West Yorkshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","West Yorkshire","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","West Yorkshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","West Yorkshire","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Berkshire, Buckinghamshire and Oxfordshire","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Outside London","AA/AO","15","10","20930","20790"
"In post","2023","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Outside London","EO","35","35","25290","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Outside London","SEO/HEO","50","45","34660","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Devon","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Dorset and Somerset","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Anglia","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Anglia","Outside London","EO","10","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Anglia","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Anglia","Outside London","SEO/HEO","30","25","35930","35190"
