"Status","Year","Age","Function_of_post","Region_ITL1","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Finance","Yorkshire and The Humber","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Grants Management","East Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Grants Management","North East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Grants Management","North West (England)","AO","5","5","[c]","[c]"
"In post","2023","16-19","Grants Management","South West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","East Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","North East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","North West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","South East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","South West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Wales","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Wales","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","East Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","East of England","AO","10","10","[c]","[c]"
"In post","2023","16-19","Legal","London","AO","10","10","[c]","[c]"
"In post","2023","16-19","Legal","North West (England)","AO","5","5","[c]","[c]"
"In post","2023","16-19","Legal","South East (England)","AO","10","10","[c]","[c]"
"In post","2023","16-19","Legal","South West (England)","AO","10","10","[c]","[c]"
"In post","2023","16-19","Legal","Wales","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","West Midlands (England)","AO","5","5","[c]","[c]"
"In post","2023","16-19","Legal","Yorkshire and The Humber","AO","10","10","[c]","[c]"
"In post","2023","16-19","Legal","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","East Midlands (England)","AA","15","15","23490","23230"
"In post","2023","16-19","No function","East Midlands (England)","AO","45","45","26130","28880"
"In post","2023","16-19","No function","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","East of England","AA","15","15","22870","23230"
"In post","2023","16-19","No function","East of England","AO","45","40","25680","24070"
"In post","2023","16-19","No function","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","London","AA","5","5","[c]","[c]"
"In post","2023","16-19","No function","London","AO","40","40","26960","26400"
"In post","2023","16-19","No function","London","EO","20","20","28820","29280"
"In post","2023","16-19","No function","London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","North East (England)","AA","5","5","[c]","[c]"
"In post","2023","16-19","No function","North East (England)","AO","40","40","23880","22520"
"In post","2023","16-19","No function","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","North West (England)","AA","15","15","23080","23230"
"In post","2023","16-19","No function","North West (England)","AO","75","70","23880","22520"
"In post","2023","16-19","No function","North West (England)","EO","10","10","27200","28120"
"In post","2023","16-19","No function","North West (England)","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","No function","Northern Ireland","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Scotland","AO","45","45","22420","22520"
"In post","2023","16-19","No function","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","South East (England)","AA","25","25","22320","23230"
"In post","2023","16-19","No function","South East (England)","AO","80","80","24300","22400"
"In post","2023","16-19","No function","South East (England)","EO","10","10","26150","25750"
"In post","2023","16-19","No function","South East (England)","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","No function","South West (England)","AA","15","15","22610","23230"
"In post","2023","16-19","No function","South West (England)","AO","90","90","20790","18780"
"In post","2023","16-19","No function","South West (England)","EO","5","5","[c]","[c]"
"In post","2023","16-19","No function","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Wales","AA","50","45","18900","19000"
"In post","2023","16-19","No function","Wales","AO","70","65","22670","22500"
"In post","2023","16-19","No function","Wales","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","West Midlands (England)","AA","15","15","21540","23230"
"In post","2023","16-19","No function","West Midlands (England)","AO","40","40","24210","22500"
"In post","2023","16-19","No function","West Midlands (England)","EO","5","5","[c]","[c]"
"In post","2023","16-19","No function","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Yorkshire and The Humber","AA","15","15","23020","23230"
"In post","2023","16-19","No function","Yorkshire and The Humber","AO","55","50","24920","22520"
"In post","2023","16-19","No function","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Yorkshire and The Humber","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Yorkshire and The Humber","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Project Delivery","East Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","North West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","South East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","South West (England)","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","South West (England)","AO","5","5","[c]","[c]"
"In post","2023","16-19","Project Delivery","South West (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","South West (England)","Unknown","20","20","18720","18280"
"In post","2023","16-19","Project Delivery","Wales","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Wales","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","East Midlands (England)","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","East Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","East of England","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","North East (England)","AO","5","5","[c]","[c]"
"In post","2023","16-19","Property","North West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Scotland","AA","5","5","[c]","[c]"
"In post","2023","16-19","Property","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","South East (England)","Unknown","15","15","23210","22750"
"In post","2023","16-19","Property","South West (England)","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","South West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","West Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Yorkshire and The Humber","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","South East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","South West (England)","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","Unknown","EO","5","5","[c]","[c]"
"In post","2023","16-19","Security","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","East Midlands (England)","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","North East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","North West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Scotland","AA","45","45","22600","22180"
"In post","2023","16-19","Unknown","Scotland","AO","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","South East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","South West (England)","AA","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","South West (England)","AO","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Unknown","30","30","19370","17400"
"In post","2023","16-19","Unknown","Wales","AO","10","10","22580","22150"
"In post","2023","16-19","Unknown","Yorkshire and The Humber","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","East Midlands (England)","HEO","15","15","33450","33610"
"In post","2023","20-29","Analysis","East Midlands (England)","SEO","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","East of England","AO","10","10","21340","22150"
"In post","2023","20-29","Analysis","East of England","EO","20","20","26020","25920"
"In post","2023","20-29","Analysis","East of England","HEO","25","25","30960","30350"
"In post","2023","20-29","Analysis","East of England","SEO","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","London","AA","25","25","23500","23500"
"In post","2023","20-29","Analysis","London","AO","35","35","25030","24280"
"In post","2023","20-29","Analysis","London","EO","215","215","29280","29280"
"In post","2023","20-29","Analysis","London","G6","15","15","67510","67430"
"In post","2023","20-29","Analysis","London","G7","365","365","57180","55740"
"In post","2023","20-29","Analysis","London","HEO","900","895","35800","35410"
"In post","2023","20-29","Analysis","London","SEO","380","375","44160","43760"
"In post","2023","20-29","Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","North East (England)","AO","20","20","21710","21200"
"In post","2023","20-29","Analysis","North East (England)","EO","15","15","26690","26780"
"In post","2023","20-29","Analysis","North East (England)","G7","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","North East (England)","HEO","60","60","32420","31560"
"In post","2023","20-29","Analysis","North East (England)","SEO","30","30","39090","38470"
"In post","2023","20-29","Analysis","North West (England)","AO","10","10","22120","22480"
"In post","2023","20-29","Analysis","North West (England)","EO","35","35","27130","27650"
"In post","2023","20-29","Analysis","North West (England)","G7","25","25","54560","55740"
"In post","2023","20-29","Analysis","North West (England)","HEO","135","130","34030","34400"
"In post","2023","20-29","Analysis","North West (England)","SEO","75","75","41490","41780"
"In post","2023","20-29","Analysis","Northern Ireland","HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Scotland","EO","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Scotland","HEO","30","30","33140","34000"
"In post","2023","20-29","Analysis","Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","South East (England)","AA","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","South East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","South East (England)","EO","20","20","26530","25570"
"In post","2023","20-29","Analysis","South East (England)","G7","20","20","49530","49260"
"In post","2023","20-29","Analysis","South East (England)","HEO","205","205","30950","31560"
"In post","2023","20-29","Analysis","South East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","South East (England)","SEO","115","115","39300","39300"
"In post","2023","20-29","Analysis","South West (England)","AO","15","15","23740","24010"
"In post","2023","20-29","Analysis","South West (England)","EO","55","55","26740","26310"
"In post","2023","20-29","Analysis","South West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","South West (England)","G7","10","10","[c]","[c]"
"In post","2023","20-29","Analysis","South West (England)","HEO","105","105","30320","30650"
"In post","2023","20-29","Analysis","South West (England)","SEO","65","65","39890","39890"
"In post","2023","20-29","Analysis","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Wales","AO","25","25","21200","21200"
"In post","2023","20-29","Analysis","Wales","EO","20","20","25030","24840"
"In post","2023","20-29","Analysis","Wales","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Wales","G7","15","15","52080","51460"
"In post","2023","20-29","Analysis","Wales","HEO","175","175","31750","31560"
"In post","2023","20-29","Analysis","Wales","SEO","115","115","39060","39190"
"In post","2023","20-29","Analysis","West Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","West Midlands (England)","EO","10","10","27200","26780"
"In post","2023","20-29","Analysis","West Midlands (England)","G7","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","West Midlands (England)","HEO","40","40","33460","33480"
"In post","2023","20-29","Analysis","West Midlands (England)","SEO","10","10","41170","39860"
"In post","2023","20-29","Analysis","Yorkshire and The Humber","AA","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Yorkshire and The Humber","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Yorkshire and The Humber","EO","25","25","27070","27220"
"In post","2023","20-29","Analysis","Yorkshire and The Humber","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Yorkshire and The Humber","G7","20","20","52150","51770"
"In post","2023","20-29","Analysis","Yorkshire and The Humber","HEO","90","90","32890","32080"
"In post","2023","20-29","Analysis","Yorkshire and The Humber","SEO","50","50","40430","39830"
"In post","2023","20-29","Commercial","East Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","East Midlands (England)","EO","5","5","[c]","[c]"
"In post","2023","20-29","Commercial","East Midlands (England)","HEO","10","10","[c]","[c]"
"In post","2023","20-29","Commercial","East Midlands (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","East of England","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","East of England","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","East of England","HEO","10","10","[c]","[c]"
"In post","2023","20-29","Commercial","East of England","SEO","10","10","[c]","[c]"
"In post","2023","20-29","Commercial","London","AO","10","10","24850","25280"
"In post","2023","20-29","Commercial","London","EO","40","40","29940","29890"
"In post","2023","20-29","Commercial","London","G6","10","10","72030","71250"
"In post","2023","20-29","Commercial","London","G7","80","80","59450","56200"
"In post","2023","20-29","Commercial","London","HEO","155","155","33520","34190"
"In post","2023","20-29","Commercial","London","SEO","75","75","42660","43200"
"In post","2023","20-29","Commercial","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","North East (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","North East (England)","HEO","10","10","30520","30330"
"In post","2023","20-29","Commercial","North East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","North West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","North West (England)","EO","25","25","26890","26910"
"In post","2023","20-29","Commercial","North West (England)","G7","15","15","59040","56000"
"In post","2023","20-29","Commercial","North West (England)","HEO","60","60","32220","32110"
"In post","2023","20-29","Commercial","North West (England)","SEO","20","20","39980","40450"
"In post","2023","20-29","Commercial","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Northern Ireland","HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Scotland","AO","10","10","[c]","[c]"
"In post","2023","20-29","Commercial","Scotland","EO","20","20","27650","27080"
"In post","2023","20-29","Commercial","Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Scotland","HEO","20","20","33860","33830"
"In post","2023","20-29","Commercial","Scotland","SEO","5","5","[c]","[c]"
"In post","2023","20-29","Commercial","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","South East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","South East (England)","EO","45","45","27110","27140"
"In post","2023","20-29","Commercial","South East (England)","HEO","20","20","34590","35330"
"In post","2023","20-29","Commercial","South East (England)","SEO","10","10","42230","42600"
"In post","2023","20-29","Commercial","South West (England)","AO","75","75","23760","22220"
"In post","2023","20-29","Commercial","South West (England)","EO","60","60","26720","27080"
"In post","2023","20-29","Commercial","South West (England)","G7","10","10","55710","55500"
"In post","2023","20-29","Commercial","South West (England)","HEO","100","100","32720","32500"
"In post","2023","20-29","Commercial","South West (England)","SEO","70","70","40250","42620"
"In post","2023","20-29","Commercial","South West (England)","Unknown","25","25","32090","27570"
"In post","2023","20-29","Commercial","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Wales","AA","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Wales","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Wales","EO","10","10","26180","26400"
"In post","2023","20-29","Commercial","Wales","HEO","15","15","32070","31640"
"In post","2023","20-29","Commercial","Wales","SEO","5","5","[c]","[c]"
"In post","2023","20-29","Commercial","West Midlands (England)","EO","15","15","26630","26840"
"In post","2023","20-29","Commercial","West Midlands (England)","G7","5","5","[c]","[c]"
"In post","2023","20-29","Commercial","West Midlands (England)","HEO","20","20","31790","31640"
"In post","2023","20-29","Commercial","West Midlands (England)","SEO","10","10","[c]","[c]"
"In post","2023","20-29","Commercial","Yorkshire and The Humber","EO","15","15","25850","25900"
"In post","2023","20-29","Commercial","Yorkshire and The Humber","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Yorkshire and The Humber","G7","5","5","[c]","[c]"
"In post","2023","20-29","Commercial","Yorkshire and The Humber","HEO","30","30","31040","31270"
"In post","2023","20-29","Commercial","Yorkshire and The Humber","SEO","30","30","38850","38120"
"In post","2023","20-29","Communications","East Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","East Midlands (England)","HEO","10","10","[c]","[c]"
"In post","2023","20-29","Communications","East Midlands (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","East of England","HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","East of England","SEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","London","AO","20","20","25360","25760"
"In post","2023","20-29","Communications","London","EO","85","85","29240","29080"
"In post","2023","20-29","Communications","London","G7","45","45","56160","55760"
"In post","2023","20-29","Communications","London","HEO","275","275","36440","35510"
"In post","2023","20-29","Communications","London","SEO","160","160","43580","43280"
"In post","2023","20-29","Communications","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","North East (England)","AO","5","5","[c]","[c]"
"In post","2023","20-29","Communications","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","North East (England)","HEO","10","10","[c]","[c]"
"In post","2023","20-29","Communications","North East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","North West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","North West (England)","EO","5","5","[c]","[c]"
"In post","2023","20-29","Communications","North West (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","North West (England)","HEO","25","25","32660","32800"
"In post","2023","20-29","Communications","North West (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Northern Ireland","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Northern Ireland","HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Northern Ireland","SEO","[c]","[c]","[c]","[c]"
