"Status","Year","Organisation","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Heterosexual / straight","75","65","36430","33520"
"In post","2023","Accountant in Bankruptcy","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","45","45","29280","24890"
"In post","2023","Active Travel England","Heterosexual / straight","30","30","48350","43160"
"In post","2023","Active Travel England","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Unknown","15","15","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","705","640","35480","32310"
"In post","2023","Advisory, Conciliation and Arbitration Service","LGBO","55","55","33590","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Undeclared","105","95","35750","35190"
"In post","2023","Advisory, Conciliation and Arbitration Service","Unknown","145","140","29400","25160"
"In post","2023","Animal and Plant Health Agency","Heterosexual / straight","2245","2140","31300","29080"
"In post","2023","Animal and Plant Health Agency","LGBO","195","195","28730","25920"
"In post","2023","Animal and Plant Health Agency","Undeclared","350","330","33590","30320"
"In post","2023","Animal and Plant Health Agency","Unknown","305","285","30440","25920"
"In post","2023","Attorney General's Office","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Attorney General's Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Unknown","30","30","58870","56290"
"In post","2023","Building Digital UK","Heterosexual / straight","160","155","47670","52760"
"In post","2023","Building Digital UK","LGBO","20","20","[c]","[c]"
"In post","2023","Building Digital UK","Undeclared","15","15","[c]","[c]"
"In post","2023","Building Digital UK","Unknown","35","35","43180","39040"
"In post","2023","Cabinet Office (excl. agencies)","Heterosexual / straight","4015","3885","47690","41870"
