"Status","Year","Parent_department","Profession_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Commercial","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","EO","EO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","G6/G7","G7","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","SEO/HEO","SEO","15","15","40650","38940"
"In post","2023","Attorney General's Departments","Communications","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","EO","EO","10","10","27900","27440"
"In post","2023","Attorney General's Departments","Communications","G6/G7","G6","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","G6/G7","G7","15","15","55500","55850"
"In post","2023","Attorney General's Departments","Communications","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","SEO/HEO","HEO","25","25","33200","32660"
"In post","2023","Attorney General's Departments","Communications","SEO/HEO","SEO","35","35","41390","40980"
"In post","2023","Attorney General's Departments","Corporate Finance","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","EO","EO","50","50","27970","27010"
"In post","2023","Attorney General's Departments","Counter Fraud","G6/G7","G6","35","35","72790","72030"
"In post","2023","Attorney General's Departments","Counter Fraud","G6/G7","G7","40","40","60580","60310"
"In post","2023","Attorney General's Departments","Counter Fraud","SCS level","SCS level","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","SEO/HEO","HEO","35","35","35330","34500"
"In post","2023","Attorney General's Departments","Counter Fraud","SEO/HEO","SEO","70","70","41880","41400"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","EO","EO","30","25","28800","27480"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","G6/G7","G6","15","15","73950","70750"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","G6/G7","G7","50","50","57430","56860"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","SCS level","SCS level","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","SEO/HEO","HEO","55","55","33780","33040"
