"Status","Year","Age","Ethnicity","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Asian","London","25","25","[c]","[c]"
"In post","2023","16-19","Asian","Outside London","70","65","22790","22520"
"In post","2023","16-19","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","London","5","5","[c]","[c]"
"In post","2023","16-19","Mixed","Outside London","20","20","[c]","[c]"
"In post","2023","16-19","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","London","50","45","27900","26700"
"In post","2023","16-19","Unknown","Outside London","510","485","22700","22400"
"In post","2023","16-19","Unknown","Unknown","35","35","20430","17650"
"In post","2023","16-19","White","London","40","40","27270","27230"
"In post","2023","16-19","White","Outside London","670","655","23240","22520"
"In post","2023","16-19","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Asian","London","2855","2835","35650","33500"
"In post","2023","20-29","Asian","Outside London","4185","4070","27560","27320"
"In post","2023","20-29","Asian","Overseas","20","20","[c]","[c]"
"In post","2023","20-29","Asian","Unknown","15","15","[c]","[c]"
"In post","2023","20-29","Black","London","1375","1360","33990","32520"
"In post","2023","20-29","Black","Outside London","845","830","28350","27890"
"In post","2023","20-29","Black","Overseas","5","5","[c]","[c]"
"In post","2023","20-29","Black","Unknown","5","5","[c]","[c]"
"In post","2023","20-29","Mixed","London","1020","1010","37460","34680"
"In post","2023","20-29","Mixed","Outside London","1420","1390","28670","28120"
"In post","2023","20-29","Mixed","Overseas","30","30","35290","33540"
"In post","2023","20-29","Mixed","Unknown","5","5","[c]","[c]"
"In post","2023","20-29","Other ethnicity","London","325","325","36950","34110"
"In post","2023","20-29","Other ethnicity","Outside London","225","220","29250","28120"
"In post","2023","20-29","Other ethnicity","Overseas","10","10","[c]","[c]"
"In post","2023","20-29","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Undeclared","London","385","385","39480","35760"
"In post","2023","20-29","Undeclared","Outside London","810","795","30460","28880"
"In post","2023","20-29","Undeclared","Overseas","5","5","[c]","[c]"
"In post","2023","20-29","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Unknown","London","5710","5670","37630","35400"
"In post","2023","20-29","Unknown","Outside London","15790","15485","27380","25880"
"In post","2023","20-29","Unknown","Overseas","60","60","43640","41220"
"In post","2023","20-29","Unknown","Unknown","435","435","31780","31710"
"In post","2023","20-29","White","London","11025","10980","40190","37560"
"In post","2023","20-29","White","Outside London","38280","37705","29160","28120"
"In post","2023","20-29","White","Overseas","210","210","38350","34220"
"In post","2023","20-29","White","Unknown","80","80","31160","28120"
"In post","2023","30-39","Asian","London","3720","3595","42810","39430"
"In post","2023","30-39","Asian","Outside London","5900","5540","31490","28120"
"In post","2023","30-39","Asian","Overseas","50","50","51280","53020"
"In post","2023","30-39","Asian","Unknown","20","20","[c]","[c]"
"In post","2023","30-39","Black","London","1870","1820","38500","35410"
"In post","2023","30-39","Black","Outside London","1670","1605","31450","28880"
"In post","2023","30-39","Black","Overseas","15","15","[c]","[c]"
"In post","2023","30-39","Black","Unknown","5","5","[c]","[c]"
"In post","2023","30-39","Mixed","London","1060","1030","46180","43000"
"In post","2023","30-39","Mixed","Outside London","1670","1590","33740","30720"
"In post","2023","30-39","Mixed","Overseas","50","50","49590","51950"
"In post","2023","30-39","Mixed","Unknown","5","5","[c]","[c]"
"In post","2023","30-39","Other ethnicity","London","360","350","46370","43260"
"In post","2023","30-39","Other ethnicity","Outside London","335","325","33640","31120"
"In post","2023","30-39","Other ethnicity","Overseas","10","10","[c]","[c]"
"In post","2023","30-39","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Undeclared","London","845","830","47830","44270"
"In post","2023","30-39","Undeclared","Outside London","2440","2340","34860","32170"
