"Status","Year","Age","Region_ITL2","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Bedfordshire and Hertfordshire","Bedford","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bedfordshire and Hertfordshire","Bedford","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bedfordshire and Hertfordshire","Hertfordshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bedfordshire and Hertfordshire","Hertfordshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","Female","5","5","[c]","[c]"
"In post","2023","16-19","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Female","10","10","[c]","[c]"
"In post","2023","16-19","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Male","25","25","[c]","[c]"
"In post","2023","16-19","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Male","5","5","[c]","[c]"
"In post","2023","16-19","Cheshire","Cheshire East","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cheshire","Cheshire East","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cheshire","Warrington","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cheshire","Warrington","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cumbria","East Cumbria","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cumbria","East Cumbria","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cumbria","West Cumbria","Female","5","5","[c]","[c]"
"In post","2023","16-19","Cumbria","West Cumbria","Male","5","5","[c]","[c]"
"In post","2023","16-19","Derbyshire and Nottinghamshire","North Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Derbyshire and Nottinghamshire","North Nottinghamshire","Male","5","5","[c]","[c]"
"In post","2023","16-19","Derbyshire and Nottinghamshire","Nottingham","Female","15","15","[c]","[c]"
"In post","2023","16-19","Derbyshire and Nottinghamshire","Nottingham","Male","15","15","[c]","[c]"
"In post","2023","16-19","Derbyshire and Nottinghamshire","South Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Derbyshire and Nottinghamshire","South Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Derbyshire and Nottinghamshire","South and West Derbyshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Derbyshire and Nottinghamshire","South and West Derbyshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Devon","Devon CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Devon","Devon CC","Male","10","10","[c]","[c]"
"In post","2023","16-19","Devon","Plymouth","Female","5","5","[c]","[c]"
"In post","2023","16-19","Devon","Plymouth","Male","15","15","[c]","[c]"
"In post","2023","16-19","Dorset and Somerset","Dorset","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Dorset and Somerset","Dorset","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Dorset and Somerset","Somerset CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Dorset and Somerset","Somerset CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Anglia","Breckland and South Norfolk","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Anglia","Breckland and South Norfolk","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Anglia","Cambridgeshire CC","Female","5","5","[c]","[c]"
"In post","2023","16-19","East Anglia","Cambridgeshire CC","Male","5","5","[c]","[c]"
"In post","2023","16-19","East Anglia","North and West Norfolk","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Anglia","North and West Norfolk","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Anglia","Norwich and East Norfolk","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Anglia","Norwich and East Norfolk","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Anglia","Peterborough","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Anglia","Peterborough","Male","5","5","[c]","[c]"
"In post","2023","16-19","East Anglia","Suffolk CC","Female","10","10","[c]","[c]"
"In post","2023","16-19","East Anglia","Suffolk CC","Male","5","5","[c]","[c]"
"In post","2023","16-19","East Wales","Cardiff and Vale of Glamorgan","Female","15","15","[c]","[c]"
"In post","2023","16-19","East Wales","Cardiff and Vale of Glamorgan","Male","15","15","[c]","[c]"
