"Status","Year","Ethnicity","Region_ITL1","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","East Midlands (England)","AA/AO","Female","460","375","22300","21780"
"In post","2023","Asian","East Midlands (England)","AA/AO","Male","330","310","23040","21780"
"In post","2023","Asian","East Midlands (England)","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Midlands (England)","EO","Female","340","305","27850","28120"
"In post","2023","Asian","East Midlands (England)","EO","Male","275","270","27900","28120"
"In post","2023","Asian","East Midlands (England)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Midlands (England)","G6/G7","Female","60","55","58820","57930"
"In post","2023","Asian","East Midlands (England)","G6/G7","Male","50","50","59910","57970"
"In post","2023","Asian","East Midlands (England)","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Midlands (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Midlands (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Midlands (England)","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Midlands (England)","SEO/HEO","Female","235","220","37100","35000"
"In post","2023","Asian","East Midlands (England)","SEO/HEO","Male","215","205","36990","35000"
"In post","2023","Asian","East Midlands (England)","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Midlands (England)","Unknown","Female","80","70","28820","26840"
"In post","2023","Asian","East Midlands (England)","Unknown","Male","30","30","27370","24570"
"In post","2023","Asian","East Midlands (England)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East of England","AA/AO","Female","270","215","23870","22770"
"In post","2023","Asian","East of England","AA/AO","Male","155","140","25140","22820"
"In post","2023","Asian","East of England","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East of England","EO","Female","255","225","29410","28850"
"In post","2023","Asian","East of England","EO","Male","165","160","29120","28120"
"In post","2023","Asian","East of England","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East of England","G6/G7","Female","50","45","60810","58320"
"In post","2023","Asian","East of England","G6/G7","Male","35","35","64310","61720"
"In post","2023","Asian","East of England","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East of England","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East of England","SCS level","Male","10","5","[c]","[c]"
"In post","2023","Asian","East of England","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East of England","SEO/HEO","Female","115","110","38620","38020"
"In post","2023","Asian","East of England","SEO/HEO","Male","115","110","39320","38220"
"In post","2023","Asian","East of England","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East of England","Unknown","Female","50","50","28510","27010"
"In post","2023","Asian","East of England","Unknown","Male","15","15","[c]","[c]"
"In post","2023","Asian","East of England","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","London","AA/AO","Female","1420","1200","25900","25610"
"In post","2023","Asian","London","AA/AO","Male","920","885","26940","26400"
"In post","2023","Asian","London","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","London","EO","Female","2640","2370","31190","31310"
"In post","2023","Asian","London","EO","Male","1665","1620","31290","31450"
"In post","2023","Asian","London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","London","G6/G7","Female","1625","1570","61110","59290"
"In post","2023","Asian","London","G6/G7","Male","1145","1130","62280","60900"
"In post","2023","Asian","London","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","London","SCS level","Female","125","125","91760","81830"
"In post","2023","Asian","London","SCS level","Male","110","110","92830","86030"
"In post","2023","Asian","London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","London","SEO/HEO","Female","3010","2920","39600","39450"
"In post","2023","Asian","London","SEO/HEO","Male","2185","2160","40250","39790"
"In post","2023","Asian","London","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","London","Unknown","Female","145","135","33540","33050"
"In post","2023","Asian","London","Unknown","Male","60","60","34260","29300"
"In post","2023","Asian","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","North East (England)","AA/AO","Female","135","120","21970","22150"
"In post","2023","Asian","North East (England)","AA/AO","Male","120","110","22550","22400"
"In post","2023","Asian","North East (England)","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","North East (England)","EO","Female","95","85","27650","28120"
"In post","2023","Asian","North East (England)","EO","Male","75","75","27820","28120"
"In post","2023","Asian","North East (England)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","North East (England)","G6/G7","Female","30","25","[c]","[c]"
"In post","2023","Asian","North East (England)","G6/G7","Male","45","45","58000","57000"
