"Status","Year","Age","Region_ITL1","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","East Midlands (England)","AA","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","AA","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","AO","Heterosexual / straight","30","30","25330","22870"
"In post","2023","16-19","East Midlands (England)","AO","LGBO","5","5","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","AO","Unknown","20","20","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","AA","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","East of England","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","AO","Heterosexual / straight","30","30","25460","24070"
"In post","2023","16-19","East of England","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","AO","Unknown","20","20","[c]","[c]"
"In post","2023","16-19","East of England","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","AO","Heterosexual / straight","30","30","24230","24520"
"In post","2023","16-19","London","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","AO","Unknown","30","30","[c]","[c]"
"In post","2023","16-19","London","EO","Heterosexual / straight","30","30","28640","28750"
"In post","2023","16-19","London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","EO","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","London","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North East (England)","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North East (England)","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North East (England)","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North East (England)","AO","Heterosexual / straight","30","30","23150","22520"
"In post","2023","16-19","North East (England)","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North East (England)","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North East (England)","AO","Unknown","25","20","[c]","[c]"
"In post","2023","16-19","North East (England)","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","North East (England)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North East (England)","EO","Undeclared","[c]","[c]","[c]","[c]"
