"Status","Year","Age","Disability","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","20-29","Declared disabled","Economics","Outside London","15","15","[c]","[c]"
"In post","2023","20-29","Declared disabled","Economics","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Finance","London","20","20","[c]","[c]"
"In post","2023","20-29","Declared disabled","Finance","Outside London","75","75","30390","28100"
"In post","2023","20-29","Declared disabled","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Geography","Outside London","5","5","[c]","[c]"
"In post","2023","20-29","Declared disabled","Human Resources","London","60","60","41020","38020"
"In post","2023","20-29","Declared disabled","Human Resources","Outside London","95","95","29990","29000"
"In post","2023","20-29","Declared disabled","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Inspector of Education and Training","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Intelligence Analysis","London","20","15","[c]","[c]"
"In post","2023","20-29","Declared disabled","Intelligence Analysis","Outside London","15","15","[c]","[c]"
"In post","2023","20-29","Declared disabled","Intelligence Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Internal Audit","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","International Trade","London","30","30","41690","41550"
"In post","2023","20-29","Declared disabled","International Trade","Outside London","5","5","[c]","[c]"
"In post","2023","20-29","Declared disabled","International Trade","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Knowledge and Information Management","London","10","10","[c]","[c]"
"In post","2023","20-29","Declared disabled","Knowledge and Information Management","Outside London","15","15","[c]","[c]"
"In post","2023","20-29","Declared disabled","Knowledge and Information Management","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Legal","London","35","35","39400","34460"
"In post","2023","20-29","Declared disabled","Legal","Outside London","30","30","36680","34730"
"In post","2023","20-29","Declared disabled","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Medicine","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Medicine","Outside London","5","5","[c]","[c]"
"In post","2023","20-29","Declared disabled","Medicine","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Operational Delivery","London","370","365","32670","32520"
"In post","2023","20-29","Declared disabled","Operational Delivery","Outside London","2680","2615","26190","25300"
"In post","2023","20-29","Declared disabled","Operational Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Operational Research","London","15","15","[c]","[c]"
"In post","2023","20-29","Declared disabled","Operational Research","Outside London","25","25","[c]","[c]"
"In post","2023","20-29","Declared disabled","Other","London","30","30","33890","31280"
"In post","2023","20-29","Declared disabled","Other","Outside London","120","120","25310","22220"
"In post","2023","20-29","Declared disabled","Other","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Planning","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Planning","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Planning Inspectors","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Policy","London","540","535","41690","40260"
"In post","2023","20-29","Declared disabled","Policy","Outside London","180","175","35390","34000"
"In post","2023","20-29","Declared disabled","Policy","Overseas","20","20","[c]","[c]"
"In post","2023","20-29","Declared disabled","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Project Delivery","London","100","100","36140","34110"
"In post","2023","20-29","Declared disabled","Project Delivery","Outside London","145","140","33240","32000"
"In post","2023","20-29","Declared disabled","Project Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Property","London","15","15","[c]","[c]"
"In post","2023","20-29","Declared disabled","Property","Outside London","40","40","31190","27080"
"In post","2023","20-29","Declared disabled","Property","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Psychology","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Psychology","Outside London","25","25","[c]","[c]"
"In post","2023","20-29","Declared disabled","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Science and Engineering","London","25","25","[c]","[c]"
"In post","2023","20-29","Declared disabled","Science and Engineering","Outside London","285","285","30720","30650"
"In post","2023","20-29","Declared disabled","Science and Engineering","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Security","London","20","20","[c]","[c]"
"In post","2023","20-29","Declared disabled","Security","Outside London","55","55","31110","30500"
"In post","2023","20-29","Declared disabled","Security","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Social Research","London","15","15","[c]","[c]"
"In post","2023","20-29","Declared disabled","Social Research","Outside London","30","30","36600","32170"
"In post","2023","20-29","Declared disabled","Statistics","London","40","40","36090","34310"
"In post","2023","20-29","Declared disabled","Statistics","Outside London","50","50","35300","34060"
"In post","2023","20-29","Declared disabled","Statistics","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Tax","London","10","10","[c]","[c]"
"In post","2023","20-29","Declared disabled","Tax","Outside London","130","125","31060","28130"
"In post","2023","20-29","Declared disabled","Unknown","London","200","200","34870","32580"
"In post","2023","20-29","Declared disabled","Unknown","Outside London","345","340","31820","29450"
"In post","2023","20-29","Declared disabled","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared disabled","Veterinarian","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Commercial","London","140","140","46320","42480"
"In post","2023","20-29","Declared non-disabled","Commercial","Outside London","450","450","33790","32500"
"In post","2023","20-29","Declared non-disabled","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Communications","London","215","215","39140","37870"
"In post","2023","20-29","Declared non-disabled","Communications","Outside London","185","180","32300","31270"
"In post","2023","20-29","Declared non-disabled","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Counter Fraud","London","215","215","32310","32520"
"In post","2023","20-29","Declared non-disabled","Counter Fraud","Outside London","645","640","28340","28120"
"In post","2023","20-29","Declared non-disabled","Digital, Data and Technology","London","415","415","43100","41420"
"In post","2023","20-29","Declared non-disabled","Digital, Data and Technology","Outside London","1390","1380","34760","33990"
"In post","2023","20-29","Declared non-disabled","Digital, Data and Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Economics","London","550","550","43270","39620"
"In post","2023","20-29","Declared non-disabled","Economics","Outside London","170","170","35350","34350"
"In post","2023","20-29","Declared non-disabled","Economics","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Finance","London","190","190","41910","39150"
"In post","2023","20-29","Declared non-disabled","Finance","Outside London","595","590","31590","30320"
"In post","2023","20-29","Declared non-disabled","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Geography","Outside London","50","50","28420","27610"
"In post","2023","20-29","Declared non-disabled","Human Resources","London","270","270","39980","36620"
"In post","2023","20-29","Declared non-disabled","Human Resources","Outside London","565","555","30530","29000"
"In post","2023","20-29","Declared non-disabled","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Inspector of Education and Training","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Intelligence Analysis","London","135","135","37160","37180"
"In post","2023","20-29","Declared non-disabled","Intelligence Analysis","Outside London","145","140","29780","28480"
"In post","2023","20-29","Declared non-disabled","Intelligence Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Internal Audit","London","10","10","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Internal Audit","Outside London","15","15","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","International Trade","London","225","225","41270","41550"
"In post","2023","20-29","Declared non-disabled","International Trade","Outside London","45","45","34400","32820"
"In post","2023","20-29","Declared non-disabled","International Trade","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Knowledge and Information Management","London","75","75","35810","35010"
"In post","2023","20-29","Declared non-disabled","Knowledge and Information Management","Outside London","100","100","29140","28120"
"In post","2023","20-29","Declared non-disabled","Knowledge and Information Management","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Legal","London","310","310","40370","38170"
"In post","2023","20-29","Declared non-disabled","Legal","Outside London","405","400","39100","37680"
"In post","2023","20-29","Declared non-disabled","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Medicine","London","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Medicine","Outside London","40","35","32550","29180"
"In post","2023","20-29","Declared non-disabled","Medicine","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Operational Delivery","London","2900","2860","32780","32520"
"In post","2023","20-29","Declared non-disabled","Operational Delivery","Outside London","20245","19800","26700","25880"
"In post","2023","20-29","Declared non-disabled","Operational Delivery","Overseas","20","20","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Operational Delivery","Unknown","45","45","26350","28120"
"In post","2023","20-29","Declared non-disabled","Operational Research","London","65","65","45130","43470"
"In post","2023","20-29","Declared non-disabled","Operational Research","Outside London","80","80","35660","35000"
"In post","2023","20-29","Declared non-disabled","Other","London","185","185","36930","35400"
"In post","2023","20-29","Declared non-disabled","Other","Outside London","790","775","26090","22390"
"In post","2023","20-29","Declared non-disabled","Other","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Planning","London","15","15","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Planning","Outside London","10","10","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Planning Inspectors","Outside London","10","10","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Policy","London","3425","3420","43030","41060"
"In post","2023","20-29","Declared non-disabled","Policy","Outside London","1080","1070","35280","33100"
"In post","2023","20-29","Declared non-disabled","Policy","Overseas","150","150","35940","33540"
"In post","2023","20-29","Declared non-disabled","Policy","Unknown","5","5","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Project Delivery","London","380","375","40950","39150"
"In post","2023","20-29","Declared non-disabled","Project Delivery","Outside London","895","890","34610","32910"
"In post","2023","20-29","Declared non-disabled","Project Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Property","London","75","75","36600","35410"
"In post","2023","20-29","Declared non-disabled","Property","Outside London","360","360","30340","28130"
"In post","2023","20-29","Declared non-disabled","Property","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Psychology","London","30","30","33230","33220"
"In post","2023","20-29","Declared non-disabled","Psychology","Outside London","270","265","30050","30940"
"In post","2023","20-29","Declared non-disabled","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Science and Engineering","London","115","115","37870","35400"
"In post","2023","20-29","Declared non-disabled","Science and Engineering","Outside London","1475","1470","31320","30650"
"In post","2023","20-29","Declared non-disabled","Science and Engineering","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Security","London","85","85","38500","36620"
"In post","2023","20-29","Declared non-disabled","Security","Outside London","395","390","29450","28410"
"In post","2023","20-29","Declared non-disabled","Security","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Social Research","London","155","155","43400","41550"
"In post","2023","20-29","Declared non-disabled","Social Research","Outside London","190","190","35480","32460"
"In post","2023","20-29","Declared non-disabled","Statistics","London","220","220","42100","40740"
"In post","2023","20-29","Declared non-disabled","Statistics","Outside London","300","295","36080","34520"
"In post","2023","20-29","Declared non-disabled","Statistics","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Tax","London","165","165","42620","39450"
"In post","2023","20-29","Declared non-disabled","Tax","Outside London","1480","1455","31020","28130"
"In post","2023","20-29","Declared non-disabled","Unknown","London","655","650","40250","35650"
"In post","2023","20-29","Declared non-disabled","Unknown","Outside London","2095","2075","31740","29450"
"In post","2023","20-29","Declared non-disabled","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Unknown","Unknown","20","20","[c]","[c]"
"In post","2023","20-29","Declared non-disabled","Veterinarian","Outside London","15","15","[c]","[c]"
"In post","2023","20-29","Undeclared","Commercial","London","15","15","[c]","[c]"
"In post","2023","20-29","Undeclared","Commercial","Outside London","20","20","[c]","[c]"
