"Status","Year","Function_of_post","Parent_department","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Attorney General's Departments","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Human Resources","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Other","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Project Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Statistics","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Statistics","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Statistics","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Statistics","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Digital, Data and Technology","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Digital, Data and Technology","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Digital, Data and Technology","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Economics","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Economics","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Statistics","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Statistics","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Statistics","HEO","115","115","31200","30130"
"In post","2023","Analysis","Cabinet Office","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Statistics","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Knowledge and Information Management","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Operational Research","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Operational Research","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Operational Research","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Other","EO","15","15","30090","30090"
"In post","2023","Analysis","Chancellor's other departments","Other","G6","105","95","92690","85830"
"In post","2023","Analysis","Chancellor's other departments","Other","G7","25","20","57450","58970"
"In post","2023","Analysis","Chancellor's other departments","Other","HEO","30","30","37210","36780"
"In post","2023","Analysis","Chancellor's other departments","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Other","SEO","30","30","48240","47560"
"In post","2023","Analysis","Charity Commission","Intelligence Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Intelligence Analysis","HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Intelligence Analysis","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Statistics","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Statistics","HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Statistics","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Economics","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Economics","G6","30","30","77270","76720"
"In post","2023","Analysis","Competition and Markets Authority","Economics","G7","35","35","57560","55130"
"In post","2023","Analysis","Competition and Markets Authority","Economics","HEO","25","25","34800","34110"
"In post","2023","Analysis","Competition and Markets Authority","Economics","SCS level","15","15","111030","101830"
"In post","2023","Analysis","Competition and Markets Authority","Intelligence Analysis","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Intelligence Analysis","G7","10","10","57800","58050"
"In post","2023","Analysis","Competition and Markets Authority","Intelligence Analysis","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Intelligence Analysis","SEO","10","10","45810","45190"
"In post","2023","Analysis","Competition and Markets Authority","Statistics","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Statistics","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Economics","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Economics","EO","35","35","28170","28720"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Economics","G6","10","10","72740","70740"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Economics","G7","20","20","59740","59600"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Economics","HEO","90","85","35990","34670"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Economics","SCS level","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Economics","SEO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Human Resources","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Human Resources","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Human Resources","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","EO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","HEO","15","15","34710","32670"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","SEO","20","15","43340","42830"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Operational Delivery","EO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Operational Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Operational Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Operational Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Operational Research","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Operational Research","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Operational Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Operational Research","SEO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Policy","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Policy","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Social Research","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","G7","10","10","59250","59330"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","HEO","15","15","37960","38910"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","SEO","10","10","45670","45750"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Economics","G6","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Economics","G7","30","30","56720","57030"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Economics","HEO","25","25","39400","39330"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Economics","SCS level","[c]","[c]","[c]","[c]"
