"Status","Year","Organisation","Region_ITL2","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Southern Scotland","East Ayrshire and North Ayrshire mainland","Outside London","125","110","33960","31940"
"In post","2023","Accountant in Bankruptcy","West Central Scotland","Glasgow City","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Inner London - West","Westminster","London","10","10","[c]","[c]"
"In post","2023","Active Travel England","North Yorkshire","York","Outside London","30","30","47030","40560"
"In post","2023","Active Travel England","Surrey, East and West Sussex","East Sussex CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","West Wales and The Valleys","Swansea","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","West Yorkshire","Leeds","Outside London","10","10","66550","62060"
"In post","2023","Advisory, Conciliation and Arbitration Service","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Nottingham","Outside London","100","95","30770","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Devon","Devon CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Dorset and Somerset","Dorset","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Anglia","Breckland and South Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Anglia","Suffolk CC","Outside London","40","35","34880","34950"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Wales","Cardiff and Vale of Glamorgan","Outside London","80","75","32080","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Eastern Scotland","Perth and Kinross, and Stirling","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Essex","Thurrock","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","Outside London","45","40","34310","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Greater Manchester","Greater Manchester North West","Outside London","[c]","[c]","[c]","[c]"
