"Status","Year","Profession_of_post","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","Aberdeen City and Aberdeenshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Angus and Dundee City","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Barking & Dagenham and Havering","London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Barnet","London","15","15","46120","42040"
"In post","2023","Commercial","Barnsley, Doncaster and Rotherham","Outside London","10","10","42020","41330"
"In post","2023","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","1250","1200","43250","42620"
"In post","2023","Commercial","Bedford","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Berkshire","Outside London","15","15","43670","39470"
"In post","2023","Commercial","Bexley and Greenwich","London","10","10","[c]","[c]"
"In post","2023","Commercial","Birmingham","Outside London","120","120","52020","40660"
"In post","2023","Commercial","Blackpool","Outside London","170","165","43040","38470"
"In post","2023","Commercial","Bournemouth, Christchurch and Poole","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bradford","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Breckland and South Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Brent","London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bridgend and Neath Port Talbot","Outside London","5","5","[c]","[c]"
"In post","2023","Commercial","Brighton and Hove","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bristol, City of","Outside London","95","90","48210","39880"
"In post","2023","Commercial","Buckinghamshire","Outside London","70","70","41480","43200"
"In post","2023","Commercial","Calderdale and Kirklees","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cambridgeshire CC","Outside London","65","60","41000","38460"
"In post","2023","Commercial","Camden and City of London","London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cardiff and Vale of Glamorgan","Outside London","60","55","44110","38470"
"In post","2023","Commercial","Central Bedfordshire","Outside London","5","5","[c]","[c]"
"In post","2023","Commercial","Central Hampshire","Outside London","190","185","42920","39890"
"In post","2023","Commercial","Central Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cheshire East","Outside London","10","10","[c]","[c]"
"In post","2023","Commercial","Cheshire West and Chester","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Chorley and West Lancashire","Outside London","10","10","48220","45810"
"In post","2023","Commercial","City of Edinburgh","Outside London","60","60","41840","38170"
"In post","2023","Commercial","Clackmannanshire and Fife","Outside London","15","10","35610","32800"
"In post","2023","Commercial","Cornwall and Isles of Scilly","Outside London","5","5","[c]","[c]"
"In post","2023","Commercial","Coventry","Outside London","45","45","50820","45820"
"In post","2023","Commercial","Croydon","London","145","145","48810","43660"
"In post","2023","Commercial","Darlington","Outside London","45","45","45640","39090"
"In post","2023","Commercial","Devon CC","Outside London","50","50","45840","40420"
"In post","2023","Commercial","Dorset","Outside London","10","10","51840","52020"
"In post","2023","Commercial","Durham","Outside London","25","25","42880","43660"
"In post","2023","Commercial","East Ayrshire and North Ayrshire mainland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Derbyshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Outside London","15","10","34720","31920"
"In post","2023","Commercial","East Kent","Outside London","10","10","[c]","[c]"
"In post","2023","Commercial","East Merseyside","Outside London","20","20","47190","40030"
"In post","2023","Commercial","East Riding of Yorkshire","Outside London","10","10","[c]","[c]"
"In post","2023","Commercial","East Surrey","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Sussex CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Enfield","London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Essex Haven Gateway","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Falkirk","Outside London","5","5","[c]","[c]"
"In post","2023","Commercial","Flintshire and Wrexham","Outside London","25","25","35300","34680"
"In post","2023","Commercial","Glasgow City","Outside London","190","190","41600","35650"
"In post","2023","Commercial","Gloucestershire CC","Outside London","5","5","[c]","[c]"
"In post","2023","Commercial","Greater Manchester North East","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Greater Manchester North West","Outside London","5","5","[c]","[c]"
"In post","2023","Commercial","Greater Manchester South East","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Greater Manchester South West","Outside London","135","130","47930","42510"
"In post","2023","Commercial","Hackney and Newham","London","10","10","60210","65500"
"In post","2023","Commercial","Haringey and Islington","London","[c]","[c]","[c]","[c]"
