"Status","Year","Disability","Region_ITL2","Region_ITL3","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Bedford","AA","10","10","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Bedford","AO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Bedford","EO","30","25","28800","28120"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Bedford","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Bedford","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Bedford","HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Bedford","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Bedford","SEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Bedford","Unknown","25","20","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Central Bedfordshire","AA","5","5","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Central Bedfordshire","AO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Central Bedfordshire","EO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Central Bedfordshire","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Central Bedfordshire","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Central Bedfordshire","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Central Bedfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Central Bedfordshire","SEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Hertfordshire CC","AA","10","10","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Hertfordshire CC","AO","60","55","27200","25610"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Hertfordshire CC","EO","145","130","31310","31280"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Hertfordshire CC","G6","5","5","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Hertfordshire CC","G7","20","20","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Hertfordshire CC","HEO","45","40","38450","38020"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Hertfordshire CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Hertfordshire CC","SEO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Hertfordshire CC","Unknown","45","45","32420","31430"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Luton","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Luton","AO","10","5","[c]","[c]"
