"Status","Year","Disability","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Accountant in Bankruptcy","10","5","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","195","180","33640","32110"
"In post","2023","Declared disabled","Animal and Plant Health Agency","430","405","29790","25920"
"In post","2023","Declared disabled","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","790","765","44400","40610"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","320","320","30680","30130"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","55","50","31960","30320"
"In post","2023","Declared disabled","Charity Commission","35","30","35380","30170"
"In post","2023","Declared disabled","Companies House","105","95","31530","25610"
"In post","2023","Declared disabled","Competition and Markets Authority","50","50","56980","53760"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","45","40","25310","25830"
"In post","2023","Declared disabled","Crown Commercial Service","65","65","41900","40450"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","160","150","38850","31540"
"In post","2023","Declared disabled","Crown Prosecution Service","945","870","41900","35000"
"In post","2023","Declared disabled","Defence Electronics and Components Agency","30","30","31540","28710"
"In post","2023","Declared disabled","Defence Equipment and Support","1130","1085","38160","35010"
"In post","2023","Declared disabled","Defence Science and Technology Laboratory","845","810","42490","39890"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","590","575","49020","46210"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","175","175","47810","44850"
"In post","2023","Declared disabled","Department for Education (excl. agencies)","720","685","44220","38560"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","870","840","42560","37710"
"In post","2023","Declared disabled","Department for International Trade","270","270","46720","41550"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","395","390","45530","40800"
"In post","2023","Declared disabled","Department for Transport (excl. agencies)","230","220","48640","45180"
"In post","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","17035","14915","28570","28120"
"In post","2023","Declared disabled","Department of Health and Social Care (excl. agencies)","205","195","47580","41950"
"In post","2023","Declared disabled","Disclosure Scotland","35","30","32370","28420"
"In post","2023","Declared disabled","Driver and Vehicle Licensing Agency","685","575","25480","22500"
"In post","2023","Declared disabled","Driver and Vehicle Standards Agency","440","400","30240","27450"
"In post","2023","Declared disabled","Education Scotland","15","15","[c]","[c]"
"In post","2023","Declared disabled","Education and Skills Funding Agency","70","65","41350","38070"
"In post","2023","Declared disabled","Estyn","10","10","[c]","[c]"
"In post","2023","Declared disabled","FCDO Services","80","80","39230","32960"
"In post","2023","Declared disabled","Food Standards Agency","145","140","39810","37720"
"In post","2023","Declared disabled","Food Standards Scotland","15","15","[c]","[c]"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","545","535","47550","41200"
"In post","2023","Declared disabled","Forestry and Land Scotland","50","50","31900","31180"
"In post","2023","Declared disabled","Government Actuary's Department","15","15","[c]","[c]"
"In post","2023","Declared disabled","Government Commercial Organisation","165","165","73110","67260"
"In post","2023","Declared disabled","Government Internal Audit Agency","55","50","46310","43550"
"In post","2023","Declared disabled","Government Legal Department","215","205","54070","52790"
"In post","2023","Declared disabled","Government Property Agency","50","50","50980","51020"
"In post","2023","Declared disabled","HM Courts and Tribunals Service","2450","2200","26660","21780"
"In post","2023","Declared disabled","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","HM Land Registry","690","610","31070","28080"
"In post","2023","Declared disabled","HM Prison and Probation Service","8565","8010","32260","30810"
"In post","2023","Declared disabled","HM Revenue and Customs (excl. agencies)","6375","5800","35040","32580"
"In post","2023","Declared disabled","HM Treasury (excl. agencies)","210","205","46180","41300"
"In post","2023","Declared disabled","Health and Safety Executive","360","335","40740","37440"
"In post","2023","Declared disabled","Home Office","3220","2990","33960","29890"
"In post","2023","Declared disabled","Institute for Apprenticeships and Technical Education","25","25","[c]","[c]"
"In post","2023","Declared disabled","Intellectual Property Office","90","85","39620","36920"
"In post","2023","Declared disabled","Legal Aid Agency","175","165","28530","25830"
"In post","2023","Declared disabled","Maritime and Coastguard Agency","60","60","34350","31660"
"In post","2023","Declared disabled","Medicines and Healthcare Products Regulatory Agency","40","40","45660","41190"
"In post","2023","Declared disabled","Met Office","240","225","35680","35230"
"In post","2023","Declared disabled","Ministry of Defence (excl. agencies)","3490","3360","34070","30630"
"In post","2023","Declared disabled","Ministry of Justice (excl. agencies)","840","820","42500","37740"
"In post","2023","Declared disabled","National Crime Agency","275","270","40990","38910"
"In post","2023","Declared disabled","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","National Records of Scotland","35","30","37700","34930"
"In post","2023","Declared disabled","National Savings and Investments","15","15","[c]","[c]"
"In post","2023","Declared disabled","Northern Ireland Office","15","15","[c]","[c]"
"In post","2023","Declared disabled","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office for Standards in Education, Children's Services and Skills","165","160","47970","44250"
"In post","2023","Declared disabled","Office of Gas and Electricity Markets","130","130","39250","33400"
"In post","2023","Declared disabled","Office of Qualifications and Examinations Regulation","50","45","40790","39140"
"In post","2023","Declared disabled","Office of Rail and Road","25","25","[c]","[c]"
"In post","2023","Declared disabled","Office of the Public Guardian","240","220","25840","25830"
"In post","2023","Declared disabled","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","10","10","[c]","[c]"
"In post","2023","Declared disabled","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Planning Inspectorate","55","50","39080","33450"
"In post","2023","Declared disabled","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Registers of Scotland","130","120","34710","32510"
"In post","2023","Declared disabled","Revenue Scotland","15","15","[c]","[c]"
"In post","2023","Declared disabled","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Rural Payments Agency","435","400","26240","22150"
"In post","2023","Declared disabled","Scottish Courts and Tribunals Service","95","90","29660","28540"
"In post","2023","Declared disabled","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Scottish Forestry","15","15","[c]","[c]"
"In post","2023","Declared disabled","Scottish Government (excl. agencies)","800","765","45490","41640"
"In post","2023","Declared disabled","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Scottish Prison Service","375","350","37400","37060"
"In post","2023","Declared disabled","Scottish Public Pensions Agency","25","25","[c]","[c]"
"In post","2023","Declared disabled","Serious Fraud Office","45","45","48060","40980"
"In post","2023","Declared disabled","Social Security Scotland","395","370","30390","29100"
"In post","2023","Declared disabled","Standards and Testing Agency","10","10","[c]","[c]"
"In post","2023","Declared disabled","Student Awards Agency for Scotland","15","10","[c]","[c]"
"In post","2023","Declared disabled","Submarine Delivery Agency","240","235","41380","41050"
"In post","2023","Declared disabled","Teaching Regulation Agency","10","10","[c]","[c]"
"In post","2023","Declared disabled","The Insolvency Service","200","185","35520","31730"
"In post","2023","Declared disabled","The National Archives","35","35","33150","29840"
"In post","2023","Declared disabled","Transport Scotland","50","50","43960","42860"
"In post","2023","Declared disabled","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","UK Export Finance","35","35","50770","44380"
"In post","2023","Declared disabled","UK Health Security Agency","255","245","45180","40880"
"In post","2023","Declared disabled","UK Hydrographic Office","70","65","37830","34370"
"In post","2023","Declared disabled","UK Space Agency","20","20","[c]","[c]"
"In post","2023","Declared disabled","UK Statistics Authority","635","565","34260","31560"
"In post","2023","Declared disabled","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Valuation Office Agency","300","280","35170","32260"
"In post","2023","Declared disabled","Vehicle Certification Agency","15","15","[c]","[c]"
"In post","2023","Declared disabled","Veterinary Medicines Directorate","10","10","[c]","[c]"
"In post","2023","Declared disabled","Water Services Regulation Authority","15","15","[c]","[c]"
"In post","2023","Declared disabled","Welsh Government (excl. agencies)","360","335","41630","39690"
"In post","2023","Declared disabled","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Accountant in Bankruptcy","65","60","35800","31940"
"In post","2023","Declared non-disabled","Active Travel England","30","30","[c]","[c]"
"In post","2023","Declared non-disabled","Advisory, Conciliation and Arbitration Service","405","375","36470","32110"
"In post","2023","Declared non-disabled","Animal and Plant Health Agency","2285","2175","31790","29080"
"In post","2023","Declared non-disabled","Attorney General's Office","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Building Digital UK","165","165","47800","52760"
"In post","2023","Declared non-disabled","Cabinet Office (excl. agencies)","3915","3805","48600","42780"
"In post","2023","Declared non-disabled","Central Civil Service Fast Stream","85","85","30580","30130"
"In post","2023","Declared non-disabled","Centre for Environment, Fisheries and Aquaculture Science","460","440","35140","30820"
"In post","2023","Declared non-disabled","Charity Commission","250","240","37420","30170"
"In post","2023","Declared non-disabled","Companies House","810","765","33290","28070"
"In post","2023","Declared non-disabled","Competition and Markets Authority","760","735","61460","58050"
"In post","2023","Declared non-disabled","Criminal Injuries Compensation Authority","175","160","29930","25830"
"In post","2023","Declared non-disabled","Crown Commercial Service","300","290","42130","40450"
"In post","2023","Declared non-disabled","Crown Office and Procurator Fiscal Service","2160","2035","39850","33120"
"In post","2023","Declared non-disabled","Crown Prosecution Service","4985","4650","42450","38760"
"In post","2023","Declared non-disabled","Defence Electronics and Components Agency","245","240","29730","28710"
"In post","2023","Declared non-disabled","Defence Equipment and Support","7415","7140","40210","38790"
"In post","2023","Declared non-disabled","Defence Science and Technology Laboratory","2530","2425","45300","49260"
"In post","2023","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","4370","4270","51390","54710"
"In post","2023","Declared non-disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","1270","1245","50060","53030"
"In post","2023","Declared non-disabled","Department for Education (excl. agencies)","4300","4120","48080","51360"
"In post","2023","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","4470","4320","43940","40260"
"In post","2023","Declared non-disabled","Department for International Trade","1785","1755","48510","43210"
"In post","2023","Declared non-disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","2325","2260","48740","49700"
"In post","2023","Declared non-disabled","Department for Transport (excl. agencies)","2515","2445","52450","51070"
"In post","2023","Declared non-disabled","Department for Work and Pensions (excl. agencies)","61420","54970","29620","28120"
"In post","2023","Declared non-disabled","Department of Health and Social Care (excl. agencies)","970","920","52040","50830"
"In post","2023","Declared non-disabled","Disclosure Scotland","160","150","32540","25300"
"In post","2023","Declared non-disabled","Driver and Vehicle Licensing Agency","4435","3965","27810","22500"
"In post","2023","Declared non-disabled","Driver and Vehicle Standards Agency","3145","2945","30970","28590"
"In post","2023","Declared non-disabled","Education Scotland","155","150","62440","70540"
"In post","2023","Declared non-disabled","Education and Skills Funding Agency","555","535","44230","38390"
"In post","2023","Declared non-disabled","Estyn","110","100","60010","75850"
