"Status","Year","Organisation","Region_ITL2","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Southern Scotland","AA","Female","20","15","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Southern Scotland","AA","Male","15","15","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Southern Scotland","EO","Female","30","25","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Southern Scotland","EO","Male","15","15","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Southern Scotland","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Southern Scotland","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Southern Scotland","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Southern Scotland","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Southern Scotland","HEO","Female","20","15","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Southern Scotland","HEO","Male","5","5","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Southern Scotland","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Southern Scotland","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Southern Scotland","SEO","Female","5","5","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Southern Scotland","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","West Central Scotland","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","West Central Scotland","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Inner London - West","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Inner London - West","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Inner London - West","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Inner London - West","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Inner London - West","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Inner London - West","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","North Yorkshire","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","North Yorkshire","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","North Yorkshire","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","North Yorkshire","G7","Male","5","5","[c]","[c]"
"In post","2023","Active Travel England","North Yorkshire","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","North Yorkshire","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","North Yorkshire","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","North Yorkshire","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","North Yorkshire","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","North Yorkshire","SEO","Male","10","10","[c]","[c]"
"In post","2023","Active Travel England","Surrey, East and West Sussex","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Surrey, East and West Sussex","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","West Wales and The Valleys","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","West Wales and The Valleys","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","West Yorkshire","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","West Yorkshire","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","West Yorkshire","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","West Yorkshire","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","West Yorkshire","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","West Yorkshire","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","West Yorkshire","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","West Yorkshire","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","West Yorkshire","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","West Yorkshire","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","West Yorkshire","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","West Yorkshire","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Berkshire, Buckinghamshire and Oxfordshire","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Berkshire, Buckinghamshire and Oxfordshire","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","AO","Female","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","EO","Female","20","20","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","EO","Male","15","15","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","HEO","Female","25","25","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","HEO","Male","15","15","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","SEO","Female","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Devon","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Devon","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Devon","SEO","Female","[c]","[c]","[c]","[c]"
