"Status","Year","Parent_department","Region_ITL3","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Barnet","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Barnet","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Barnsley, Doncaster and Rotherham","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Barnsley, Doncaster and Rotherham","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Female","20","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Bedford","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bedford","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire","Outside London","Female","100","90","39820","32660"
"In post","2023","Attorney General's Departments","Berkshire","Outside London","Male","35","35","46700","47450"
"In post","2023","Attorney General's Departments","Bexley and Greenwich","London","Female","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Bexley and Greenwich","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Birmingham","Outside London","Female","385","355","39120","31490"
"In post","2023","Attorney General's Departments","Birmingham","Outside London","Male","160","155","44780","49050"
"In post","2023","Attorney General's Departments","Blackburn with Darwen","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Blackburn with Darwen","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bradford","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bradford","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bridgend and Neath Port Talbot","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bridgend and Neath Port Talbot","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Brighton and Hove","Outside London","Female","85","75","39860","30560"
"In post","2023","Attorney General's Departments","Brighton and Hove","Outside London","Male","40","40","42870","38660"
